name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Adiyogi Arogya Avenue,"232, Subhash Nagar, Near civil hospital back gate, Jhajjar",Yes (12),7,2,3,1,7,2,6,1,To Be Updated,To Be Updated,Yes,Yes,Yes,2021-05-29 10:42,8
"Advanta Hospital, Jhajjar city","Silani Gate, Jhajjar, Haryana",Yes (43),24,10,9,1,24,10,16,1,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-28 16:37,8
"Brahm Shakti Sanjivani Hospital, B.garh","Opp. BSNL Exchange, Delhi - Rohtak Road, NH9, Bahadurgarh, Haryana",Yes (87),51,20,16,3,60,20,20,3,Yes,No,Yes,Yes,Yes,2021-05-29 11:18,8
Civil Hospital Jhajjar,"Jhajjar, NH-71, Jhajjar Rohtak Road, Jhajjar, Jhajjar, Haryana",Yes (30),29,0,1,4,53,0,5,5,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-29 10:04,8
"Delhi Hospital, Bahadurgarh","Rohtak Rd, near Shyamji Complex, Ram Nagar, Bahadurgarh, Haryana",Yes (48),19,20,9,2,20,20,10,2,Yes,No,Yes,Yes,Yes,2021-05-29 11:09,8
Dr. Sanjay Multi Speciality Hospital,INFRONT OF CIVIL HOSPITAL BAHADURGARH,Yes (52),41,6,5,1,45,10,6,1,Yes,No,No,To Be Updated,To Be Updated,2021-05-29 10:49,8
"Jeewan Jyoti Hospital, Bahadurgarh","Rohtak Rd, MIE Part-B, Bahadurgarh, Haryana",Yes (114),57,57,0,4,77,68,15,4,Yes,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-23 16:42,8
"JK Hospital, Bahadurgarh","Bahadurgarh,, Bahamnoli, Bahadurgarh, Haryana",Yes (44),5,31,8,0,5,31,8,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-28 14:21,8
"Medicare Super Speciality Hospiatl &amp; Trauma Centre, Jhajjar City","Dadri road Jhajjar, Jhajjar, Haryana",Yes (38),10,21,7,3,15,23,12,3,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-29 11:41,8
"Mission Hospital, Bahadurgarh","Near main Bus Stand & City Metro Station, Rohtak Rd, Bahadurgarh, Jhajjar ,Haryana",Yes (44),9,29,6,1,14,29,6,1,To Be Updated,No,Yes,Yes,No,2021-05-29 09:35,8
"Oscar Hospital, JJR city","Civil Road,Opp Civil Hospital, Jhajjar, Haryana",Yes (66),7,58,1,1,8,58,14,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-29 14:44,8
Oxymus Hospital,"Opposite Civil Hospital, Near Metro Pollar No. 876 Delhi Rohtak Road, Bahadurgarh",Yes (9),4,0,5,0,4,0,6,0,Yes,No,No,No,No,2021-05-27 12:32,8
"Rana Hospital, Bahadurgarh","OPP. REST HOUSE,OLD BARAHI ROAD, BAHADURGARH",Yes (25),18,0,7,2,18,0,7,2,To Be Updated,To Be Updated,No,No,Yes,2021-05-29 19:24,8
"RJ Super Speciality Hospital, B.garh","Delhi - Rohtak Rd, Near Rajesh Joon Office, Dalbir Nagar, Bahadurgarh, Haryana",Yes (47),35,10,2,3,60,10,10,3,Yes,No,Yes,Yes,Yes,2021-05-29 12:25,8
RS GAUR GLOBAL MULTISPECIALITY HOSPITAL,"Jhajjar Road Netaji Subhash Vihar, Haryana",Yes (25),16,5,4,2,19,7,7,2,Yes,No,Yes,Yes,Yes,2021-05-29 15:00,8
"SDH, Bahadurgarh","Madhya Marg, Old Industrial Area, Bahadurgarh, Haryana",Yes (38),33,0,5,5,35,0,5,5,Yes,Yes,Yes,No,Yes,2021-05-29 10:44,8
"Shivam Hospital, B.garh","Line Par, Shastri Nagar, Netaji Nagar, Bahadurgarh, Haryana",Yes (45),29,13,3,0,30,15,6,1,Yes,No,Yes,Yes,Yes,2021-05-29 18:18,8
"Swastik Hospital, Bahadurgarh","Jhajjar Rd, Shakti Nagar, Sakti Nagar, Bahadurgarh, Haryana",Yes (26),18,0,8,1,26,4,10,2,Yes,No,Yes,Yes,Yes,2021-05-29 15:21,8
World College Of Medical Sciences And Hospital,"Jhajjar Sampla Road, Gurwar, Jhajjar, Haryana",Yes (233),90,135,8,4,90,135,25,4,Yes,Yes,Yes,Yes,Yes,2021-05-29 17:01,8
DCHC Barara,,Yes (45),45,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-29 09:52,1
DCHC Mullana,,Yes (42),42,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-29 09:52,1
District Civil Hospital,Ambala City,Yes (73),57,0,16,10,116,0,23,11,Yes,Yes,Yes,Yes,Yes,2021-05-29 09:49,1
District Civil Hospital Ambala Cantt,Ambala Cantt,Yes (30),29,0,1,6,80,0,13,7,Yes,Yes,Yes,Yes,Yes,2021-05-29 09:50,1
Guardian Hospital,AMBALA JAGADHARI ROAD AMBALA CANTT,Yes (19),15,3,1,3,15,3,2,3,Yes,Yes,Yes,Yes,Yes,2021-05-29 09:51,1
Ishwar Hospital,,Yes (7),7,0,0,0,16,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-29 09:52,1
Kuldeep Hospital,,Yes (7),5,0,2,0,8,0,2,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-29 09:52,1
Mehndiratta Hospital,"#106, manali house, near central jail,  ambala city",Yes (15),14,0,1,0,25,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-29 09:51,1
Military Hospital,Ambala Cantonment,Yes (106),49,57,0,12,60,85,0,15,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-29 09:49,1
MM Medical College Pvt,MMIMSR Mullana Ambala,Yes (172),104,64,4,0,116,70,14,10,Yes,Yes,Yes,Yes,Yes,2021-05-29 11:05,1
Park Healing Touch Hospital,"Sultanpur Chowk, Nr Dhulkot Barrier, Ambala Chandigarh Expy. Ambala",Yes (13),10,0,3,4,30,0,10,10,Yes,Yes,Yes,Yes,Yes,2021-05-29 09:50,1
Philedelphia mission Hospital pvt,"Mission Compound, Ambala City",Yes (43),40,0,3,2,92,0,6,2,Yes,No,Yes,Yes,Yes,2021-05-29 09:35,1
Railways Hospital,"Railway Hospital, railway colony,  Ambala Cantt",Yes (14),14,0,0,0,30,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-29 16:17,1
Rotary Hospital Ambala cantt Pvt,"Rambagh road, Opp Dusshera ground, Ambala Cantt",Yes (6),6,0,0,2,15,0,3,2,Yes,No,Yes,Yes,Yes,2021-05-29 09:49,1
Sant Hospital,,Yes (2),2,0,0,1,10,0,2,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-29 09:51,1
SDH Naraingarh,,Yes (41),41,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-29 10:04,1
Yafe Indoor Hospital,,Yes (8),6,2,0,0,9,6,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-29 09:53,1
GH Charkhi Dadri,"Near Loharu Chowk,Charkhi Dadri",Yes (27),21,6,0,8,35,15,1,11,Yes,Yes,Yes,Yes,Yes,2021-05-29 11:48,3
