name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
ASHIRWAD BHAGAT HOSPITAL,"Old DC Rd, near bhagat hospital, Sonipat, Haryana 131001",Yes (12),9,0,3,1,12,0,3,1,Yes,Yes,Yes,Yes,Yes,2021-05-25 16:40,21
Bhagwan Dass Hospital,"Near Shahpur Turk, block-E, omaxe city, Sector 18, Sonipat, Haryana 131001",Yes (33),24,0,9,2,27,0,13,2,Yes,No,Yes,Yes,Yes,2021-05-25 19:30,21
"BPS MEDICAL COLLEGE KHANPUR , SONIPAT ( 01263283088)","Ganaur - Gohana Rd, Khanpur Kalan, Haryana",Yes (178),85,77,16,16,170,80,50,50,Yes,Yes,Yes,Yes,Yes,2021-05-25 12:21,21
CHC GANUR,CHC GANUR,Yes (6),6,0,0,0,8,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-25 11:43,21
CHC Kharkhoda,"SH 20, Kharkhoda, Haryana 131402",Yes (10),5,5,0,0,5,5,0,0,To Be Updated,To Be Updated,Yes,Yes,Yes,2021-05-24 14:07,21
"CHC, JUAN, SONIPAT, HARYANA","CHC, JUAN, SONIPAT, HARYANACHC, JUAN, SONIPAT, HARYANA, 131024",Yes (5),3,2,0,0,3,2,0,0,Yes,No,Yes,Yes,Yes,2021-05-12 20:53,21
"Civil Hospital, Sonipat (9050007668 )","Delhi Road, Near Maharana Pratap Chowk, Sonipat, Haryana 131001",Yes (112),105,0,7,7,190,0,10,10,Yes,Yes,Yes,Yes,Yes,2021-05-25 15:21,21
"CYGNUS HOSPITAL, Sonipat","Old Rohtak Rd, near Hindu College of Engineering, Industrial Area, Sonipat, Haryana 131001",Yes (15),13,0,2,0,18,0,2,1,Yes,No,Yes,Yes,Yes,2021-05-25 17:23,21
Dayanand Hospital-Sonepat,"Kakroi Rd, Prem Nagar, West Ram Nagar, Sonipat, Haryana",Yes (18),14,0,4,0,20,0,5,1,Yes,No,Yes,Yes,Yes,2021-05-24 20:01,21
FIIMS Hospital,"Road, Bahalgarh, Sonipat, Haryana 131304",Yes (68),42,0,26,0,63,0,37,8,Yes,No,Yes,Yes,Yes,2021-05-25 18:10,21
GAJRAJ HOSPITAL,"Bus Stand, Gajraj Hospital Road, Near, Gohana, Haryana 131301",Yes (20),20,0,0,0,20,0,0,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-25 16:30,21
HARYANA HOSPITAL,"Vivekanand Chowk, Delhi Rd, behind Bullet Showroom, Janta Colony, Sonipat, Haryana 131001",Yes (18),6,0,12,1,7,0,18,4,Yes,No,No,No,Yes,2021-05-25 17:09,21
MEMORIAL HOSPITAL,"SH 11, near Mama Bhanja Chowk, Nandwani Nagar, Anand Nagar,, Sonipat, Haryana 131001",Yes (6),6,0,0,1,16,0,4,2,Yes,No,Yes,Yes,Yes,2021-05-25 17:21,21
NIDAAN HOSPITAL PVT.,"Murthal Rd, Sonipat, Haryana 131001",No (0),0,0,0,0,22,0,3,1,Yes,No,Yes,Yes,Yes,2021-05-25 16:48,21
OSCAR HOSPITAL,"SH 11, Lakshmi Nagar, Sonipat, Haryana 131001",Yes (10),8,0,2,2,12,0,8,2,Yes,No,Yes,Yes,Yes,2021-05-25 17:43,21
PHC PURKHAS,"Purkhas, Haryana 131102",Yes (30),0,30,0,0,0,30,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-12 20:55,21
"SANJIVNI HOSPITAL, SONIPAT","Mehlana Rd, Malviya Nagar, Sonipat, Haryana 131304",Yes (13),13,0,0,1,14,0,1,1,Yes,No,Yes,Yes,Yes,2021-05-25 19:41,21
SAXSENA HOSPITAL,"112/113, T.P. Scheme, Delhi Rd, Sonipat, Haryana 131304",Yes (13),13,0,0,2,18,0,5,2,Yes,No,Yes,Yes,Yes,2021-05-25 10:39,21
SDH GOHANA,"Devi Nagar, Uttam Nagar, Gohana, Haryana 131301",Yes (10),10,0,0,0,10,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-24 14:07,21
SITA HOSPITAL SONIPAT,"Railway Rd, Ganaur, Haryana 131101",Yes (19),19,0,0,0,20,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-24 17:50,21
SUNHERI DEVI HOSPITAL,"Mission Rd, Dev Nagar, Sonipat, Haryana 131001",Yes (16),11,0,5,1,15,0,5,1,Yes,No,Yes,Yes,Yes,2021-05-25 16:21,21
TULIP HOSPITAL,"T. P. Scheme, no.15, Delhi Rd, Vivekanand chowk, Sonipat, Haryana 131001",No (0),0,0,0,3,0,0,20,5,Yes,No,Yes,Yes,Yes,2021-05-24 23:12,21
"AAROGYAM HOSPITAL, Kurukshetra","NEAR OLD BUS STAND, THANESAR, KURUSKHETRA",Yes (6),0,6,0,2,40,12,15,27,Yes,Yes,Yes,Yes,Yes,2021-05-25 15:27,12
"ADESH MEDICAL COLLEGE, SHAHBAD MOHRI KURUKSHETRA.","VILL. MOHRI, SHAHBAD, KURUSHETRA",Yes (98),25,69,4,0,30,70,5,11,Yes,Yes,Yes,Yes,Yes,2021-05-25 15:33,12
AGGARWAL NURSING HOME,"SALARPUR ROAD, THANESAR, KURUKSHETRA.",Yes (5),5,0,0,2,20,7,3,7,Yes,Yes,Yes,Yes,Yes,2021-05-25 15:26,12
B.S. HEART CARE,"OPP. NEW BUS STAND, KURUKSHETRA.",Yes (8),8,0,0,10,18,0,8,20,Yes,Yes,Yes,Yes,Yes,2021-05-25 15:23,12
"CYGNUS HOSPITAL, Kurukshetra","NEAR OLD BUS STAND, THANESAR, KURUSKHETRA",Yes (3),0,3,0,0,7,4,1,4,Yes,Yes,Yes,Yes,Yes,2021-05-25 15:28,12
KURUKSHETRA NURSING HOME,,Yes (6),5,0,1,2,18,0,1,2,Yes,Yes,Yes,Yes,Yes,2021-05-25 15:31,12
LNJP CIVIL HOSPITAL.,LNJP HOSPITAL KURUKSHETRA.,Yes (8),3,0,5,4,60,30,5,5,Yes,Yes,Yes,Yes,Yes,2021-05-25 15:25,12
MIRI PIRI SHAHBAD,"SHAHBAD, KURUKSHETRA",Yes (6),6,0,0,1,10,0,4,4,Yes,Yes,Yes,Yes,Yes,2021-05-25 17:26,12
Nirogi Hospital,Shahabad Kurukshetra,Yes (7),5,2,0,3,5,2,0,3,Yes,Yes,Yes,Yes,Yes,2021-05-25 15:33,12
Saraswati Mission Hospital,"Ambala Road Dist. Kurukshetra, Pehowa, Haryana 136128",Yes (7),5,0,2,2,20,0,2,5,Yes,No,Yes,Yes,Yes,2021-05-25 15:25,12
"SIDHARTH HOSPITAL, SHAHBAD","SHAHBAD, KURUKSHETRA",Yes (8),4,4,0,1,8,4,4,3,Yes,Yes,Yes,Yes,Yes,2021-05-25 15:30,12
VERMA HOSPITAL,LADWA,Yes (1),0,0,1,2,9,3,2,2,Yes,No,Yes,Yes,Yes,2021-05-25 15:34,12
Cygnus Multispecialty Hospital Kaithal,"Huda Bypass Road, Sector 20, Kaithal, Haryana",Yes (30),28,0,2,0,28,0,12,2,Yes,No,Yes,Yes,Yes,2021-05-25 14:19,10
District Civil Hospital Kaithal,"Huda Sec 18, Kaithal",Yes (53),30,23,0,0,80,23,12,11,Yes,Yes,Yes,Yes,Yes,2021-05-25 16:55,10
SDH Guhla,SDH Guhla,Yes (70),24,41,5,5,24,41,5,5,Yes,No,Yes,No,Yes,2021-05-25 12:22,10
Shah Multispecialty Hospital Kaithal,"opp.old, bus stand, Jind - Kaithal Rd, Amar Garh Colony, Kaithal, Haryana",Yes (32),19,7,6,4,51,11,15,10,Yes,No,Yes,Yes,Yes,2021-05-25 18:24,10
ABLE HOSPITAL,,Yes (37),10,25,2,5,10,25,2,5,Yes,No,Yes,Yes,Yes,2021-05-19 12:55,15
Apex Hospital,"Prakash Vihar, Delhi Mathura Road, Palwal, Haryana",Yes (19),13,0,6,2,13,0,6,2,Yes,No,Yes,Yes,Yes,2021-05-24 11:36,15
ATLAS HOSPITAL,"Palwal, Haryana",Yes (11),0,11,0,2,2,11,2,2,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-24 11:34,15
CHC Alawalpur,CHC Alawalpur,Yes (17),1,16,0,0,4,16,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-18 18:55,15
Civil Hospital Palwal,"Civil Hospital, palwal",Yes (73),71,0,2,5,103,0,7,7,Yes,To Be Updated,To Be Updated,To Be Updated,Yes,2021-05-25 11:02,15
COSMOS HOSPITAL,PALWAL,Yes (10),5,5,0,0,5,5,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-16 12:02,15
GALAXY HOSPITAL,HUDA SECTOR 2,Yes (17),5,0,12,9,5,0,16,11,Yes,No,Yes,Yes,Yes,2021-05-25 10:50,15
"Gurunanak Hospital, Palwal","NH2, Near Bus Stand, Shiv Colony, Palwal Haryana",Yes (30),15,4,11,2,18,4,15,3,Yes,Yes,Yes,Yes,Yes,2021-05-23 17:50,15
JINDAL HOSPITAL,"Palwal, Haryana",Yes (15),10,2,3,0,10,2,3,0,To Be Updated,No,Yes,Yes,Yes,2021-05-19 12:53,15
KISHAN SINGH HOSPITAL,HODAL,Yes (7),7,0,0,0,8,0,0,0,Yes,No,Yes,No,Yes,2021-05-25 14:34,15
NIDHI HOSPITAL,"Palwal, Haryana",Yes (12),2,7,3,0,2,7,3,0,Yes,No,Yes,Yes,Yes,2021-05-19 12:42,15
Palwal Hospital,"Moti Colony, Palwal, Haryana",Yes (14),0,4,10,1,0,6,16,1,Yes,No,Yes,Yes,Yes,2021-05-24 11:21,15
RAHUL HOSPITAL,PALWAL,Yes (15),7,5,3,0,7,5,3,0,Yes,No,Yes,Yes,Yes,2021-05-13 16:20,15
Sachin Hospital,"New Sohna Road, Near Panchwati Chowk, Palwal Haryana",Yes (21),10,5,6,0,10,5,13,2,Yes,Yes,Yes,Yes,Yes,2021-05-25 11:12,15
SDH Hodal,SDH Hodal,Yes (20),10,10,0,0,10,10,0,0,Yes,No,Yes,Yes,Yes,2021-05-25 12:31,15
Shri. Satya Sai Sanjivani Hospital Palwal,"Palwal, Haryana",Yes (17),4,11,2,2,4,17,4,2,Yes,No,Yes,Yes,Yes,2021-05-24 12:09,15
SRI SAI HOSPITAL,"Palwal, Haryana",Yes (6),0,6,0,0,0,6,0,0,Yes,No,Yes,Yes,Yes,2021-05-25 09:22,15
VASHU HOSPITAL,,Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-19 12:53,15
Aashirwad Hospital,101 Devi Murti Colony Panipat,Yes (7),1,0,6,1,2,0,7,1,Yes,No,Yes,Yes,Yes,2021-05-25 15:36,17
Aayushmaan Bhav Hospital,"GT Road Sewah, Near Police Line Panipat",Yes (5),0,4,1,2,5,4,6,2,Yes,No,Yes,Yes,Yes,2021-05-25 15:33,17
APEX HOSPITAL &amp; TRAUMA CENTRE,SANOLI ROAD BABAIL NAKA,Yes (31),5,0,26,2,9,0,26,2,Yes,No,Yes,Yes,Yes,2021-05-25 15:25,17
CHC Dadlana,"VPO Dadlana, Panipat",Yes (8),0,8,0,0,0,8,0,0,No,No,No,No,Yes,2021-05-25 15:52,17
CHC Khotpura,VPO Khotpura Panipat,Yes (9),0,9,0,0,0,9,0,0,No,No,No,No,No,2021-05-25 15:53,17
Chhabra Hospital,A-1 Narain Singh Park,Yes (11),6,0,5,1,6,0,5,1,Yes,Yes,Yes,Yes,Yes,2021-05-25 15:59,17
Civil Hospital panipat,Civil Hospital GT Road Panipat,Yes (48),28,20,0,0,74,20,10,4,Yes,Yes,Yes,Yes,Yes,2021-05-25 15:51,17
Cygnus Hospital panipat,Cygnus Hospital Near Devi Mndir Panipat,Yes (12),12,0,0,2,12,0,5,4,Yes,No,Yes,Yes,Yes,2021-05-25 16:00,17
GALAXY HOSPITAL,ASSAND ROAD PANIPAT,Yes (13),7,0,6,2,7,0,8,2,Yes,No,Yes,Yes,Yes,2021-05-25 15:55,17
Guru Teg Bhadur Sanjeevani Hospital,"Village Bal Jatan Near Panipat Refinary, Panipat",Yes (307),304,3,0,0,307,7,0,0,Yes,No,Yes,Yes,Yes,2021-05-25 16:00,17
Hyderabadi General Hospital &amp; Nursing Home,"Sanoli Road, Near Sanjay, Chowk, Panipat",Yes (7),0,0,7,2,0,0,10,2,Yes,No,Yes,Yes,Yes,2021-05-25 15:57,17
