name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Civil Hospital Fatehabad,Near Bus Stand Fatehabad,Yes (8),5,0,3,2,20,0,26,6,Yes,Yes,Yes,Yes,Yes,2021-05-23 11:04,5
Civil Hospital Ratia,"Dera Surjanhar, Ratia, Fatehabad",No (0),0,0,0,0,5,0,13,3,Yes,Yes,Yes,Yes,Yes,2021-05-23 11:09,5
"Civil Hospital, Tohana",Opposite New Sabzi Mandi Tohana,Yes (6),5,1,0,0,10,3,14,2,Yes,Yes,Yes,Yes,Yes,2021-05-23 11:06,5
Community Health Center Bhattu,"Surya Nagar, Bhattu Mandi near Railway Station",Yes (4),2,2,0,0,4,2,6,0,Yes,Yes,Yes,Yes,Yes,2021-05-23 14:53,5
Community Health Center Bhuna,CHC Bhuna,Yes (22),11,11,0,0,16,14,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-23 17:25,5
Community Health Center JAKHAL,Near SBI Bank Jakhal,Yes (4),4,0,0,0,6,0,6,0,Yes,Yes,Yes,Yes,Yes,2021-05-23 19:42,5
"Gupta Children Hospital, Ratia","Aggarwal Colony, Ratia",Yes (10),1,8,1,0,6,8,2,1,Yes,Yes,Yes,Yes,Yes,2021-05-23 11:19,5
Kaushal Hospital,"Near Harvinder Singh Petrol Pump, Hisar Road, Fatehabad",Yes (6),4,0,2,2,12,0,6,4,Yes,Yes,Yes,Yes,Yes,2021-05-23 11:28,5
"Manav Sewa Sangam Hospital, Tohana",Near Truck Union,No (0),0,0,0,0,15,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-23 11:12,5
Miglani Hospital,"Employees Colony, Ratia,",Yes (11),9,2,0,0,15,2,7,7,Yes,Yes,Yes,Yes,Yes,2021-05-23 17:11,5
Rajasthan Medical Centre (RMC) Hospital Tohana,Kenchi Chowk Tohana,Yes (10),10,0,0,0,11,0,4,2,Yes,Yes,Yes,Yes,Yes,2021-05-23 17:02,5
Sadhbhawdna Hospital Fatehabad,Near Court Complex Hisar Road Fatehabad,Yes (24),4,20,0,0,15,20,15,5,Yes,Yes,Yes,Yes,Yes,2021-05-23 11:07,5
Sanjeevani Hospital Fatehabad,"Goshala Road, near Ashirbad Pelace",Yes (4),3,0,1,1,6,0,4,3,Yes,Yes,Yes,Yes,Yes,2021-05-23 11:23,5
Sanjeevani Hospital Tohana,"Kenchi Chock, Tohana",Yes (3),0,3,0,0,0,6,12,2,Yes,Yes,Yes,Yes,Yes,2021-05-23 11:26,5
"Singla Hospital , fatehabad","Bhattu Road, Batra Colony, Fatehabad",Yes (10),4,6,0,0,5,8,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-23 14:48,5
WadhwaMaternity and surgical Hospital Fatehabad,"Near Papiha Park, Fatehabad",Yes (6),1,0,5,0,1,0,7,1,Yes,Yes,Yes,Yes,Yes,2021-05-23 19:54,5
Anchal Multispeciality Hospital,"Anchal Multi speciality Hospital, Krishna Colony, Bhiwani, Haryana 127027",Yes (26),21,0,5,1,25,0,10,2,Yes,Yes,Yes,Yes,Yes,2021-05-23 18:08,2
Ch. Bansilal Govt Hospital,"Bansi Lal General Hospital, Ghanta Ghar Chowk, SH 17, Krishna Colony, Bhiwani, Haryana 127021",Yes (110),73,19,18,1,146,34,46,9,Yes,Yes,Yes,Yes,Yes,2021-05-23 18:08,2
Chugh Hospital,"Meham Gate, Circular Road, Bhiwani",No (0),0,0,0,0,20,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-23 18:12,2
ESI Hospital Bhiwani,"Stadium Rd, Housing Board Colony, Bhiwani, Haryana 127021",Yes (40),0,40,0,0,0,40,0,0,No,No,Yes,Yes,Yes,2021-05-23 18:09,2
Ganpatrai Hospital,"SH 17, Bank Colony, Bound Kalan, Krishna Colony, Bhiwani, Haryana 127021",Yes (10),4,4,2,1,4,4,2,1,Yes,No,Yes,Yes,Yes,2021-05-23 18:09,2
Jangra Multispecilaity Hospital,"Bank Colony, Old Bharat Nagar, Bhiwani, Haryana 127021",Yes (9),6,3,0,0,7,3,0,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:09,2
Jeevan Nursing Home-Bhiwani,Rohtak gate Bhiwani,Yes (10),3,4,3,0,3,4,3,0,Yes,Yes,Yes,Yes,Yes,2021-05-23 18:14,2
Kadam Hospital,"Bank Colony Near New Bus Stand, Bhiwani",Yes (27),11,0,16,0,11,0,34,1,Yes,Yes,Yes,Yes,Yes,2021-05-23 18:07,2
Krishan Lal Jalan Hospital,"Jalan Nagar, M.C.Colony, Bhiwani, Haryana 127021",Yes (40),20,20,0,0,20,20,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-23 18:10,2
Life Line Hospital,"Circular Rd, M.C.Colony, Bhiwani, Haryana 127021",Yes (14),8,0,6,0,21,0,6,0,Yes,Yes,Yes,Yes,Yes,2021-05-23 18:10,2
RPS HOSPITAL,,Yes (21),3,16,2,0,4,16,4,0,Yes,No,Yes,Yes,Yes,2021-05-23 18:10,2
Sharma Nursing and Maternity Home Tosham,Siwani Road Tosham,Yes (10),7,0,3,2,7,0,3,2,Yes,Yes,To Be Updated,Yes,Yes,2021-05-23 18:13,2
Shree Ganesha Hospital,"Dadri Gate, Bhiwani",Yes (12),6,3,3,0,6,3,4,0,Yes,Yes,Yes,Yes,Yes,2021-05-23 18:12,2
"SHRI BABA YOGI NETANATH HOSPITAL , LOHANI ,BHIWANI",VPO Lohani,Yes (28),24,2,2,2,35,5,10,2,Yes,Yes,Yes,Yes,Yes,2021-05-23 18:13,2
SMSG Multispeciality Hospital,"Rohtak Gate, Bhiwani",Yes (22),0,16,6,2,2,17,11,2,Yes,Yes,Yes,Yes,Yes,2021-05-23 18:12,2
Spes Hospital,"Circular Rd, Bound Kalan, M.C.Colony, Bhiwani, Haryana 127021",Yes (14),4,0,10,1,7,3,12,1,Yes,Yes,Yes,Yes,Yes,2021-05-23 18:11,2
