name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
DCHC Barara,,Yes (39),39,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-18 10:02,1
DCHC Mullana,,Yes (30),30,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-18 10:02,1
District Civil Hospital,Ambala City,Yes (12),1,0,11,7,116,0,23,11,Yes,Yes,Yes,Yes,Yes,2021-05-18 09:58,1
District Civil Hospital Ambala Cantt,Ambala Cantt,No (0),Beds Over Utilized 7,0,0,0,80,0,13,7,Yes,Yes,Yes,Yes,Yes,2021-05-18 09:58,1
Guardian Hospital,AMBALA JAGADHARI ROAD AMBALA CANTT,Yes (3),1,1,1,2,15,3,2,3,Yes,Yes,Yes,Yes,Yes,2021-05-18 10:01,1
Ishwar Hospital,,Yes (6),6,0,0,0,16,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-18 10:01,1
Kuldeep Hospital,,Yes (1),0,0,1,0,8,0,2,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-18 10:02,1
Mehndiratta Hospital,"#106, manali house, near central jail,  ambala city",Yes (9),8,0,1,0,25,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-18 12:14,1
Military Hospital,Ambala Cantonment,Yes (61),5,56,0,2,60,85,0,15,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-18 09:55,1
MM Medical College Pvt,MMIMSR Mullana Ambala,Yes (136),73,63,0,0,116,70,14,10,Yes,Yes,Yes,Yes,Yes,2021-05-18 11:20,1
MMU Mullana,Mullana,No (0),0,0,0,0,0,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-17 19:46,1
Park Healing Touch Hospital,"Sultanpur Chowk, Nr Dhulkot Barrier, Ambala Chandigarh Expy. Ambala",No (0),Beds Over Utilized 14,0,0,0,30,0,10,10,Yes,Yes,Yes,Yes,Yes,2021-05-18 09:58,1
Philedelphia mission Hospital pvt,"Mission Compound, Ambala City",Yes (19),18,0,1,1,92,0,6,2,Yes,No,Yes,Yes,Yes,2021-05-18 09:53,1
Railways Hospital,"Railway Hospital, railway colony,  Ambala Cantt",Yes (1),1,0,0,0,30,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-18 09:59,1
Rotary Hospital Ambala cantt Pvt,"Rambagh road, Opp Dusshera ground, Ambala Cantt",No (0),0,0,0,2,15,0,3,2,Yes,No,Yes,Yes,Yes,2021-05-18 09:54,1
Sant Hospital,,No (0),0,0,0,0,10,0,2,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-18 10:00,1
SDH Naraingarh,,Yes (39),39,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-18 09:59,1
Yafe Indoor Hospital,,Yes (5),3,2,0,0,9,6,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-18 10:02,1
Anchal Multispeciality Hospital,"Anchal Multi speciality Hospital, Krishna Colony, Bhiwani, Haryana 127027",Yes (13),12,0,1,0,25,0,9,2,Yes,Yes,Yes,Yes,Yes,2021-05-18 18:19,2
Ch. Bansilal Govt Hospital,"Bansi Lal General Hospital, Ghanta Ghar Chowk, SH 17, Krishna Colony, Bhiwani, Haryana 127021",Yes (51),25,21,5,1,146,34,46,9,Yes,Yes,Yes,Yes,Yes,2021-05-18 18:09,2
Chugh Hospital,"Meham Gate, Circular Road, Bhiwani",No (0),0,0,0,0,20,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-18 18:21,2
