name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
ANUJ HOSPITAL SAFIDON,safidon panipat road,Yes (30),2,18,10,1,2,18,10,1,Yes,No,Yes,Yes,Yes,2021-05-12 08:31,9
Balaji Hospital Jind,Rohtak Road Jind,No (0),0,0,0,0,32,8,0,0,Yes,No,Yes,Yes,Yes,2021-05-12 08:22,9
CH Uchana (New Building),Uchana,Yes (41),6,33,2,0,60,35,5,0,Yes,No,No,No,Yes,2021-05-12 10:41,9
CHC Alewa,"Alewa 2 Sub Health Centre, Alewa Chc Alewa, Alewa, Jind",Yes (5),5,0,0,0,30,0,0,0,Yes,No,Yes,No,Yes,2021-05-12 08:16,9
CHC Julana,Julana,Yes (10),4,6,0,0,30,6,0,0,Yes,No,Yes,Yes,Yes,2021-05-12 08:17,9
District Civil Hospital Jind 1,Hosptial,No (0),0,0,0,3,126,0,20,12,Yes,Yes,Yes,Yes,Yes,2021-05-12 08:18,9
Gangaputra Ayurvedic Medical College Jind,Kandela,Yes (87),52,10,25,3,60,15,25,3,Yes,No,Yes,Yes,Yes,2021-05-12 10:08,9
JIND HEART HOSPITAL,GOHANA BYPASS ROHTAK ROAD JIND,Yes (8),7,0,1,0,12,0,5,1,Yes,No,No,No,No,2021-05-12 09:28,9
Malik Hospital,Rohtak Road Jind,Yes (3),2,0,1,2,4,0,4,3,Yes,No,Yes,Yes,Yes,2021-05-12 08:19,9
Meenakashi Jain Hospital,Near Bus Stand,No (0),0,0,0,0,10,0,5,1,Yes,No,Yes,Yes,Yes,2021-05-12 08:15,9
Sarvodhya Hospital Jind,Jind,Yes (14),14,0,0,2,20,0,0,2,Yes,No,Yes,No,No,2021-05-12 08:20,9
SDH Narwana,Narwana,Yes (18),6,12,0,0,40,12,0,0,Yes,No,Yes,Yes,Yes,2021-05-12 08:17,9
SDH Safidon,Safidon,Yes (18),4,14,0,0,30,14,0,0,Yes,No,Yes,No,Yes,2021-05-12 08:26,9
Shri Gyani Ram Mamorial Hospital,Safidon,Yes (15),10,3,2,0,10,5,10,0,Yes,No,Yes,Yes,Yes,2021-05-12 08:24,9
ASHIRWAD BHAGAT HOSPITAL,"Old DC Rd, near bhagat hospital, Sonipat, Haryana 131001",Yes (1),0,0,1,1,13,0,2,3,Yes,No,Yes,Yes,Yes,2021-05-12 09:20,21
Bhagwan Dass Hospital,"Near Shahpur Turk, block-E, omaxe city, Sector 18, Sonipat, Haryana 131001",Yes (16),15,0,1,1,34,0,6,2,Yes,No,Yes,Yes,Yes,2021-05-11 18:13,21
