name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Civil Hospital Fatehabad,Near Bus Stand Fatehabad,Yes (7),5,0,2,0,20,0,26,6,Yes,Yes,Yes,Yes,Yes,2021-05-21 16:48,5
Civil Hospital Ratia,"Dera Surjanhar, Ratia, Fatehabad",No (0),0,0,0,0,5,0,13,3,Yes,Yes,Yes,Yes,Yes,2021-05-21 16:55,5
"Civil Hospital, Tohana",Opposite New Sabzi Mandi Tohana,Yes (7),4,3,0,0,10,3,14,2,Yes,Yes,Yes,Yes,Yes,2021-05-21 16:52,5
Community Health Center Bhattu,"Surya Nagar, Bhattu Mandi near Railway Station",Yes (2),0,2,0,0,4,2,6,0,Yes,Yes,Yes,Yes,Yes,2021-05-21 17:04,5
Community Health Center Bhuna,CHC Bhuna,Yes (21),7,14,0,0,16,14,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-21 16:56,5
Community Health Center JAKHAL,Near SBI Bank Jakhal,Yes (4),4,0,0,0,6,0,6,0,Yes,Yes,Yes,Yes,Yes,2021-05-21 21:21,5
"Gupta Children Hospital, Ratia","Aggarwal Colony, Ratia",Yes (13),3,8,2,1,6,8,2,1,Yes,Yes,Yes,Yes,Yes,2021-05-21 17:06,5
Kaushal Hospital,"Near Harvinder Singh Petrol Pump, Hisar Road, Fatehabad",Yes (10),6,0,4,3,12,0,6,4,Yes,Yes,Yes,Yes,Yes,2021-05-21 17:07,5
"Manav Sewa Sangam Hospital, Tohana",Near Truck Union,No (0),0,0,0,0,15,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-21 16:56,5
Miglani Hospital,"Employees Colony, Ratia,",Yes (10),8,2,0,0,15,2,7,7,Yes,Yes,Yes,Yes,Yes,2021-05-21 20:09,5
Rajasthan Medical Centre (RMC) Hospital Tohana,Kenchi Chowk Tohana,Yes (4),4,0,0,0,11,0,4,2,Yes,Yes,Yes,Yes,Yes,2021-05-21 17:08,5
Sadhbhawdna Hospital Fatehabad,Near Court Complex Hisar Road Fatehabad,Yes (15),0,15,0,0,15,20,15,5,Yes,Yes,Yes,Yes,Yes,2021-05-21 17:13,5
Sanjeevani Hospital Fatehabad,"Goshala Road, near Ashirbad Pelace",Yes (4),3,0,1,1,6,0,4,3,Yes,Yes,Yes,Yes,Yes,2021-05-21 17:07,5
Sanjeevani Hospital Tohana,"Kenchi Chock, Tohana",Yes (1),0,1,0,0,0,6,12,2,Yes,Yes,Yes,Yes,Yes,2021-05-21 17:03,5
"Singla Hospital , fatehabad","Bhattu Road, Batra Colony, Fatehabad",Yes (6),3,3,0,0,5,8,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-21 17:50,5
WadhwaMaternity and surgical Hospital Fatehabad,"Near Papiha Park, Fatehabad",Yes (4),1,0,3,0,1,0,7,1,Yes,Yes,Yes,Yes,Yes,2021-05-21 18:54,5
Alchemist Hospital panchkula,Sector 21 Panchkula,Yes (3),1,0,2,0,42,0,12,4,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:35,16
Alchemist Ojas Hospital,"H1  SEctor 26, Panchkula Ext, Panchkula",Yes (14),13,0,1,0,54,0,13,4,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:36,16
Civil Hospital Panchkula,sector 6 Panchkula,Yes (46),20,26,0,0,140,31,64,6,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:34,16
JN Shory Hospital,Pinjore,Yes (11),8,3,0,0,18,6,0,0,To Be Updated,To Be Updated,Yes,Yes,Yes,2021-05-21 10:37,16
Kare Partners Hospital,"Sector 2, Panchkula",Yes (9),9,0,0,0,13,0,0,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-21 10:36,16
Paras Hospital Pvt,"Plot no 2, sec 22, panchkula",Yes (28),18,8,2,2,67,10,23,12,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:35,16
Wings Hospital,Sector 25 Panchkula,Yes (26),14,11,1,0,15,11,5,0,To Be Updated,To Be Updated,To Be Updated,Yes,Yes,2021-05-21 10:36,16
"Apex Hospital, Sirsa","Circular Road, Sirsa",Yes (11),7,1,3,0,12,2,4,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-21 17:38,20
"Astha Hospital, Sirsa",Dabwali Road Sirsa,Yes (7),6,0,1,0,15,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-21 17:12,20
CIVIL HOSPITAL SIRSA,"Civil Hospital Road, Sirsa",Yes (2),0,2,0,0,80,15,5,5,Yes,Yes,Yes,Yes,Yes,2021-05-21 09:56,20
"Dayal Nursing Home, Sirsa","Dabwali Road, Sirsa",Yes (2),2,0,0,0,9,3,0,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-21 22:05,20
"Gupta Hospital, Sirsa","Dabwali Road, Sirsa Near Easy Day",No (0),0,0,0,0,4,3,5,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-21 16:29,20
"Jagdish Nursing Home, Sirsa","Gandhi Market, Parshuram Chowk, Sirsa",Yes (7),0,4,3,0,0,4,7,1,Yes,No,Yes,Yes,Yes,2021-05-21 17:27,20
"jCD Hospital, Sirsa","JCD Hospital, Barnala Road, Sirsa",Yes (32),0,32,0,0,10,40,0,0,Yes,No,Yes,Yes,Yes,2021-05-21 16:43,20
"Jeevan Jyoti Hospital, Sirsa",Dabwali Road Sirsa,No (0),0,0,0,0,7,1,6,3,Yes,No,Yes,Yes,Yes,2021-05-21 16:37,20
"Khurana Hospital, Sirsa",Dabwali Road Sirsa,Yes (8),5,0,3,0,6,0,4,0,Yes,No,Yes,Yes,Yes,2021-05-21 17:09,20
"Lalgarhia Hospital, Sirsa",Dabwali Road Sirsa,No (0),0,0,0,0,13,2,3,1,Yes,Yes,Yes,Yes,Yes,2021-05-21 17:04,20
"Medicare Hospital, Sirsa","Dabwali Road, Sirsa",Yes (4),0,3,1,0,1,6,6,2,Yes,Yes,Yes,Yes,Yes,2021-05-21 18:08,20
"Metro Health Care Hospital, Sirsa","Near Dena Bank, lal Batti Chowk, Sirsa",Yes (4),1,0,3,0,5,0,5,1,Yes,Yes,Yes,Yes,Yes,2021-05-21 16:20,20
"Mittal Hospital, Sirsa","Near Jhunthra Petrol Pump, Dabwali Road Sirsa",Yes (7),6,1,0,0,14,1,4,0,Yes,No,Yes,Yes,Yes,2021-05-21 15:59,20
