name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Aashirwad Hospital,101 Devi Murti Colony Panipat,Yes (5),1,0,4,1,2,0,7,1,Yes,No,Yes,Yes,Yes,2021-05-24 15:27,17
Aayushmaan Bhav Hospital,"GT Road Sewah, Near Police Line Panipat",Yes (5),0,4,1,2,5,4,6,2,Yes,No,Yes,Yes,Yes,2021-05-24 15:26,17
APEX HOSPITAL &amp; TRAUMA CENTRE,SANOLI ROAD BABAIL NAKA,Yes (34),8,0,26,2,9,0,26,2,Yes,No,Yes,Yes,Yes,2021-05-24 15:46,17
CHC Dadlana,"VPO Dadlana, Panipat",Yes (8),0,8,0,0,0,8,0,0,No,No,No,No,Yes,2021-05-24 15:33,17
CHC Khotpura,VPO Khotpura Panipat,Yes (9),0,9,0,0,0,9,0,0,No,No,No,No,No,2021-05-24 15:34,17
Chhabra Hospital,A-1 Narain Singh Park,Yes (11),6,0,5,1,6,0,5,1,Yes,Yes,Yes,Yes,Yes,2021-05-24 15:31,17
Civil Hospital panipat,Civil Hospital GT Road Panipat,Yes (49),29,20,0,0,74,20,10,4,Yes,Yes,Yes,Yes,Yes,2021-05-24 15:31,17
Cygnus Hospital panipat,Cygnus Hospital Near Devi Mndir Panipat,Yes (12),12,0,0,2,12,0,5,4,Yes,No,Yes,Yes,Yes,2021-05-24 15:51,17
GALAXY HOSPITAL,ASSAND ROAD PANIPAT,Yes (13),7,0,6,2,7,0,8,2,Yes,No,Yes,Yes,Yes,2021-05-24 15:25,17
Guru Teg Bhadur Sanjeevani Hospital,"Village Bal Jatan Near Panipat Refinary, Panipat",Yes (309),304,5,0,0,307,7,0,0,Yes,No,Yes,Yes,Yes,2021-05-24 15:30,17
Hyderabadi General Hospital &amp; Nursing Home,"Sanoli Road, Near Sanjay, Chowk, Panipat",Yes (7),0,0,7,2,0,0,10,2,Yes,No,Yes,Yes,Yes,2021-05-24 15:44,17
