name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Anchal Multispeciality Hospital,"Anchal Multi speciality Hospital, Krishna Colony, Bhiwani, Haryana 127027",Yes (5),4,0,1,1,21,0,8,2,Yes,Yes,Yes,Yes,Yes,2021-05-12 18:55,2
Ch. Bansilal Govt Hospital,"Bansi Lal General Hospital, Ghanta Ghar Chowk, SH 17, Krishna Colony, Bhiwani, Haryana 127021",Yes (50),Beds Over Utilized 39,37,13,1,102,75,51,9,Yes,Yes,Yes,Yes,Yes,2021-05-12 18:56,2
Chugh Hospital,"Meham Gate, Circular Road, Bhiwani",No (0),0,0,0,0,20,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-12 19:06,2
ESI Hospital Bhiwani,"Stadium Rd, Housing Board Colony, Bhiwani, Haryana 127021",Yes (40),0,40,0,0,0,40,0,0,No,No,Yes,Yes,Yes,2021-05-12 18:57,2
Ganpatrai Hospital,"SH 17, Bank Colony, Bound Kalan, Krishna Colony, Bhiwani, Haryana 127021",Yes (10),4,4,2,1,4,4,2,1,Yes,No,Yes,Yes,Yes,2021-05-12 18:58,2
Jangra Multispecilaity Hospital,"Bank Colony, Old Bharat Nagar, Bhiwani, Haryana 127021",Yes (5),3,2,0,0,7,3,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-12 18:58,2
Kadam Hospital,"Bank Colony Near New Bus Stand, Bhiwani",Yes (4),0,0,4,0,11,0,33,1,Yes,Yes,Yes,Yes,Yes,2021-05-12 18:55,2
Krishan Lal Jalan Hospital,"Jalan Nagar, M.C.Colony, Bhiwani, Haryana 127021",Yes (40),20,20,0,0,20,20,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-12 18:59,2
Life Line Hospital,"Circular Rd, M.C.Colony, Bhiwani, Haryana 127021",Yes (15),0,15,Beds Over Utilized 1,1,25,15,0,1,Yes,Yes,Yes,Yes,Yes,2021-05-12 19:01,2
RPS HOSPITAL,,Yes (18),3,12,3,0,4,16,4,0,Yes,No,Yes,Yes,Yes,2021-05-12 19:02,2
Shree Ganesha Hospital,"Dadri Gate, Bhiwani",Yes (7),3,3,1,1,6,3,4,1,Yes,Yes,Yes,Yes,Yes,2021-05-12 19:07,2
SMSG Multispeciality Hospital,"Rohtak Gate, Bhiwani",Yes (27),2,17,8,2,2,17,11,2,Yes,Yes,Yes,Yes,Yes,2021-05-12 19:06,2
Spes Hospital,"Circular Rd, Bound Kalan, M.C.Colony, Bhiwani, Haryana 127021",Yes (5),5,0,0,0,5,0,7,0,Yes,Yes,Yes,Yes,Yes,2021-05-12 19:02,2
"AADHAR Hospital, Hisar",Tosham Road Hisar,No (0),0,0,0,0,26,6,12,6,Yes,No,Yes,Yes,Yes,2021-05-12 17:02,7
Bharat Multispeciality Hospital,Hisar,No (0),0,0,0,0,24,0,2,2,Yes,No,Yes,Yes,Yes,2021-05-12 15:41,7
Central Medical Centre (CMC),CMC Hospital Delhi Road Hisar,No (0),0,0,0,0,42,5,10,3,Yes,Yes,Yes,Yes,Yes,2021-05-12 18:26,7
Churamani Hospital,CAMP CHOWK HISAR,Yes (18),3,5,10,0,5,5,30,5,No,No,No,No,No,2021-05-12 17:45,7
District Civil Hospital Hisar,Sirsa Road Hisar,No (0),Beds Over Utilized 1,0,0,0,71,0,0,9,Yes,Yes,Yes,No,Yes,2021-05-12 17:45,7
DR. ANANTRAM JANTA HOSPITAL PVT LTD BARWALA,Civil Hospital Road Barwala,Yes (21),19,0,2,3,20,0,3,3,Yes,No,Yes,Yes,Yes,2021-05-12 12:16,7
Geetanjali Hospital,Model Town Hisar,No (0),Beds Over Utilized 2,0,0,0,40,0,7,5,Yes,Yes,Yes,Yes,Yes,2021-05-12 19:29,7
Goswami Hospital,"NEAR BUS STAND, RISHI NAGAR",No (0),Beds Over Utilized 4,0,0,0,4,5,0,1,Yes,No,Yes,Yes,Yes,2021-05-12 14:13,7
Gupta Hospital Hisar,Sector 14 Hisar,Yes (13),13,0,0,0,40,0,15,0,Yes,Yes,Yes,No,Yes,2021-05-12 19:25,7
"GURU JAMBHESHWAR MULTISPECIALITY HOSPITAL, AGROHA","ADAMPUR ROAD, AGROHA",No (0),0,0,0,0,9,3,3,1,Yes,Yes,Yes,Yes,Yes,2021-05-12 20:22,7
Holy Help Hospital,Tosham Road Hisar,No (0),0,0,0,0,25,6,8,1,Yes,Yes,Yes,Yes,Yes,2021-05-12 06:45,7
Mahatma Gandhi Hospital,,Yes (2),0,2,0,0,19,13,10,8,Yes,Yes,Yes,Yes,Yes,2021-05-12 19:15,7
MAMC Agroha,"Maharaj Aggarsin Medical College, VPO Agroha",No (0),0,0,0,0,85,15,40,60,Yes,Yes,Yes,Yes,Yes,2021-05-12 10:06,7
Medi City Hospital,Model Town Hisar,Yes (13),13,0,0,0,13,0,0,0,Yes,No,No,No,No,2021-05-12 17:44,7
Military Hospital Hisar,Cantt Hisar,No (0),0,0,0,0,15,42,2,3,To Be Updated,No,Yes,Yes,Yes,2021-05-11 08:04,7
Noble Super Specialty Hospital,Hisar,Yes (1),1,0,0,0,12,0,7,1,Yes,No,Yes,To Be Updated,Yes,2021-05-12 19:00,7
