name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Alchemist Hospital panchkula,Sector 21 Panchkula,Yes (2),1,0,1,0,42,0,12,4,Yes,Yes,Yes,Yes,Yes,2021-05-17 10:37,16
Alchemist Ojas Hospital,"H1  SEctor 26, Panchkula Ext, Panchkula",Yes (6),5,0,1,0,54,0,13,4,Yes,Yes,Yes,Yes,Yes,2021-05-17 10:37,16
Civil Hospital Panchkula,sector 6 Panchkula,Yes (17),4,13,0,0,140,31,64,6,Yes,Yes,Yes,Yes,Yes,2021-05-17 10:36,16
JN Shory Hospital,Pinjore,Yes (9),3,6,0,0,18,6,0,0,To Be Updated,To Be Updated,Yes,Yes,Yes,2021-05-17 10:40,16
Kare Partners Hospital,"Sector 2, Panchkula",Yes (10),10,0,0,0,13,0,0,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-17 10:39,16
Paras Hospital Pvt,"Plot no 2, sec 22, panchkula",Yes (19),14,5,0,2,67,10,23,12,Yes,Yes,Yes,Yes,Yes,2021-05-17 10:36,16
Wings Hospital,Sector 25 Panchkula,Yes (22),8,10,4,0,15,11,5,0,To Be Updated,To Be Updated,To Be Updated,Yes,Yes,2021-05-17 10:38,16
Civil Hospital Fatehabad,Near Bus Stand Fatehabad,Yes (15),0,0,15,0,20,0,26,6,Yes,Yes,Yes,Yes,Yes,2021-05-17 08:57,5
Civil Hospital Ratia,"Dera Surjanhar, Ratia, Fatehabad",No (0),0,0,0,0,5,0,13,3,Yes,No,No,No,Yes,2021-05-16 15:53,5
"Civil Hospital, Tohana",Opposite New Sabzi Mandi Tohana,No (0),0,0,0,0,10,3,14,2,Yes,No,Yes,Yes,Yes,2021-05-16 20:52,5
