name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Vijay Hospital Narnaul,"HUDA Sector 1, Narnaul",Yes (17),7,0,10,2,8,0,15,2,Yes,Yes,Yes,Yes,Yes,2021-05-30 09:38,13
Adiyogi Arogya Avenue,"232, Subhash Nagar, Near civil hospital back gate, Jhajjar",Yes (12),7,2,3,1,7,2,6,1,To Be Updated,To Be Updated,Yes,Yes,Yes,2021-05-29 10:42,8
"Advanta Hospital, Jhajjar city","Silani Gate, Jhajjar, Haryana",Yes (42),24,10,8,1,24,10,16,1,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-30 09:44,8
"Brahm Shakti Sanjivani Hospital, B.garh","Opp. BSNL Exchange, Delhi - Rohtak Road, NH9, Bahadurgarh, Haryana",Yes (89),52,20,17,3,60,20,20,3,Yes,No,Yes,Yes,Yes,2021-05-30 11:35,8
Civil Hospital Jhajjar,"Jhajjar, NH-71, Jhajjar Rohtak Road, Jhajjar, Jhajjar, Haryana",Yes (36),35,0,1,3,53,0,5,5,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-30 11:02,8
"Delhi Hospital, Bahadurgarh","Rohtak Rd, near Shyamji Complex, Ram Nagar, Bahadurgarh, Haryana",Yes (50),20,20,10,2,20,20,10,2,Yes,No,Yes,Yes,Yes,2021-05-30 11:46,8
Dr. Sanjay Multi Speciality Hospital,INFRONT OF CIVIL HOSPITAL BAHADURGARH,Yes (56),44,6,6,1,45,10,6,1,Yes,No,No,To Be Updated,To Be Updated,2021-05-30 10:43,8
"Jeewan Jyoti Hospital, Bahadurgarh","Rohtak Rd, MIE Part-B, Bahadurgarh, Haryana",Yes (114),57,57,0,4,77,68,15,4,Yes,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-23 16:42,8
"JK Hospital, Bahadurgarh","Bahadurgarh,, Bahamnoli, Bahadurgarh, Haryana",Yes (44),5,31,8,0,5,31,8,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-30 12:00,8
"Medicare Super Speciality Hospiatl &amp; Trauma Centre, Jhajjar City","Dadri road Jhajjar, Jhajjar, Haryana",Yes (44),14,18,12,3,15,23,12,3,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-30 14:07,8
"Mission Hospital, Bahadurgarh","Near main Bus Stand & City Metro Station, Rohtak Rd, Bahadurgarh, Jhajjar ,Haryana",Yes (44),9,29,6,1,14,29,6,1,To Be Updated,No,Yes,Yes,No,2021-05-30 15:13,8
"Oscar Hospital, JJR city","Civil Road,Opp Civil Hospital, Jhajjar, Haryana",Yes (63),5,58,0,1,8,58,14,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-30 14:40,8
Oxymus Hospital,"Opposite Civil Hospital, Near Metro Pollar No. 876 Delhi Rohtak Road, Bahadurgarh",Yes (9),4,0,5,0,4,0,6,0,Yes,No,No,No,No,2021-05-27 12:32,8
"Rana Hospital, Bahadurgarh","OPP. REST HOUSE,OLD BARAHI ROAD, BAHADURGARH",Yes (25),18,0,7,2,18,0,7,2,To Be Updated,To Be Updated,No,No,Yes,2021-05-30 16:45,8
"RJ Super Speciality Hospital, B.garh","Delhi - Rohtak Rd, Near Rajesh Joon Office, Dalbir Nagar, Bahadurgarh, Haryana",Yes (54),38,10,6,3,60,10,10,3,Yes,No,Yes,Yes,Yes,2021-05-30 10:40,8
RS GAUR GLOBAL MULTISPECIALITY HOSPITAL,"Jhajjar Road Netaji Subhash Vihar, Haryana",Yes (25),16,5,4,2,19,7,7,2,Yes,No,Yes,Yes,Yes,2021-05-29 15:00,8
"SDH, Bahadurgarh","Madhya Marg, Old Industrial Area, Bahadurgarh, Haryana",Yes (38),33,0,5,5,35,0,5,5,Yes,Yes,Yes,No,Yes,2021-05-29 10:44,8
"Shivam Hospital, B.garh","Line Par, Shastri Nagar, Netaji Nagar, Bahadurgarh, Haryana",Yes (45),29,13,3,0,30,15,6,1,Yes,No,Yes,Yes,Yes,2021-05-30 12:49,8
"Swastik Hospital, Bahadurgarh","Jhajjar Rd, Shakti Nagar, Sakti Nagar, Bahadurgarh, Haryana",Yes (29),21,0,8,1,26,4,10,2,Yes,No,Yes,Yes,Yes,2021-05-30 08:27,8
World College Of Medical Sciences And Hospital,"Jhajjar Sampla Road, Gurwar, Jhajjar, Haryana",Yes (233),90,135,8,4,90,135,25,4,Yes,Yes,Yes,Yes,Yes,2021-05-30 09:41,8
DCHC Barara,,Yes (45),45,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-30 10:38,1
DCHC Mullana,,Yes (41),41,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-30 10:38,1
District Civil Hospital,Ambala City,Yes (90),74,0,16,10,116,0,23,11,Yes,Yes,Yes,Yes,Yes,2021-05-30 10:35,1
District Civil Hospital Ambala Cantt,Ambala Cantt,Yes (20),20,0,0,6,80,0,13,7,Yes,Yes,Yes,Yes,Yes,2021-05-30 10:35,1
Guardian Hospital,AMBALA JAGADHARI ROAD AMBALA CANTT,Yes (20),15,3,2,3,15,3,2,3,Yes,Yes,Yes,Yes,Yes,2021-05-30 10:37,1
Ishwar Hospital,,Yes (8),8,0,0,0,16,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-30 10:37,1
Kuldeep Hospital,,Yes (6),4,0,2,0,8,0,2,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-30 10:38,1
Mehndiratta Hospital,"#106, manali house, near central jail,  ambala city",Yes (16),16,0,0,1,25,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-30 10:37,1
Military Hospital,Ambala Cantonment,Yes (111),47,64,0,13,60,85,0,15,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-30 10:35,1
MM Medical College Pvt,MMIMSR Mullana Ambala,Yes (176),106,62,8,0,116,70,14,10,Yes,Yes,Yes,Yes,Yes,2021-05-30 12:36,1
Park Healing Touch Hospital,"Sultanpur Chowk, Nr Dhulkot Barrier, Ambala Chandigarh Expy. Ambala",Yes (16),13,0,3,3,30,0,10,10,Yes,Yes,Yes,Yes,Yes,2021-05-30 10:36,1
Philedelphia mission Hospital pvt,"Mission Compound, Ambala City",Yes (44),41,0,3,2,92,0,6,2,Yes,No,Yes,Yes,Yes,2021-05-30 10:12,1
Railways Hospital,"Railway Hospital, railway colony,  Ambala Cantt",Yes (12),12,0,0,0,30,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-30 16:24,1
Rotary Hospital Ambala cantt Pvt,"Rambagh road, Opp Dusshera ground, Ambala Cantt",Yes (6),6,0,0,2,15,0,3,2,Yes,No,Yes,Yes,Yes,2021-05-30 10:34,1
Sant Hospital,,Yes (4),2,0,2,1,10,0,2,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-30 10:37,1
SDH Naraingarh,,Yes (44),44,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-30 10:36,1
Yafe Indoor Hospital,,Yes (6),6,0,0,0,9,6,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-30 10:38,1
Cygnus Multispecialty Hospital Kaithal,"Huda Bypass Road, Sector 20, Kaithal, Haryana",Yes (30),28,0,2,0,28,0,12,2,Yes,No,Yes,Yes,Yes,2021-05-30 10:58,10
District Civil Hospital Kaithal,"Huda Sec 18, Kaithal",Yes (75),52,13,10,9,80,15,20,15,Yes,Yes,Yes,Yes,Yes,2021-05-30 09:56,10
SDH Guhla,SDH Guhla,Yes (70),24,41,5,5,24,41,5,5,Yes,No,Yes,No,Yes,2021-05-30 13:52,10
Shah Multispecialty Hospital Kaithal,"opp.old, bus stand, Jind - Kaithal Rd, Amar Garh Colony, Kaithal, Haryana",Yes (42),29,10,3,4,51,11,15,10,Yes,No,Yes,Yes,Yes,2021-05-30 09:42,10
"Apex Hospital, Sirsa","Circular Road, Sirsa",Yes (13),10,2,1,1,12,2,4,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-30 14:08,20
"Astha Hospital, Sirsa",Dabwali Road Sirsa,Yes (15),12,0,3,0,15,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-30 08:12,20
CIVIL HOSPITAL SIRSA,"Civil Hospital Road, Sirsa",Yes (49),35,13,1,1,85,14,6,6,Yes,Yes,Yes,Yes,Yes,2021-05-30 08:27,20
"Dayal Nursing Home, Sirsa","Dabwali Road, Sirsa",Yes (6),4,2,0,0,9,3,0,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-30 17:09,20
"Gupta Hospital, Sirsa","Dabwali Road, Sirsa Near Easy Day",Yes (5),2,3,0,0,4,3,5,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-30 15:33,20
"Jagdish Nursing Home, Sirsa","Gandhi Market, Parshuram Chowk, Sirsa",Yes (10),0,4,6,0,0,4,7,1,Yes,No,Yes,Yes,Yes,2021-05-30 09:45,20
"jCD Hospital, Sirsa","JCD Hospital, Barnala Road, Sirsa",Yes (45),11,34,0,0,15,35,0,0,Yes,No,Yes,Yes,Yes,2021-05-30 09:17,20
"Jeevan Jyoti Hospital, Sirsa",Dabwali Road Sirsa,Yes (7),5,1,1,1,7,1,6,3,Yes,No,Yes,Yes,Yes,2021-05-30 16:52,20
"Khurana Hospital, Sirsa",Dabwali Road Sirsa,Yes (8),5,0,3,0,6,0,4,0,Yes,No,Yes,Yes,Yes,2021-05-30 16:27,20
"Lalgarhia Hospital, Sirsa",Dabwali Road Sirsa,Yes (7),4,2,1,0,13,2,3,1,Yes,Yes,Yes,Yes,Yes,2021-05-30 08:36,20
"Medicare Hospital, Sirsa","Dabwali Road, Sirsa",Yes (13),1,6,6,2,1,6,6,2,Yes,Yes,Yes,Yes,Yes,2021-05-30 13:09,20
"Metro Health Care Hospital, Sirsa","Near Dena Bank, lal Batti Chowk, Sirsa",Yes (7),2,0,5,0,5,0,5,1,Yes,Yes,Yes,Yes,Yes,2021-05-30 09:12,20
"Mittal Hospital, Sirsa","Near Jhunthra Petrol Pump, Dabwali Road Sirsa",Yes (14),10,1,3,0,14,1,4,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:44,20
"New Life Care Hospital, Sirsa","Dabwali Road, Sirsa",Yes (12),7,2,3,0,7,2,3,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:19,20
"Poonia COVID Care Center, Sirsa","Near Ambedkar chowk, opposite Seth tula ram dharamshala, Hisar Road, Sirsa, Haryana 125055",Yes (20),11,7,2,1,14,7,3,1,Yes,Yes,Yes,Yes,Yes,2021-05-30 16:36,20
"Sanjeevni Hospital, Sirsa (Wing -2, 1 &amp; 2nd Floor)","Under over bridge, hisar road, sirsa",Yes (77),37,28,12,3,45,30,16,6,Yes,Yes,Yes,Yes,Yes,2021-05-30 16:51,20
SDCH Dabwali,"Dabwali, District Sirsa",Yes (12),0,12,0,0,12,13,0,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:05,20
"Shah Satnam Dera Hospital (Wing -2, 2nd floor), Sirsa","Begu Road, Sirsa",Yes (34),12,17,5,2,21,30,14,7,Yes,Yes,Yes,Yes,Yes,2021-05-30 16:30,20
"Shri Baba Tara Hospital &amp; Research Center, Sirsa","Hisar Road, Sirsa",Yes (13),9,4,0,0,15,5,5,3,Yes,No,Yes,Yes,Yes,2021-05-30 10:35,20
"SPS Hospital, Sirsa","Near Sangwan Chowk, Dabwali Road, Sirsa",Yes (2),2,0,0,0,12,0,3,2,Yes,No,Yes,Yes,Yes,2021-05-30 17:42,20
"Suraksha Hospital, Sirsa","Dabwali Rd, opposite Hotel Aroma, Sirsa, Haryana 125055",Yes (14),6,3,5,4,10,3,11,7,Yes,Yes,Yes,Yes,Yes,2021-05-30 09:11,20
"Swastik Hospital, Sirsa","Ambedkar Chowk, Nandan Vatika, Sirsa,",Yes (9),5,2,2,0,5,5,5,1,Yes,No,Yes,Yes,Yes,2021-05-30 17:24,20
"Talwar Nursing Home, Sirsa","Under Over Bridge, Hisar Road, Sirsa",Yes (7),5,0,2,1,12,2,2,1,Yes,Yes,Yes,Yes,Yes,2021-05-30 09:48,20
"Tomar Nursing Home, Sirsa","Nandan Vatika, near surkhab Chock, Hathi park, Agrasain Colony, Sirsa, Haryana 125055",Yes (14),10,2,2,1,12,2,4,1,Yes,Yes,Yes,Yes,Yes,2021-05-30 09:53,20
"Vardan Hospital, Sirsa","Near Lal Batti Chowk, Sirsa",Yes (17),9,3,5,0,9,3,6,0,Yes,No,Yes,Yes,Yes,2021-05-30 15:51,20
Amar Hospotal,Assandh,No (0),0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-30 17:33,11
"AMRITDHARA, Chaura Bazar","Near ITI Chowk, Gahoon Vihar, Karnal, Haryana",Yes (4),4,0,0,0,38,0,26,2,Yes,No,Yes,Yes,Yes,2021-05-30 17:33,11
Arpana Hospital,"G.T. Road, Madhuban, Karnal, Karnal, Haryana",Yes (16),16,0,0,0,16,0,2,1,Yes,No,Yes,Yes,Yes,2021-05-30 16:30,11
Arsh Hospital,Opp. Kalpana Chawla Medical College,Yes (15),9,0,6,0,9,0,6,0,Yes,Yes,Yes,Yes,Yes,2021-05-30 17:27,11
CHC Assandh,"Assandh, Assandh Ruralpart, Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-30 17:30,11
CHC Gharaunda,"Balinagar, Gharaunda, Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-30 17:29,11
CHC Kunjpura,Village Kunjpura,Yes (11),11,0,0,0,11,0,0,0,To Be Updated,Yes,Yes,Yes,Yes,2021-05-30 17:35,11
CHC Nissing,"SH 8, Gondar, Nissing, Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-30 17:30,11
CHC Taraori,CHC Taraori,Yes (6),6,0,0,0,6,0,0,0,Yes,No,Yes,No,Yes,2021-05-30 17:31,11
Dr. Gian Bhushan Hospital,"Kunjpura Rd Old Char Chaman Dyal Singh Colony Karnal  132001 Republic of,",Yes (8),6,0,2,0,6,0,5,0,Yes,No,No,No,No,2021-05-30 17:32,11
Ishwar Kirpa Hospital,"Ishwar Kirpa Hospital, Sector -14",Yes (10),9,0,1,0,14,0,7,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:31,11
"Kalpana Chawla Government Medical College, Karnal","Model Town, Karnal, Haryana",Yes (2),1,0,1,0,200,0,80,80,Yes,Yes,Yes,Yes,Yes,2021-05-30 17:33,11
Karnal Nursing Home,"26 Duggal Colony, Karnal",Yes (13),7,0,6,0,8,0,10,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:28,11
Park Hospital karnal,"CHD City, NH-1, Sector 45, Karnal, Haryana",Yes (30),10,0,20,2,10,0,20,2,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-30 17:27,11
Rama Superspeciality Hospital,Civil Hosp Chowk Karnal,No (0),0,0,0,0,8,0,6,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:34,11
RP Welltar Hospital,"Vill. Bastara, District Karnal",Yes (13),7,3,3,0,10,4,4,1,Yes,No,Yes,No,Yes,2021-05-30 08:53,11
Sanidhya Nursing Home,"indri, Karnal",Yes (15),10,0,5,0,10,0,5,0,To Be Updated,Yes,Yes,Yes,Yes,2021-05-30 17:28,11
"Sanjiv Bansal Cygnus Hospital , Karnal","Railway Rd, Ibrahim Mandi, Karnal, Haryana",Yes (11),11,0,0,1,20,0,5,2,Yes,Yes,Yes,Yes,Yes,2021-05-30 17:29,11
Sarvodya Hospital Karnal,"Sector 14, Near Tau Devi Lal Chowk",Yes (20),12,0,8,0,12,0,10,0,Yes,Yes,Yes,Yes,Yes,2021-05-30 17:27,11
SDH Nilokheri,SDH Nilokheri,Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-30 17:30,11
Shri Ram Chand Memorial Hospital,"12, Ashoka colony,Opp Kalpana Chawla hospital, Karnal, Haryana",No (0),0,0,0,0,8,0,7,3,Yes,No,Yes,Yes,Yes,2021-05-30 17:34,11
Shri Sanatan Dharam Mahabir Dal,"Kunjpura Road, Karnal Near Sanatan Dharam Mandir",Yes (8),8,0,0,0,12,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-30 17:32,11
SS Hospital,"Sector 14, Karnal",Yes (3),0,0,3,0,7,0,7,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-30 16:45,11
Swastik Hospital,Swastic Hospital Opp DCH,Yes (12),6,0,6,0,10,0,9,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:29,11
Virk Hospital Karnal,"363-364, Randhir lane, near Dyal Singh College, Karnal, Haryana",Yes (31),27,0,4,1,37,0,8,1,Yes,Yes,Yes,Yes,Yes,2021-05-30 15:54,11
Ch Lekh Raj Multispeciality Hospital,Vill Gadhauli Yamuna Nagar,Yes (143),135,0,8,3,140,0,10,5,Yes,No,Yes,Yes,Yes,2021-05-30 17:17,22
CHC Bilaspur,CHC Bilaspur,Yes (18),3,15,0,0,8,17,0,0,Yes,No,Yes,No,Yes,2021-05-30 17:08,22
CHC Chhachharuli,CHC Chhachharuli,Yes (22),8,14,0,0,10,20,0,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:08,22
CHC Naharpur,Naharpur Yamuna Nagar,Yes (10),10,0,0,0,10,0,0,0,Yes,No,No,No,Yes,2021-05-30 17:09,22
CHC Partap Nagar,CHC Partap Nagar,Yes (13),4,9,0,0,6,10,0,0,Yes,No,Yes,No,Yes,2021-05-30 17:09,22
CHC Radaur,Radaur Yamuna Nagar,Yes (20),10,10,0,0,10,10,0,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:09,22
CHC Saraswati Nagar,CHC Saraswati Nagar,Yes (25),14,11,0,0,14,11,0,0,Yes,No,Yes,No,Yes,2021-05-30 17:09,22
DABRA HOSPITAL Yamunanagar,DABRA HOSPITAL,Yes (15),7,8,0,2,11,8,4,2,Yes,No,Yes,Yes,Yes,2021-05-30 17:14,22
ESI Hospital,"ESI Hospital, Jagadhri",Yes (33),15,0,18,0,36,0,22,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:07,22
Gaba Hospital,Gaba Hospital Yamunanagar,Yes (41),21,20,0,0,30,20,20,5,Yes,No,Yes,Yes,Yes,2021-05-30 17:11,22
GULATI HOSPITAL,GULATI HOSPITAL,Yes (22),17,3,2,0,25,3,6,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:12,22
Heart Care Center Hospital,Near Lal Dwara Mandir Yamuna Nagar,Yes (18),2,2,14,6,2,2,15,7,Yes,No,Yes,Yes,Yes,2021-05-30 17:11,22
JP Hospital Pvt,"Jagadhri Rd, near Luxmi Theater, Vishwakarma Mohalla, Yamuna Nagar,HARAYANA Haryana",Yes (30),13,14,3,0,15,15,13,2,Yes,No,Yes,Yes,Yes,2021-05-30 17:12,22
KAPOOR HOSPITAL,"SH 6A Indira Colony Jagadhri, yamunanagart ,Haryana",Yes (10),3,0,7,0,4,0,8,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:14,22
KESHWANI HOSPITAL,"Jagadhri - Yamuna Nagar Rd, Tagore Garden, Yamuna Nagar, Haryana",Yes (8),8,0,0,0,10,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:17,22
Maxxwell Hospital,Jagadhari Yamuna Nagar,Yes (17),10,1,6,0,10,1,6,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:13,22
Mukand Lal District Civil Hospital Yamunanagar,Mukand Lal District Civil Hospital YNR,Yes (20),11,9,0,1,18,9,0,5,Yes,No,Yes,Yes,Yes,2021-05-30 17:10,22
NIRMAL HOSPITAL,"199, Radaur Rd, near nirmal hospital, camp, Garhi Gujran, Haryana",Yes (15),13,1,1,0,13,1,6,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:15,22
RK Gupta,opp DAV Sr Sec School Near Madhu Hotel YNR,Yes (11),9,2,0,0,15,2,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-30 17:15,22
SABBARWAL HOSPITAL,"Gulab Nagar, Jagadhri, Haryana",Yes (4),1,0,3,0,6,1,6,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:17,22
Sachdeva Hospital,"2227, Civil Lines Rd, Sri Nagar Colony, Civil Lines, Gomti Mohalla, Jagadhri, Haryana",Yes (23),14,8,1,0,16,8,4,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:16,22
Santosh Hospital,"Santosh Hospital  Kanhaiya Sahib Chowk, near Govt.School, Harbanspura Colony, Gobind Pura, Yamuna Nagar, Haryana",Yes (21),5,9,7,0,5,9,14,2,Yes,No,Yes,Yes,Yes,2021-05-30 17:10,22
SHARMA HOSPITAL,Near Agarsain Chowk Jagadhri,Yes (6),6,0,0,0,12,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:16,22
Shree Medical Care Hospital,"359/2, Jain nagar, Jagadhri, Haryana",Yes (12),12,0,0,0,15,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-30 17:18,22
Shureshtha Hospital,Model Colony YNR,Yes (1),0,0,1,0,9,1,2,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:14,22
SP Hospital Jag,S.P Hospital Jag,Yes (6),4,0,2,1,4,0,3,1,Yes,No,Yes,Yes,Yes,2021-05-30 17:12,22
Swami Vivekanand Hospital Yamunanagar,"Swami Vivekanand Hospital,Yamuna Nagar, Haryana",Yes (34),14,10,10,1,20,10,19,1,Yes,No,Yes,Yes,Yes,2021-05-30 17:13,22
Swastik Hospital,"Basant Nagar, Yamuna Nagar, Haryana",Yes (5),3,2,0,0,4,2,0,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:18,22
tejli stadium,64 A Tejli,Yes (48),11,37,0,0,20,56,0,0,Yes,No,No,No,Yes,2021-05-30 17:08,22
VARDAAN HOSPITAL,OPP KOHLI HOSPITAL NEAR AGARSEN COLLEGE JAGADHRI,Yes (9),7,2,0,0,8,2,0,0,Yes,No,Yes,Yes,Yes,2021-05-30 17:16,22
