name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Anchal Multispeciality Hospital,"Anchal Multi speciality Hospital, Krishna Colony, Bhiwani, Haryana 127027",Yes (35),25,0,10,2,25,0,10,2,Yes,Yes,Yes,Yes,Yes,2021-05-28 21:56,2
Ch. Bansilal Govt Hospital,"Bansi Lal General Hospital, Ghanta Ghar Chowk, SH 17, Krishna Colony, Bhiwani, Haryana 127021",Yes (129),100,0,29,6,139,5,51,16,Yes,Yes,Yes,Yes,Yes,2021-05-28 21:59,2
Chugh Hospital,"Meham Gate, Circular Road, Bhiwani",Yes (7),7,0,0,0,20,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-28 22:02,2
ESI Hospital Bhiwani,"Stadium Rd, Housing Board Colony, Bhiwani, Haryana 127021",Yes (40),0,40,0,0,0,40,0,0,No,No,Yes,Yes,Yes,2021-05-28 21:59,2
Ganpatrai Hospital,"SH 17, Bank Colony, Bound Kalan, Krishna Colony, Bhiwani, Haryana 127021",Yes (10),4,4,2,1,4,4,2,1,Yes,No,Yes,Yes,Yes,2021-05-28 21:59,2
Jangra Multispecilaity Hospital,"Bank Colony, Old Bharat Nagar, Bhiwani, Haryana 127021",Yes (10),7,3,0,0,7,3,0,0,Yes,No,Yes,Yes,Yes,2021-05-28 21:59,2
Jeevan Nursing Home-Bhiwani,Rohtak gate Bhiwani,Yes (10),3,4,3,0,3,4,3,0,Yes,Yes,Yes,Yes,Yes,2021-05-28 22:03,2
Kadam Hospital,"Bank Colony Near New Bus Stand, Bhiwani",Yes (40),11,0,29,0,11,0,34,1,Yes,Yes,Yes,Yes,Yes,2021-05-28 21:54,2
Krishan Lal Jalan Hospital,"Jalan Nagar, M.C.Colony, Bhiwani, Haryana 127021",Yes (40),20,20,0,0,20,20,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-28 22:00,2
Life Line Hospital,"Circular Rd, M.C.Colony, Bhiwani, Haryana 127021",Yes (18),12,0,6,0,21,0,6,0,Yes,Yes,Yes,Yes,Yes,2021-05-28 22:00,2
RPS HOSPITAL,,Yes (20),4,12,4,0,4,16,4,0,Yes,No,Yes,Yes,Yes,2021-05-28 22:00,2
Sharma Nursing and Maternity Home Tosham,Siwani Road Tosham,Yes (10),7,0,3,2,7,0,3,2,Yes,Yes,To Be Updated,Yes,Yes,2021-05-28 22:03,2
Shree Ganesha Hospital,"Dadri Gate, Bhiwani",Yes (11),6,3,2,0,6,3,4,0,Yes,Yes,Yes,Yes,Yes,2021-05-28 22:02,2
"SHRI BABA YOGI NETANATH HOSPITAL , LOHANI ,BHIWANI",VPO Lohani,Yes (42),32,4,6,2,35,5,10,2,Yes,Yes,Yes,Yes,Yes,2021-05-28 22:02,2
SMSG Multispeciality Hospital,"Rohtak Gate, Bhiwani",Yes (26),2,14,10,2,2,17,11,2,Yes,Yes,Yes,Yes,Yes,2021-05-28 22:01,2
Spes Hospital,"Circular Rd, Bound Kalan, M.C.Colony, Bhiwani, Haryana 127021",Yes (18),4,2,12,1,4,6,12,1,Yes,Yes,Yes,Yes,Yes,2021-05-28 22:01,2
Adiyogi Arogya Avenue,"232, Subhash Nagar, Near civil hospital back gate, Jhajjar",Yes (12),7,2,3,1,7,2,6,1,To Be Updated,To Be Updated,Yes,Yes,Yes,2021-05-28 11:08,8
"Advanta Hospital, Jhajjar city","Silani Gate, Jhajjar, Haryana",Yes (43),24,10,9,1,24,10,16,1,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-28 16:37,8
