name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
DCHC Barara,,Yes (43),43,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-27 10:39,1
DCHC Mullana,,Yes (37),37,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-27 10:38,1
District Civil Hospital,Ambala City,Yes (70),55,0,15,10,116,0,23,11,Yes,Yes,Yes,Yes,Yes,2021-05-27 10:27,1
District Civil Hospital Ambala Cantt,Ambala Cantt,Yes (13),13,0,0,5,80,0,13,7,Yes,Yes,Yes,Yes,Yes,2021-05-27 10:27,1
Guardian Hospital,AMBALA JAGADHARI ROAD AMBALA CANTT,Yes (19),15,3,1,3,15,3,2,3,Yes,Yes,Yes,Yes,Yes,2021-05-27 10:36,1
Ishwar Hospital,,Yes (2),2,0,0,0,16,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-27 10:38,1
Kuldeep Hospital,,Yes (1),0,0,1,0,8,0,2,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-27 10:39,1
Mehndiratta Hospital,"#106, manali house, near central jail,  ambala city",Yes (14),13,0,1,0,25,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-27 10:34,1
Military Hospital,Ambala Cantonment,Yes (105),40,65,0,10,60,85,0,15,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-27 10:26,1
MM Medical College Pvt,MMIMSR Mullana Ambala,Yes (158),88,70,0,0,116,70,14,10,Yes,Yes,Yes,Yes,Yes,2021-05-27 10:26,1
Park Healing Touch Hospital,"Sultanpur Chowk, Nr Dhulkot Barrier, Ambala Chandigarh Expy. Ambala",Yes (12),9,0,3,4,30,0,10,10,Yes,Yes,Yes,Yes,Yes,2021-05-27 10:29,1
Philedelphia mission Hospital pvt,"Mission Compound, Ambala City",Yes (37),34,0,3,2,92,0,6,2,Yes,No,Yes,Yes,Yes,2021-05-27 10:06,1
Railways Hospital,"Railway Hospital, railway colony,  Ambala Cantt",Yes (14),13,0,1,0,30,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-27 13:55,1
Rotary Hospital Ambala cantt Pvt,"Rambagh road, Opp Dusshera ground, Ambala Cantt",Yes (6),6,0,0,2,15,0,3,2,Yes,No,Yes,Yes,Yes,2021-05-27 10:26,1
Sant Hospital,,No (0),0,0,0,1,10,0,2,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-27 10:27,1
SDH Naraingarh,,Yes (41),41,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-27 10:33,1
Yafe Indoor Hospital,,Yes (7),4,3,0,0,9,6,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-27 10:39,1
"Ayurvedic Medical College, Patikra",HUDA Sec. 1 Narnaul,Yes (189),29,160,0,0,40,160,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-27 13:17,13
CHC ATELI,CHC ATELI,Yes (13),8,5,0,0,15,5,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-27 10:54,13
CHC Kanina,Kanina,Yes (10),0,10,0,0,15,12,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-27 16:08,13
CHC Nangal Chaudhary,chc nangal choudhary,Yes (10),5,5,0,0,5,5,0,0,No,Yes,Yes,Yes,Yes,2021-05-27 13:18,13
CHC Sehlang,CHC SEHLANG,Yes (9),5,4,0,0,5,4,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-27 16:46,13
Civil Hospital Narnaul,"Housing Board, Narnaul",Yes (44),44,0,0,8,80,0,0,10,Yes,Yes,Yes,Yes,Yes,2021-05-27 08:36,13
Jaipur Heart &amp; Multi Speciality Hospital,"Opp. Sadar Thana, Narnaul",Yes (6),3,3,0,0,6,3,4,2,Yes,Yes,Yes,Yes,Yes,2021-05-27 08:32,13
LAXMI NARAYANAN,"Laxmi Narayanan Hospital , Narnaul Road Mahendergarh",Yes (8),6,0,2,1,6,0,4,1,Yes,Yes,Yes,Yes,Yes,2021-05-27 16:18,13
Nihal Hospital Kanina,Kanina Main Bus Stand,Yes (13),12,0,1,1,13,0,1,1,Yes,Yes,Yes,Yes,Yes,2021-05-27 16:27,13
Rainbow Multispecialty hospital and trauma Centre,"Singhana road, Narnaul",Yes (4),2,0,2,0,4,3,6,2,Yes,No,Yes,Yes,Yes,2021-05-26 22:50,13
Sammat Memorial Hospital,"Sastri colony, near bus stand, mahendergarh",Yes (7),7,0,0,2,10,0,3,2,Yes,No,Yes,Yes,Yes,2021-05-27 16:16,13
Sanwedna Hospital Narnaul,"HUDA Sector 1, Narnaul",Yes (9),9,0,0,0,25,0,9,1,Yes,Yes,Yes,Yes,Yes,2021-05-26 09:43,13
SDH Mahendergarh,SDH Mahendergarh,Yes (17),17,0,0,4,20,0,0,5,Yes,Yes,Yes,Yes,Yes,2021-05-27 13:17,13
Shanti Hospital Narnaul,Shanti Hospital Narnaul,Yes (20),9,7,4,0,9,7,7,2,Yes,Yes,Yes,Yes,Yes,2021-05-27 17:17,13
Sheela Multi Superspeciality Hospital,Behind Bus Stand Mahindergarh,Yes (5),3,0,2,1,6,0,3,1,Yes,No,Yes,Yes,Yes,2021-05-26 18:43,13
Shri Arvind Heart and Multispecialty Hospital,"Rao Tula Ram Chowk, Dadri Road Mahendergarh",Yes (17),9,5,3,3,9,5,3,3,Yes,Yes,Yes,Yes,Yes,2021-05-27 09:54,13
Tanwar Health Care MGarh,,Yes (9),5,0,4,1,5,0,4,1,Yes,Yes,Yes,Yes,Yes,2021-05-24 14:37,13
Vijay Hospital Narnaul,"HUDA Sector 1, Narnaul",Yes (5),5,0,0,1,8,0,15,2,Yes,Yes,Yes,Yes,Yes,2021-05-26 08:21,13
Amar Hospotal,Assandh,No (0),0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-27 16:18,11
"AMRITDHARA, Chaura Bazar","Near ITI Chowk, Gahoon Vihar, Karnal, Haryana",Yes (4),4,0,0,0,38,0,26,2,Yes,No,Yes,Yes,Yes,2021-05-27 16:15,11
Arpana Hospital,"G.T. Road, Madhuban, Karnal, Karnal, Haryana",Yes (14),14,0,0,0,16,0,2,1,Yes,No,Yes,Yes,Yes,2021-05-27 16:46,11
Arsh Hospital,Opp. Kalpana Chawla Medical College,Yes (15),9,0,6,0,9,0,6,0,Yes,Yes,Yes,Yes,Yes,2021-05-27 16:14,11
CHC Assandh,"Assandh, Assandh Ruralpart, Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-27 10:46,11
CHC Gharaunda,"Balinagar, Gharaunda, Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-27 10:45,11
CHC Kunjpura,Village Kunjpura,Yes (11),11,0,0,0,11,0,0,0,To Be Updated,Yes,Yes,Yes,Yes,2021-05-27 10:50,11
CHC Nissing,"SH 8, Gondar, Nissing, Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-27 10:46,11
CHC Taraori,CHC Taraori,Yes (6),6,0,0,0,6,0,0,0,Yes,No,Yes,No,Yes,2021-05-27 10:49,11
Dr. Gian Bhushan Hospital,"Kunjpura Rd Old Char Chaman Dyal Singh Colony Karnal  132001 Republic of,",Yes (1),1,0,0,0,6,0,5,0,Yes,No,No,No,No,2021-05-27 16:17,11
Ishwar Kirpa Hospital,"Ishwar Kirpa Hospital, Sector -14",Yes (11),9,0,2,0,14,0,7,0,Yes,No,Yes,Yes,Yes,2021-05-27 11:35,11
"Kalpana Chawla Government Medical College, Karnal","Model Town, Karnal, Haryana",Yes (2),1,0,1,0,200,0,80,80,Yes,Yes,Yes,Yes,Yes,2021-05-27 16:16,11
Karnal Nursing Home,"26 Duggal Colony, Karnal",Yes (8),3,0,5,0,8,0,10,0,Yes,No,Yes,Yes,Yes,2021-05-27 09:06,11
Park Hospital karnal,"CHD City, NH-1, Sector 45, Karnal, Haryana",Yes (30),10,0,20,2,10,0,20,2,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-27 16:14,11
Rama Superspeciality Hospital,Civil Hosp Chowk Karnal,No (0),0,0,0,0,8,0,6,0,Yes,No,Yes,Yes,Yes,2021-05-27 16:18,11
RP Welltar Hospital,"Vill. Bastara, District Karnal",Yes (6),2,4,0,1,10,4,4,1,Yes,No,Yes,No,Yes,2021-05-27 16:19,11
Sanidhya Nursing Home,"indri, Karnal",Yes (15),10,0,5,0,10,0,5,0,To Be Updated,Yes,Yes,Yes,Yes,2021-05-27 16:15,11
"Sanjiv Bansal Cygnus Hospital , Karnal","Railway Rd, Ibrahim Mandi, Karnal, Haryana",Yes (11),11,0,0,1,20,0,5,2,Yes,Yes,Yes,Yes,Yes,2021-05-27 10:33,11
Sarvodya Hospital Karnal,"Sector 14, Near Tau Devi Lal Chowk",Yes (21),12,0,9,0,12,0,10,0,Yes,Yes,Yes,Yes,Yes,2021-05-27 16:14,11
SDH Nilokheri,SDH Nilokheri,Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-27 10:48,11
Shri Ram Chand Memorial Hospital,"12, Ashoka colony,Opp Kalpana Chawla hospital, Karnal, Haryana",No (0),0,0,0,0,8,0,7,3,Yes,No,Yes,Yes,Yes,2021-05-27 16:15,11
Shri Sanatan Dharam Mahabir Dal,"Kunjpura Road, Karnal Near Sanatan Dharam Mandir",Yes (8),8,0,0,0,12,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-27 16:19,11
SS Hospital,"Sector 14, Karnal",Yes (1),1,0,0,0,7,0,7,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-27 08:34,11
Swastik Hospital,Swastic Hospital Opp DCH,Yes (12),6,0,6,0,10,0,9,0,Yes,No,Yes,Yes,Yes,2021-05-27 15:37,11
Virk Hospital Karnal,"363-364, Randhir lane, near Dyal Singh College, Karnal, Haryana",Yes (28),23,0,5,1,37,0,8,1,Yes,Yes,Yes,Yes,Yes,2021-05-27 16:40,11
Cygnus Multispecialty Hospital Kaithal,"Huda Bypass Road, Sector 20, Kaithal, Haryana",Yes (29),28,0,1,0,28,0,12,2,Yes,No,Yes,Yes,Yes,2021-05-27 13:43,10
District Civil Hospital Kaithal,"Huda Sec 18, Kaithal",Yes (65),44,15,6,8,80,15,20,15,Yes,Yes,Yes,Yes,Yes,2021-05-26 16:06,10
SDH Guhla,SDH Guhla,Yes (70),24,41,5,5,24,41,5,5,Yes,No,Yes,No,Yes,2021-05-27 16:59,10
Shah Multispecialty Hospital Kaithal,"opp.old, bus stand, Jind - Kaithal Rd, Amar Garh Colony, Kaithal, Haryana",Yes (32),21,8,3,2,51,11,15,10,Yes,No,Yes,Yes,Yes,2021-05-27 10:08,10
Adiyogi Arogya Avenue,"232, Subhash Nagar, Near civil hospital back gate, Jhajjar",Yes (12),7,2,3,1,7,2,6,1,To Be Updated,To Be Updated,Yes,Yes,Yes,2021-05-27 16:49,8
"Advanta Hospital, Jhajjar city","Silani Gate, Jhajjar, Haryana",Yes (43),24,10,9,1,24,10,16,1,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-27 16:32,8
"Brahm Shakti Sanjivani Hospital, B.garh","Opp. BSNL Exchange, Delhi - Rohtak Road, NH9, Bahadurgarh, Haryana",Yes (49),40,2,7,2,60,20,20,3,Yes,No,Yes,Yes,Yes,2021-05-27 11:25,8
Civil Hospital Jhajjar,"Jhajjar, NH-71, Jhajjar Rohtak Road, Jhajjar, Jhajjar, Haryana",Yes (34),32,0,2,4,53,0,5,5,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-27 09:58,8
"Delhi Hospital, Bahadurgarh","Rohtak Rd, near Shyamji Complex, Ram Nagar, Bahadurgarh, Haryana",Yes (46),18,20,8,2,20,20,10,2,Yes,No,Yes,Yes,Yes,2021-05-27 15:08,8
Dr. Sanjay Multi Speciality Hospital,INFRONT OF CIVIL HOSPITAL BAHADURGARH,Yes (48),37,6,5,1,45,10,6,1,Yes,No,No,To Be Updated,To Be Updated,2021-05-27 13:26,8
"Jeewan Jyoti Hospital, Bahadurgarh","Rohtak Rd, MIE Part-B, Bahadurgarh, Haryana",Yes (114),57,57,0,4,77,68,15,4,Yes,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-23 16:42,8
"JK Hospital, Bahadurgarh","Bahadurgarh,, Bahamnoli, Bahadurgarh, Haryana",Yes (44),5,31,8,0,5,31,8,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-27 10:32,8
"Medicare Super Speciality Hospiatl &amp; Trauma Centre, Jhajjar City","Dadri road Jhajjar, Jhajjar, Haryana",Yes (39),14,19,6,3,15,23,12,3,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-27 15:11,8
"Mission Hospital, Bahadurgarh","Near main Bus Stand & City Metro Station, Rohtak Rd, Bahadurgarh, Jhajjar ,Haryana",Yes (44),9,29,6,1,14,29,6,1,To Be Updated,No,Yes,Yes,No,2021-05-27 10:00,8
"Oscar Hospital, JJR city","Civil Road,Opp Civil Hospital, Jhajjar, Haryana",Yes (63),5,58,0,1,8,58,14,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-27 15:57,8
Oxymus Hospital,"Opposite Civil Hospital, Near Metro Pollar No. 876 Delhi Rohtak Road, Bahadurgarh",Yes (9),4,0,5,0,4,0,6,0,Yes,No,No,No,No,2021-05-27 12:32,8
"Rana Hospital, Bahadurgarh","OPP. REST HOUSE,OLD BARAHI ROAD, BAHADURGARH",Yes (25),18,0,7,2,18,0,7,2,To Be Updated,To Be Updated,No,No,Yes,2021-05-27 10:08,8
