name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Anchal Multispeciality Hospital,"Anchal Multi speciality Hospital, Krishna Colony, Bhiwani, Haryana 127027",Yes (28),23,0,5,1,25,0,10,2,Yes,Yes,Yes,Yes,Yes,2021-05-25 10:28,2
Ch. Bansilal Govt Hospital,"Bansi Lal General Hospital, Ghanta Ghar Chowk, SH 17, Krishna Colony, Bhiwani, Haryana 127021",Yes (129),88,22,19,1,146,34,46,9,Yes,Yes,Yes,Yes,Yes,2021-05-25 10:29,2
Chugh Hospital,"Meham Gate, Circular Road, Bhiwani",Yes (5),5,0,0,0,20,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-25 10:34,2
ESI Hospital Bhiwani,"Stadium Rd, Housing Board Colony, Bhiwani, Haryana 127021",Yes (40),0,40,0,0,0,40,0,0,No,No,Yes,Yes,Yes,2021-05-25 10:30,2
Ganpatrai Hospital,"SH 17, Bank Colony, Bound Kalan, Krishna Colony, Bhiwani, Haryana 127021",Yes (10),4,4,2,1,4,4,2,1,Yes,No,Yes,Yes,Yes,2021-05-25 10:29,2
Jangra Multispecilaity Hospital,"Bank Colony, Old Bharat Nagar, Bhiwani, Haryana 127021",Yes (10),7,3,0,0,7,3,0,0,Yes,No,Yes,Yes,Yes,2021-05-25 10:30,2
Jeevan Nursing Home-Bhiwani,Rohtak gate Bhiwani,Yes (10),3,4,3,0,3,4,3,0,Yes,Yes,Yes,Yes,Yes,2021-05-25 10:36,2
Kadam Hospital,"Bank Colony Near New Bus Stand, Bhiwani",Yes (31),11,0,20,0,11,0,34,1,Yes,Yes,Yes,Yes,Yes,2021-05-25 10:28,2
Krishan Lal Jalan Hospital,"Jalan Nagar, M.C.Colony, Bhiwani, Haryana 127021",Yes (40),20,20,0,0,20,20,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-25 10:30,2
Life Line Hospital,"Circular Rd, M.C.Colony, Bhiwani, Haryana 127021",Yes (15),9,0,6,0,21,0,6,0,Yes,Yes,Yes,Yes,Yes,2021-05-25 10:31,2
RPS HOSPITAL,,Yes (21),4,13,4,0,4,16,4,0,Yes,No,Yes,Yes,Yes,2021-05-25 10:32,2
Sharma Nursing and Maternity Home Tosham,Siwani Road Tosham,Yes (10),7,0,3,2,7,0,3,2,Yes,Yes,To Be Updated,Yes,Yes,2021-05-25 10:35,2
