name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
"Apex Hospital, Sirsa","Circular Road, Sirsa",Yes (12),8,1,3,0,12,2,4,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-22 08:43,20
"Astha Hospital, Sirsa",Dabwali Road Sirsa,Yes (7),7,0,0,0,15,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-22 09:49,20
CIVIL HOSPITAL SIRSA,"Civil Hospital Road, Sirsa",Yes (8),5,3,0,1,80,15,5,5,Yes,Yes,Yes,Yes,Yes,2021-05-22 09:29,20
"Dayal Nursing Home, Sirsa","Dabwali Road, Sirsa",Yes (2),2,0,0,0,9,3,0,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-22 08:20,20
"Gupta Hospital, Sirsa","Dabwali Road, Sirsa Near Easy Day",No (0),0,0,0,0,4,3,5,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-22 09:56,20
"Jagdish Nursing Home, Sirsa","Gandhi Market, Parshuram Chowk, Sirsa",Yes (8),0,4,4,0,0,4,7,1,Yes,No,Yes,Yes,Yes,2021-05-22 08:58,20
"jCD Hospital, Sirsa","JCD Hospital, Barnala Road, Sirsa",Yes (33),0,33,0,0,10,40,0,0,Yes,No,Yes,Yes,Yes,2021-05-22 09:28,20
"Jeevan Jyoti Hospital, Sirsa",Dabwali Road Sirsa,No (0),0,0,0,0,7,1,6,3,Yes,No,Yes,Yes,Yes,2021-05-22 09:12,20
"Khurana Hospital, Sirsa",Dabwali Road Sirsa,Yes (8),5,0,3,0,6,0,4,0,Yes,No,Yes,Yes,Yes,2021-05-22 08:23,20
"Lalgarhia Hospital, Sirsa",Dabwali Road Sirsa,No (0),0,0,0,0,13,2,3,1,Yes,Yes,Yes,Yes,Yes,2021-05-22 08:23,20
"Medicare Hospital, Sirsa","Dabwali Road, Sirsa",Yes (5),0,3,2,0,1,6,6,2,Yes,Yes,Yes,Yes,Yes,2021-05-22 08:19,20
"Metro Health Care Hospital, Sirsa","Near Dena Bank, lal Batti Chowk, Sirsa",Yes (4),1,0,3,0,5,0,5,1,Yes,Yes,Yes,Yes,Yes,2021-05-22 10:08,20
"Mittal Hospital, Sirsa","Near Jhunthra Petrol Pump, Dabwali Road Sirsa",Yes (7),6,1,0,0,14,1,4,0,Yes,No,Yes,Yes,Yes,2021-05-22 07:34,20
