name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
ASHIRWAD BHAGAT HOSPITAL,"Old DC Rd, near bhagat hospital, Sonipat, Haryana 131001",Yes (10),8,0,2,1,12,0,3,1,Yes,Yes,Yes,Yes,Yes,2021-05-25 10:09,21
Bhagwan Dass Hospital,"Near Shahpur Turk, block-E, omaxe city, Sector 18, Sonipat, Haryana 131001",Yes (35),26,0,9,1,27,0,13,2,Yes,No,Yes,Yes,Yes,2021-05-24 14:32,21
"BPS MEDICAL COLLEGE KHANPUR , SONIPAT ( 01263283088)","Ganaur - Gohana Rd, Khanpur Kalan, Haryana",Yes (178),86,77,15,15,170,80,50,50,Yes,Yes,Yes,Yes,Yes,2021-05-25 08:08,21
CHC GANUR,CHC GANUR,Yes (4),4,0,0,0,8,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-21 13:17,21
CHC Kharkhoda,"SH 20, Kharkhoda, Haryana 131402",Yes (10),5,5,0,0,5,5,0,0,To Be Updated,To Be Updated,Yes,Yes,Yes,2021-05-24 14:07,21
"CHC, JUAN, SONIPAT, HARYANA","CHC, JUAN, SONIPAT, HARYANACHC, JUAN, SONIPAT, HARYANA, 131024",Yes (5),3,2,0,0,3,2,0,0,Yes,No,Yes,Yes,Yes,2021-05-12 20:53,21
"Civil Hospital, Sonipat (9050007668 )","Delhi Road, Near Maharana Pratap Chowk, Sonipat, Haryana 131001",Yes (101),101,0,0,8,190,0,10,10,Yes,Yes,Yes,Yes,Yes,2021-05-25 10:51,21
"CYGNUS HOSPITAL, Sonipat","Old Rohtak Rd, near Hindu College of Engineering, Industrial Area, Sonipat, Haryana 131001",Yes (15),15,0,0,0,18,0,2,1,Yes,No,Yes,Yes,Yes,2021-05-25 10:20,21
Dayanand Hospital-Sonepat,"Kakroi Rd, Prem Nagar, West Ram Nagar, Sonipat, Haryana",Yes (18),14,0,4,0,20,0,5,1,Yes,No,Yes,Yes,Yes,2021-05-24 20:01,21
FIIMS Hospital,"Road, Bahalgarh, Sonipat, Haryana 131304",Yes (65),45,0,20,0,63,0,37,8,Yes,No,Yes,Yes,Yes,2021-05-25 08:49,21
