name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
"AADHAR Hospital, Hisar",Tosham Road Hisar,No (0),0,0,0,0,26,6,12,6,Yes,No,Yes,Yes,Yes,2021-05-11 17:01,7
Bharat Multispeciality Hospital,Hisar,No (0),0,0,0,0,24,0,2,2,Yes,No,Yes,Yes,Yes,2021-05-11 14:17,7
Central Medical Centre (CMC),CMC Hospital Delhi Road Hisar,No (0),0,0,0,0,33,5,10,2,Yes,Yes,Yes,Yes,Yes,2021-05-11 13:35,7
Churamani Hospital,CAMP CHOWK HISAR,No (0),0,0,0,0,2,0,20,5,No,No,No,No,No,2021-05-11 13:34,7
District Civil Hospital Hisar,Sirsa Road Hisar,No (0),Beds Over Utilized 3,0,0,0,71,0,3,9,Yes,Yes,Yes,No,Yes,2021-05-11 20:05,7
DR. ANANTRAM JANTA HOSPITAL PVT LTD BARWALA,Civil Hospital Road Barwala,Yes (20),18,0,2,3,20,0,3,3,Yes,No,Yes,Yes,Yes,2021-05-10 20:56,7
Geetanjali Hospital,Model Town Hisar,No (0),0,0,0,0,40,0,7,5,Yes,No,Yes,Yes,Yes,2021-05-11 15:46,7
Goswami Hospital,"NEAR BUS STAND, RISHI NAGAR",No (0),0,0,0,0,4,5,0,1,Yes,No,Yes,Yes,Yes,2021-05-11 13:36,7
Gupta Hospital Hisar,Sector 14 Hisar,No (0),0,0,0,0,40,0,15,0,Yes,Yes,Yes,No,Yes,2021-05-11 13:31,7
"GURU JAMBHESHWAR MULTISPECIALITY HOSPITAL, AGROHA","ADAMPUR ROAD, AGROHA",No (0),0,0,0,0,9,3,3,1,Yes,Yes,Yes,Yes,Yes,2021-05-11 19:32,7
Holy Help Hospital,Tosham Road Hisar,No (0),Beds Over Utilized 4,Beds Over Utilized 3,Beds Over Utilized 1,0,15,8,8,1,Yes,Yes,Yes,Yes,Yes,2021-05-11 16:05,7
Mahatma Gandhi Hospital,,No (0),0,0,0,0,19,13,18,8,Yes,Yes,Yes,Yes,Yes,2021-05-11 21:30,7
MAMC Agroha,"Maharaj Aggarsin Medical College, VPO Agroha",No (0),0,0,0,0,85,15,40,60,Yes,Yes,Yes,Yes,Yes,2021-05-11 21:25,7
Medi City Hospital,Model Town Hisar,Yes (13),13,0,0,7,13,0,0,7,Yes,No,No,No,No,2021-05-11 21:25,7
Military Hospital Hisar,Cantt Hisar,No (0),0,0,0,0,15,42,2,3,To Be Updated,No,Yes,Yes,Yes,2021-05-11 08:04,7
Noble Super Specialty Hospital,Hisar,No (0),0,0,0,0,12,0,7,1,Yes,No,Yes,To Be Updated,Yes,2021-05-11 13:32,7
OPJindal Institute of Cancer &amp; Research Hospital,Model Town Hisar,No (0),0,0,0,0,96,4,47,37,Yes,No,Yes,Yes,Yes,2021-05-11 18:37,7
PARDEEP KANSAL MULTISPECIALITY HOSPITAL FOR CHILDREN,"25- Inderprastha Colony, Hisar",Yes (4),0,2,2,2,0,6,7,3,Yes,No,Yes,Yes,Yes,2021-05-11 13:28,7
Parnami Hospital,Hisar,Yes (6),4,2,0,0,21,5,2,2,Yes,Yes,Yes,Yes,Yes,2021-05-11 13:35,7
Ravindra Hospital Hisar,Model Town HISAR,No (0),0,0,0,0,21,0,0,1,Yes,No,Yes,Yes,Yes,2021-05-11 13:27,7
Sapra Hospital,Rajgarh Road Hisar,No (0),0,0,0,0,35,3,8,10,Yes,No,Yes,Yes,Yes,2021-05-11 13:31,7
"Sarvodya Hospital, Hisar",Delhi Road Hisar,No (0),0,0,0,0,24,7,4,3,Yes,Yes,Yes,Yes,Yes,2021-05-11 07:57,7
Sewak Sabha Hospital,Near Bus Stand Hisar,No (0),0,0,0,0,16,3,8,1,Yes,Yes,Yes,Yes,Yes,2021-05-11 15:40,7
Shanti Devi Hospital,Delhi Road Hisar,No (0),0,0,0,0,28,0,12,2,Yes,No,Yes,Yes,Yes,2021-05-11 18:40,7
Shri Kali Devi Hospital Hansi,Delhi Road Hansi,Yes (13),8,0,5,0,8,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-10 09:36,7
SINGLA MULTISPECIALITY HOSPITAL,"RISHI NAGAR, GALI NO. 1, NEAR BUS STAND, HISAR",No (0),Beds Over Utilized 4,0,0,0,17,0,2,1,Yes,Yes,Yes,Yes,Yes,2021-05-11 13:25,7
SL Minda Hospital,VPO Bagla,Yes (13),3,10,0,0,3,10,0,0,Yes,No,Yes,Yes,Yes,2021-05-10 11:01,7
Sonakshi Children Hospital Hansi,"G T Road, Near Kali Devi Mandir, Opp Bhalla Patrol Pump, Hansi",No (0),0,0,0,0,9,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-11 14:16,7
Sukhda Multispeciality Hospital,Dabra Chowk Hisar,No (0),0,0,0,0,46,4,18,6,Yes,No,Yes,Yes,Yes,2021-05-11 18:32,7
Vardaan Hospital Hisar,Hisar,Yes (1),0,1,0,0,10,1,11,2,Yes,No,Yes,Yes,Yes,2021-05-11 13:26,7
Civil Hospital Fatehabad,Near Bus Stand Fatehabad,No (0),0,0,0,0,34,0,6,6,Yes,Yes,Yes,Yes,Yes,2021-05-11 16:02,5
Civil Hospital Ratia,"Dera Surjanhar, Ratia, Fatehabad",No (0),0,0,0,2,15,3,0,2,Yes,No,No,No,Yes,2021-05-11 10:23,5
"Civil Hospital, Tohana",Opposite New Sabzi Mandi Tohana,Yes (4),1,3,0,0,22,3,0,2,Yes,No,Yes,Yes,Yes,2021-05-11 14:58,5
Community Health Center Bhattu,"Surya Nagar, Bhattu Mandi near Railway Station",Yes (18),4,14,0,0,12,18,0,0,Yes,No,Yes,No,Yes,2021-05-11 14:26,5
Community Health Center Bhuna,CHC Bhuna,Yes (16),3,13,0,0,15,18,0,0,Yes,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-11 16:47,5
Community Health Center JAKHAL,Near SBI Bank Jakhal,Yes (7),7,0,0,0,12,0,0,0,Yes,No,No,No,Yes,2021-05-11 19:46,5
"Gupta Children Hospital, Ratia","Aggarwal Colony, Ratia",Yes (17),8,8,1,1,8,8,1,1,Yes,No,Yes,Yes,No,2021-05-11 16:07,5
Kaushal Hospital,"Near Harvinder Singh Petrol Pump, Hisar Road, Fatehabad",Yes (6),4,0,2,4,12,0,6,4,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-11 14:35,5
"Manav Sewa Sangam Hospital, Tohana",Near Truck Union,Yes (1),1,0,0,0,15,0,0,0,Yes,No,Yes,No,Yes,2021-05-11 15:42,5
Miglani Hospital,"Employees Colony, Ratia,",Yes (10),8,2,0,0,15,2,7,7,Yes,Yes,Yes,Yes,Yes,2021-05-11 23:08,5
Rajasthan Medical Centre (RMC) Hospital Tohana,Kenchi Chowk Tohana,No (0),0,0,0,0,11,0,2,2,Yes,No,Yes,Yes,Yes,2021-05-11 17:03,5
Sadhbhawdna Hospital Fatehabad,Near Court Complex Hisar Road Fatehabad,Yes (17),0,17,0,Beds Over Utilized 1,5,20,7,2,Yes,No,Yes,Yes,Yes,2021-05-11 14:09,5
Sanjeevani Hospital Fatehabad,"Goshala Road, near Ashirbad Pelace",Yes (15),11,0,4,3,11,0,4,3,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-11 19:23,5
Sanjeevani Hospital Tohana,"Kenchi Chock, Tohana",Yes (7),6,0,1,0,6,6,12,2,Yes,No,Yes,Yes,Yes,2021-05-06 16:28,5
"Singla Hospital , fatehabad","Bhattu Road, Batra Colony, Fatehabad",Yes (7),4,3,0,0,5,8,0,0,No,No,Yes,Yes,Yes,2021-05-11 18:28,5
WadhwaMaternity and surgical Hospital Fatehabad,"Near Papiha Park, Fatehabad",Yes (4),0,0,4,0,0,0,7,1,Yes,No,Yes,Yes,Yes,2021-05-11 19:41,5
"AMRITDHARA, Chaura Bazar","Near ITI Chowk, Gahoon Vihar, Karnal, Haryana",Yes (4),4,0,0,0,38,0,26,2,Yes,No,Yes,Yes,Yes,2021-05-11 12:04,11
Arpana Hospital,"G.T. Road, Madhuban, Karnal, Karnal, Haryana",Yes (5),5,0,0,1,16,0,2,1,Yes,No,Yes,Yes,Yes,2021-05-11 16:03,11
CHC Assandh,"Assandh, Assandh Ruralpart, Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-11 15:31,11
CHC Gharaunda,"Balinagar, Gharaunda, Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-11 15:31,11
CHC Nissing,"SH 8, Gondar, Nissing, Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-11 15:31,11
CHC Taraori,CHC Taraori,Yes (6),6,0,0,0,6,0,0,0,Yes,No,Yes,No,Yes,2021-05-11 15:32,11
Dr. Gian Bhushan Hospital,"Kunjpura Rd Old Char Chaman Dyal Singh Colony Karnal  132001 Republic of,",Yes (1),1,0,0,0,6,0,5,0,Yes,No,No,No,No,2021-05-11 07:35,11
Ishwar Kirpa Hospital,"Ishwar Kirpa Hospital, Sector -14",No (0),0,0,0,0,14,0,7,0,Yes,No,Yes,Yes,Yes,2021-05-11 17:19,11
"Kalpana Chawla Government Medical College, Karnal","Model Town, Karnal, Haryana",Yes (2),1,0,1,0,200,0,80,80,Yes,Yes,Yes,Yes,Yes,2021-05-11 09:43,11
Karnal Nursing Home,"26 Duggal Colony, Karnal",Yes (1),1,0,0,0,8,0,10,0,Yes,No,Yes,Yes,Yes,2021-05-11 16:03,11
Park Hospital,"CHD City, NH-1, Sector 45, Karnal, Haryana",No (0),Beds Over Utilized 6,0,Beds Over Utilized 4,0,10,0,20,2,Yes,Yes,Yes,Yes,Yes,2021-05-11 09:39,11
Rama Superspeciality Hospital,Civil Hosp Chowk Karnal,No (0),0,0,0,0,8,0,6,0,Yes,No,Yes,Yes,Yes,2021-05-11 13:37,11
