name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
"Advanta Hospital, Jhajjar city","Silani Gate, Jhajjar, Haryana",Yes (12),11,0,1,1,24,10,16,1,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-10 10:13,8
"Brahm Shakti Sanjivani Hospital, B.garh","Opp. BSNL Exchange, Delhi - Rohtak Road, NH9, Bahadurgarh, Haryana",Yes (21),2,19,0,0,60,20,20,3,Yes,No,Yes,Yes,Yes,2021-05-10 11:28,8
Civil Hospital Jhajjar,"Jhajjar, NH-71, Jhajjar Rohtak Road, Jhajjar, Jhajjar, Haryana",Yes (21),21,0,0,0,55,15,0,0,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-07 13:05,8
"Delhi Hospital, Bahadurgarh","Rohtak Rd, near Shyamji Complex, Ram Nagar, Bahadurgarh, Haryana",Yes (10),0,10,0,0,20,20,10,2,Yes,No,Yes,Yes,Yes,2021-05-10 11:15,8
Dr. Sanjay Multi Speciality Hospital,INFRONT OF CIVIL HOSPITAL BAHADURGARH,Yes (33),27,5,1,0,45,10,6,1,No,No,No,To Be Updated,To Be Updated,2021-05-10 11:15,8
"Jeewan Jyoti Hospital, Bahadurgarh","Rohtak Rd, MIE Part-B, Bahadurgarh, Haryana",Yes (88),29,59,0,2,77,68,10,2,Yes,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-08 10:52,8
"JK Hospital, Bahadurgarh","Bahadurgarh,, Bahamnoli, Bahadurgarh, Haryana",Yes (11),5,0,6,0,5,0,8,0,Yes,Yes,Yes,Yes,Yes,2021-05-10 11:03,8
"Medicare Super Speciality Hospiatl &amp; Trauma Centre, Jhajjar City","Dadri road Jhajjar, Jhajjar, Haryana",Yes (5),3,2,0,0,15,5,12,3,To Be Updated,To Be Updated,Yes,To Be Updated,Yes,2021-05-10 08:57,8
"Mission Hospital, Bahadurgarh","Near main Bus Stand & City Metro Station, Rohtak Rd, Bahadurgarh, Jhajjar ,Haryana",Yes (1),0,Beds Over Utilized 9,1,0,14,0,6,1,To Be Updated,No,Yes,Yes,No,2021-05-10 11:29,8
"Oscar Hospital, JJR city","Civil Road,Opp Civil Hospital, Jhajjar, Haryana",Yes (18),3,14,1,1,8,20,14,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-10 11:24,8
Oxymus Hospital,"Opposite Civil Hospital, Near Metro Pollar No. 876 Delhi Rohtak Road, Bahadurgarh",Yes (7),4,0,3,0,4,0,6,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-08 18:23,8
"RJ Super Speciality Hospital, B.garh","Delhi - Rohtak Rd, Near Rajesh Joon Office, Dalbir Nagar, Bahadurgarh, Haryana",Yes (51),23,26,2,3,80,27,18,5,Yes,No,Yes,Yes,Yes,2021-05-10 11:07,8
RS GAUR GLOBAL MULTISPECIALITY HOSPITAL,"Jhajjar Road Netaji Subhash Vihar, Haryana",Yes (9),0,8,1,1,8,12,4,2,Yes,No,Yes,Yes,Yes,2021-05-09 15:27,8
"SDH, Bahadurgarh","Madhya Marg, Old Industrial Area, Bahadurgarh, Haryana",No (0),0,0,0,0,25,12,0,0,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-07 13:04,8
"SDH, Beri","MDR122, Pana chulyan, Beri, Haryana",Yes (19),10,9,0,0,13,12,0,0,To Be Updated,To Be Updated,Yes,Yes,Yes,2021-05-07 15:30,8
"Shivam Hospital, B.garh","Line Par, Shastri Nagar, Netaji Nagar, Bahadurgarh, Haryana",Yes (39),31,7,1,0,49,20,9,1,Yes,No,Yes,Yes,Yes,2021-05-09 12:58,8
"Swastik Hospital, Bahadurgarh","Jhajjar Rd, Shakti Nagar, Sakti Nagar, Bahadurgarh, Haryana",Yes (22),12,9,1,0,38,14,10,1,Yes,No,Yes,Yes,Yes,2021-05-10 11:50,8
World College Of Medical Sciences And Hospital,"Jhajjar Sampla Road, Gurwar, Jhajjar, Haryana",Yes (190),55,135,0,0,90,135,25,4,Yes,Yes,Yes,Yes,Yes,2021-05-10 09:42,8
G K hospital,Charkhi Dadri,Yes (6),6,0,0,0,8,0,2,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-09 15:40,3
GH Charkhi Dadri,"Near Loharu Chowk,Charkhi Dadri",No (0),0,0,0,9,35,15,12,11,Yes,Yes,Yes,Yes,Yes,2021-05-09 15:43,3
Jaihind Hospital,Charkhi Dadri,Yes (1),1,0,0,0,8,0,5,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-09 15:37,3
Murari Lal Rasiwasia Ayurvedic Hospital,"Delhi Road,Near Janta College",Yes (18),18,0,0,0,60,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-09 15:26,3
Oscar Hospital,Charkhi Dadri,Yes (2),0,0,2,0,0,0,20,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-09 15:33,3
Pradhan Medicare Centre,"Loharu Rd, Charkhi Dadri, Haryana",Yes (1),0,0,1,0,18,2,3,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-09 15:20,3
Sunflag Hospital,Charkhi Dadri,No (0),0,0,0,0,6,0,6,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-09 15:36,3
Balaji Hospital Jind,Rohtak Road Jind,Yes (4),4,Beds Over Utilized 2,0,0,32,8,0,0,Yes,No,Yes,Yes,Yes,2021-05-10 08:26,9
CH Uchana (New Building),Uchana,Yes (45),10,33,2,0,60,35,5,0,No,No,No,No,Yes,2021-05-10 12:15,9
CHC Alewa,"Alewa 2 Sub Health Centre, Alewa Chc Alewa, Alewa, Jind",Yes (5),5,0,0,0,30,0,0,0,Yes,No,Yes,No,Yes,2021-05-10 12:19,9
CHC Julana,Julana,Yes (9),5,4,0,0,30,6,0,0,Yes,No,Yes,Yes,Yes,2021-05-10 12:16,9
District Civil Hospital Jind 1,Hosptial,No (0),0,0,0,5,126,0,20,12,Yes,Yes,Yes,Yes,Yes,2021-05-10 11:55,9
Gangaputra Ayurvedic Medical College Jind,Kandela,Yes (77),52,0,25,3,60,15,25,3,Yes,No,Yes,Yes,Yes,2021-05-10 08:55,9
JIND HEART HOSPITAL,GOHANA BYPASS ROHTAK ROAD JIND,Yes (10),8,0,2,1,12,0,5,1,Yes,No,No,No,No,2021-05-10 08:54,9
Malik Hospital,Rohtak Road Jind,Yes (2),2,0,0,3,4,0,4,3,Yes,No,Yes,Yes,Yes,2021-05-10 08:52,9
Meenakashi Jain Hospital,Near Bus Stand,Yes (1),1,0,0,1,8,0,5,1,Yes,No,Yes,Yes,Yes,2021-05-10 08:58,9
Sarvodhya Hospital Jind,Jind,Yes (17),17,0,0,2,20,0,0,2,Yes,No,Yes,No,No,2021-05-10 09:05,9
SDH Narwana,Narwana,Yes (27),15,12,0,0,40,12,0,0,Yes,No,Yes,Yes,Yes,2021-05-10 12:18,9
SDH Safidon,Safidon,Yes (19),5,14,0,0,30,14,0,0,Yes,No,Yes,No,Yes,2021-05-10 12:17,9
Shri Gyani Ram Mamorial Hospital,Safidon,Yes (14),8,2,4,0,10,5,10,0,Yes,No,Yes,Yes,Yes,2021-05-10 08:59,9
Alchemist Hospital panchkula,Sector 21 Panchkula,Yes (1),0,0,1,0,41,0,11,4,Yes,Yes,Yes,Yes,Yes,2021-05-09 17:08,16
Alchemist Ojas Hospital,"H1  SEctor 26, Panchkula Ext, Panchkula",Yes (2),2,0,0,4,53,0,17,8,Yes,Yes,Yes,Yes,Yes,2021-05-09 17:09,16
Civil Hospital Panchkula,sector 6 Panchkula,Yes (12),6,6,0,0,203,8,8,6,Yes,Yes,Yes,Yes,Yes,2021-05-09 16:57,16
Paras Hospital Pvt,"Plot no 2, sec 22, panchkula",Yes (1),1,0,0,Beds Over Utilized 1,39,10,40,9,Yes,Yes,Yes,Yes,Yes,2021-05-09 16:57,16
Cygnus Multispecialty Hospital Kaithal,"Huda Bypass Road, Sector 20, Kaithal, Haryana",No (0),0,0,0,0,28,0,12,2,Yes,No,Yes,Yes,Yes,2021-05-08 10:37,10
District Hospital Kaithal,"Huda Sec 18, Kaithal",Yes (15),0,15,0,1,80,27,8,5,Yes,Yes,Yes,Yes,Yes,2021-05-10 09:04,10
SDH Guhla,SDH Guhla,Yes (70),29,41,0,0,29,41,0,0,Yes,No,Yes,No,Yes,2021-05-10 09:58,10
Shah Multispecialty Hospital Kaithal,"opp.old, bus stand, Jind - Kaithal Rd, Amar Garh Colony, Kaithal, Haryana",Yes (15),4,11,0,3,51,11,15,10,Yes,No,Yes,Yes,Yes,2021-05-09 11:17,10
District Civil Hospital,Ambala City,Yes (42),39,0,3,2,136,0,6,8,Yes,Yes,Yes,Yes,Yes,2021-05-10 10:51,1
District Civil Hospital Ambala Cantt,Ambala Cantt,Yes (3),1,0,2,3,89,0,6,5,Yes,Yes,Yes,Yes,Yes,2021-05-10 10:56,1
Guardian Hospital,AMBALA JAGADHARI ROAD AMBALA CANTT,Yes (8),8,Beds Over Utilized 3,0,1,9,4,8,2,Yes,Yes,Yes,Yes,Yes,2021-05-08 15:55,1
Ishwar Hospital,,No (0),0,0,0,0,10,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-10 10:50,1
Mehndiratta Hospital,"#106, manali house, near central jail,  ambala city",Yes (6),6,0,Beds Over Utilized 3,1,17,7,3,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-10 12:14,1
Military Hospital,Ambala Cantonment,Yes (66),0,65,1,1,60,85,15,15,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-09 13:09,1
MM Medical College Pvt,MMIMSR Mullana Ambala,Yes (120),60,60,0,0,116,70,24,15,Yes,Yes,Yes,Yes,Yes,2021-05-10 10:13,1
Park Healing Touch Hospital,"Sultanpur Chowk, Nr Dhulkot Barrier, Ambala Chandigarh Expy. Ambala",No (0),0,0,0,0,30,2,10,10,Yes,Yes,Yes,Yes,Yes,2021-05-10 12:20,1
Philedelphia mission Hospital pvt,"Mission Compound, Ambala City",Yes (14),12,0,2,0,94,0,8,2,Yes,No,Yes,Yes,Yes,2021-05-03 16:24,1
Railways Hospital,"Railway Hospital, railway colony,  Ambala Cantt",No (0),0,0,0,1,30,0,0,1,Yes,No,Yes,Yes,Yes,2021-05-08 15:47,1
Rotary Hospital Ambala cantt Pvt,"Rambagh road, Opp Dusshera ground, Ambala Cantt",No (0),0,0,0,0,16,0,4,2,Yes,No,Yes,Yes,Yes,2021-05-09 15:56,1
Sant Hospital,,Yes (13),10,0,3,1,10,0,3,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-10 10:43,1
Civil Hospital Fatehabad,Near Bus Stand Fatehabad,Yes (2),2,0,0,0,34,0,6,6,Yes,Yes,Yes,Yes,Yes,2021-05-10 08:39,5
Civil Hospital Ratia,"Dera Surjanhar, Ratia, Fatehabad",No (0),0,0,0,2,15,3,0,2,Yes,No,No,No,Yes,2021-05-10 09:38,5
"Civil Hospital, Tohana",Opposite New Sabzi Mandi Tohana,Yes (1),0,1,0,0,22,3,0,2,Yes,No,Yes,Yes,Yes,2021-05-09 07:47,5
Community Health Center Bhattu,"Surya Nagar, Bhattu Mandi near Railway Station",Yes (18),2,16,0,0,12,18,0,0,Yes,No,Yes,No,Yes,2021-05-10 09:20,5
Community Health Center Bhuna,CHC Bhuna,Yes (13),3,10,0,0,15,18,0,0,Yes,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-09 15:40,5
Community Health Center JAKHAL,Near SBI Bank Jakhal,Yes (2),2,0,0,0,12,0,0,0,Yes,No,No,No,Yes,2021-05-10 07:06,5
"Gupta Children Hospital, Ratia","Aggarwal Colony, Ratia",Yes (17),8,8,1,1,8,8,1,1,Yes,No,Yes,Yes,Yes,2021-05-10 10:31,5
"Manav Sewa Sangam Hospital, Tohana",Near Truck Union,Yes (1),1,0,0,0,15,0,0,0,Yes,No,Yes,No,Yes,2021-05-10 11:18,5
Miglani Hospital,"Employees Colony, Ratia,",Yes (11),11,0,0,0,15,2,7,7,Yes,Yes,Yes,Yes,Yes,2021-05-09 18:09,5
Rajasthan Medical Centre (RMC) Hospital Tohana,Kenchi Chowk Tohana,No (0),0,0,0,0,11,0,2,2,Yes,No,Yes,Yes,Yes,2021-05-10 08:56,5
Sadhbhawdna Hospital Fatehabad,Near Court Complex Hisar Road Fatehabad,Yes (19),0,19,0,0,5,20,7,2,Yes,No,Yes,Yes,Yes,2021-05-10 07:27,5
Sanjeevani Hospital Tohana,"Kenchi Chock, Tohana",Yes (7),6,0,1,0,6,6,12,2,Yes,No,Yes,Yes,Yes,2021-05-06 16:28,5
"Singla Hospital , fatehabad","Bhattu Road, Batra Colony, Fatehabad",Yes (7),4,3,0,0,5,8,0,0,No,No,Yes,Yes,Yes,2021-05-10 07:33,5
WadhwaMaternity and surgical Hospital Fatehabad,"Near Papiha Park, Fatehabad",Yes (4),0,0,4,0,0,0,7,1,Yes,No,Yes,Yes,Yes,2021-05-10 09:22,5
ASHIRWAD BHAGAT HOSPITAL,"Old DC Rd, near bhagat hospital, Sonipat, Haryana 131001",Yes (1),0,0,1,1,13,0,2,3,Yes,No,Yes,Yes,Yes,2021-05-10 10:02,21
Bhagwan Dass Hospital,"Near Shahpur Turk, block-E, omaxe city, Sector 18, Sonipat, Haryana 131001",Yes (15),13,0,2,1,34,0,6,2,Yes,No,Yes,Yes,Yes,2021-05-09 19:19,21
"BPS MEDICAL COLLEGE KHANPUR , SONIPAT ( 01263283088)","Ganaur - Gohana Rd, Khanpur Kalan, Haryana",Yes (104),Beds Over Utilized 1,104,0,6,130,120,50,50,Yes,Yes,Yes,Yes,Yes,2021-05-10 10:05,21
CHC GANUR,CHC GANUR,Yes (6),6,0,0,0,8,0,0,0,Yes,No,Yes,No,Yes,2021-05-07 17:37,21
CHC Kharkhoda,"SH 20, Kharkhoda, Haryana 131402",Yes (10),5,5,0,0,5,5,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-07 18:08,21
"CHC, JUAN, SONIPAT, HARYANA","CHC, JUAN, SONIPAT, HARYANACHC, JUAN, SONIPAT, HARYANA, 131024",Yes (5),3,2,0,0,3,2,0,0,Yes,No,Yes,Yes,Yes,2021-05-07 22:41,21
"Civil Hospital, Sonipat","Delhi Road, Near Maharana Pratap Chowk, Sonipat, Haryana 131001",No (0),0,0,0,9,150,0,10,10,Yes,Yes,Yes,Yes,Yes,2021-05-09 13:17,21
"CYGNUS HOSPITAL, Sonipat","Old Rohtak Rd, near Hindu College of Engineering, Industrial Area, Sonipat, Haryana 131001",Yes (13),11,Beds Over Utilized 1,2,1,18,0,2,1,Yes,No,Yes,Yes,Yes,2021-05-10 11:52,21
Dayanand Hospital-Sonepat,"Kakroi Rd, Prem Nagar, West Ram Nagar, Sonipat, Haryana",Yes (13),13,0,0,0,23,0,2,2,Yes,No,Yes,Yes,Yes,2021-05-10 11:17,21
FIIMS Hospital,"Road, Bahalgarh, Sonipat, Haryana 131304",Yes (32),23,Beds Over Utilized 5,9,0,68,0,32,8,Yes,No,Yes,Yes,Yes,2021-05-10 08:46,21
GAJRAJ HOSPITAL,"Bus Stand, Gajraj Hospital Road, Near, Gohana, Haryana 131301",Yes (20),20,0,0,0,20,0,0,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-08 00:57,21
HARYANA HOSPITAL,"Vivekanand Chowk, Delhi Rd, behind Bullet Showroom, Janta Colony, Sonipat, Haryana 131001",No (0),0,0,0,1,16,0,9,4,To Be Updated,No,No,No,Yes,2021-05-08 18:40,21
MEMORIAL HOSPITAL,"SH 11, near Mama Bhanja Chowk, Nandwani Nagar, Anand Nagar,, Sonipat, Haryana 131001",No (0),0,0,0,0,18,0,2,2,Yes,No,Yes,Yes,Yes,2021-05-10 10:33,21
NIDAAN HOSPITAL PVT.,"Murthal Rd, Sonipat, Haryana 131001",Yes (1),1,0,0,1,21,0,4,2,Yes,No,Yes,Yes,Yes,2021-05-07 17:44,21
OSCAR HOSPITAL,"SH 11, Lakshmi Nagar, Sonipat, Haryana 131001",No (0),0,0,0,0,16,0,4,3,Yes,No,Yes,Yes,Yes,2021-05-10 10:12,21
