name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
ABLE HOSPITAL,,Yes (39),10,25,4,4,10,25,4,4,Yes,No,Yes,Yes,Yes,2021-05-15 18:20,15
Apex Hospital,"Prakash Vihar, Delhi Mathura Road, Palwal, Haryana",Yes (18),10,0,8,0,12,0,10,1,Yes,No,Yes,Yes,Yes,2021-05-19 10:53,15
ATLAS HOSPITAL,"Palwal, Haryana",Yes (15),2,11,2,2,2,11,2,2,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-16 12:19,15
CHC Alawalpur,CHC Alawalpur,Yes (17),1,16,0,0,4,16,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-18 18:55,15
Civil Hospital Palwal,"Civil Hospital, palwal",Yes (47),47,0,0,4,103,0,7,7,Yes,Yes,Yes,Yes,Yes,2021-05-19 11:27,15
COSMOS HOSPITAL,PALWAL,Yes (10),5,5,0,0,5,5,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-16 12:02,15
GALAXY HOSPITAL,HUDA SECTOR 2,Yes (6),0,0,6,9,5,0,16,11,Yes,No,Yes,Yes,Yes,2021-05-18 10:56,15
"Gurunanak Hospital, Palwal","NH2, Near Bus Stand, Shiv Colony, Palwal Haryana",Yes (25),13,4,8,2,18,4,15,3,Yes,Yes,Yes,Yes,Yes,2021-05-19 09:18,15
JINDAL HOSPITAL,"Palwal, Haryana",Yes (12),10,2,0,0,10,2,0,0,To Be Updated,No,Yes,Yes,Yes,2021-05-13 10:21,15
KISHAN SINGH HOSPITAL,HODAL,Yes (6),6,0,0,0,8,0,0,0,Yes,No,Yes,No,Yes,2021-05-19 11:03,15
NIDHI HOSPITAL,"Palwal, Haryana",Yes (10),2,7,1,1,2,7,1,1,Yes,No,Yes,Yes,Yes,2021-05-13 16:38,15
Palwal Hospital,"Moti Colony, Palwal, Haryana",Yes (7),0,5,2,0,0,6,16,1,Yes,No,Yes,Yes,Yes,2021-05-18 13:46,15
RAHUL HOSPITAL,PALWAL,Yes (15),7,5,3,0,7,5,3,0,Yes,No,Yes,Yes,Yes,2021-05-13 16:20,15
Sachin Hospital,"New Sohna Road, Near Panchwati Chowk, Palwal Haryana",Yes (15),6,3,6,0,10,5,13,2,Yes,Yes,Yes,Yes,Yes,2021-05-19 11:20,15
SDH Hodal,SDH Hodal,Yes (14),4,10,0,0,10,10,0,0,Yes,No,Yes,Yes,Yes,2021-05-18 15:58,15
Shri. Satya Sai Sanjivani Hospital Palwal,"Palwal, Haryana",Yes (16),0,13,3,2,4,17,4,2,Yes,No,Yes,Yes,Yes,2021-05-19 08:11,15
