name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Cygnus Multispecialty Hospital Kaithal,"Huda Bypass Road, Sector 20, Kaithal, Haryana",No (0),0,0,0,0,28,0,12,2,Yes,No,Yes,Yes,Yes,2021-05-11 16:06,10
District Hospital Kaithal,"Huda Sec 18, Kaithal",Yes (14),0,14,0,1,80,27,8,5,Yes,Yes,Yes,Yes,Yes,2021-05-11 16:56,10
SDH Guhla,SDH Guhla,Yes (70),29,41,0,0,29,41,0,0,Yes,No,Yes,No,Yes,2021-05-11 13:19,10
Shah Multispecialty Hospital Kaithal,"opp.old, bus stand, Jind - Kaithal Rd, Amar Garh Colony, Kaithal, Haryana",Yes (19),7,11,1,4,51,11,15,10,Yes,No,Yes,Yes,Yes,2021-05-11 08:57,10
ANUJ HOSPITAL SAFIDON,safidon panipat road,Yes (30),2,18,10,1,2,18,10,1,Yes,No,Yes,Yes,Yes,2021-05-11 12:00,9
Balaji Hospital Jind,Rohtak Road Jind,Yes (3),3,Beds Over Utilized 2,0,0,32,8,0,0,Yes,No,Yes,Yes,Yes,2021-05-11 16:43,9
CH Uchana (New Building),Uchana,Yes (42),7,33,2,0,60,35,5,0,Yes,No,No,No,Yes,2021-05-11 15:08,9
CHC Alewa,"Alewa 2 Sub Health Centre, Alewa Chc Alewa, Alewa, Jind",Yes (5),5,0,0,0,30,0,0,0,Yes,No,Yes,No,Yes,2021-05-11 16:19,9
CHC Julana,Julana,Yes (12),6,6,0,0,30,6,0,0,Yes,No,Yes,Yes,Yes,2021-05-11 16:42,9
District Civil Hospital Jind 1,Hosptial,No (0),0,0,0,4,126,0,20,12,Yes,Yes,Yes,Yes,Yes,2021-05-11 14:54,9
Gangaputra Ayurvedic Medical College Jind,Kandela,Yes (85),51,9,25,3,60,15,25,3,Yes,No,Yes,Yes,Yes,2021-05-11 09:37,9
JIND HEART HOSPITAL,GOHANA BYPASS ROHTAK ROAD JIND,Yes (10),8,0,2,0,12,0,5,1,Yes,No,No,No,No,2021-05-11 15:19,9
Malik Hospital,Rohtak Road Jind,Yes (4),3,0,1,2,4,0,4,3,Yes,No,Yes,Yes,Yes,2021-05-11 09:44,9
Meenakashi Jain Hospital,Near Bus Stand,No (0),0,0,0,0,10,0,5,1,Yes,No,Yes,Yes,Yes,2021-05-11 09:37,9
Sarvodhya Hospital Jind,Jind,Yes (15),15,0,0,2,20,0,0,2,Yes,No,Yes,No,No,2021-05-11 09:42,9
SDH Narwana,Narwana,Yes (20),8,12,0,0,40,12,0,0,Yes,No,Yes,Yes,Yes,2021-05-11 16:18,9
SDH Safidon,Safidon,Yes (17),3,14,0,0,30,14,0,0,Yes,No,Yes,No,Yes,2021-05-11 16:43,9
Shri Gyani Ram Mamorial Hospital,Safidon,Yes (14),8,2,4,0,10,5,10,0,Yes,No,Yes,Yes,Yes,2021-05-11 14:34,9
Advanta Super Speciality Hospital,Near Power House,No (0),Beds Over Utilized 9,0,Beds Over Utilized 4,0,25,0,10,4,No,No,Yes,Yes,Yes,2021-05-11 09:13,19
ARS Holy Heart Advanced Cardiac care &amp; Research Centre,"330, Vinay Nagar Rohtak, Near Delhi Bypass Rohtak",Yes (1),1,Beds Over Utilized 1,0,0,2,3,12,2,Yes,No,No,No,No,2021-05-11 17:21,19
CHC Chiri,"VOP Chiri, Meham Gohana Road, Distt. Rohtak Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-11 10:56,19
CHC Kahanaur,"Near Sarva haryana Gramin Bank, Opp. Banquet hall, Nigana Road, Kahanaur",Yes (4),0,4,0,0,4,6,0,0,Yes,No,Yes,No,Yes,2021-05-10 13:35,19
