name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Adiyogi Arogya Avenue,"232, Subhash Nagar, Near civil hospital back gate, Jhajjar",Yes (10),7,2,1,1,7,2,6,1,To Be Updated,To Be Updated,Yes,Yes,Yes,2021-05-20 08:35,8
"Advanta Hospital, Jhajjar city","Silani Gate, Jhajjar, Haryana",Yes (39),24,10,5,1,24,10,16,1,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-20 09:24,8
"Brahm Shakti Sanjivani Hospital, B.garh","Opp. BSNL Exchange, Delhi - Rohtak Road, NH9, Bahadurgarh, Haryana",Yes (46),32,13,1,2,60,20,20,3,Yes,No,Yes,Yes,Yes,2021-05-19 12:15,8
Civil Hospital Jhajjar,"Jhajjar, NH-71, Jhajjar Rohtak Road, Jhajjar, Jhajjar, Haryana",Yes (22),22,0,0,0,53,0,0,0,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-20 11:19,8
"Delhi Hospital, Bahadurgarh","Rohtak Rd, near Shyamji Complex, Ram Nagar, Bahadurgarh, Haryana",Yes (32),12,20,0,0,20,20,10,2,Yes,No,Yes,Yes,Yes,2021-05-20 11:03,8
Dr. Sanjay Multi Speciality Hospital,INFRONT OF CIVIL HOSPITAL BAHADURGARH,Yes (40),31,6,3,0,45,10,6,1,Yes,No,No,To Be Updated,To Be Updated,2021-05-19 11:16,8
"Jeewan Jyoti Hospital, Bahadurgarh","Rohtak Rd, MIE Part-B, Bahadurgarh, Haryana",Yes (119),51,68,0,4,77,68,15,4,Yes,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-19 11:26,8
"JK Hospital, Bahadurgarh","Bahadurgarh,, Bahamnoli, Bahadurgarh, Haryana",Yes (39),2,31,6,0,5,31,8,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-19 11:19,8
"Medicare Super Speciality Hospiatl &amp; Trauma Centre, Jhajjar City","Dadri road Jhajjar, Jhajjar, Haryana",Yes (37),12,23,2,3,15,23,12,3,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-20 09:37,8
"Mission Hospital, Bahadurgarh","Near main Bus Stand & City Metro Station, Rohtak Rd, Bahadurgarh, Jhajjar ,Haryana",Yes (18),8,6,4,0,14,29,6,1,To Be Updated,No,Yes,Yes,No,2021-05-20 11:12,8
"Oscar Hospital, JJR city","Civil Road,Opp Civil Hospital, Jhajjar, Haryana",Yes (65),6,58,1,1,8,58,14,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-20 09:56,8
Oxymus Hospital,"Opposite Civil Hospital, Near Metro Pollar No. 876 Delhi Rohtak Road, Bahadurgarh",Yes (7),4,0,3,0,4,0,6,0,Yes,No,No,No,No,2021-05-19 16:37,8
"Rana Hospital, Bahadurgarh","OPP. REST HOUSE,OLD BARAHI ROAD, BAHADURGARH",Yes (25),18,0,7,2,18,0,7,2,To Be Updated,To Be Updated,No,No,Yes,2021-05-20 10:06,8
"RJ Super Speciality Hospital, B.garh","Delhi - Rohtak Rd, Near Rajesh Joon Office, Dalbir Nagar, Bahadurgarh, Haryana",Yes (53),38,10,5,0,60,10,10,3,Yes,No,Yes,Yes,Yes,2021-05-20 11:29,8
RS GAUR GLOBAL MULTISPECIALITY HOSPITAL,"Jhajjar Road Netaji Subhash Vihar, Haryana",Yes (19),12,4,3,2,19,7,7,2,Yes,No,Yes,Yes,Yes,2021-05-19 18:14,8
"SDH, Bahadurgarh","Madhya Marg, Old Industrial Area, Bahadurgarh, Haryana",Yes (23),23,0,0,0,35,0,0,0,Yes,Yes,Yes,No,Yes,2021-05-19 11:29,8
"Shivam Hospital, B.garh","Line Par, Shastri Nagar, Netaji Nagar, Bahadurgarh, Haryana",Yes (33),24,7,2,0,30,15,6,1,Yes,No,Yes,Yes,Yes,2021-05-20 08:54,8
"Swastik Hospital, Bahadurgarh","Jhajjar Rd, Shakti Nagar, Sakti Nagar, Bahadurgarh, Haryana",Yes (10),4,6,0,1,26,14,10,2,Yes,No,Yes,Yes,Yes,2021-05-19 12:15,8
World College Of Medical Sciences And Hospital,"Jhajjar Sampla Road, Gurwar, Jhajjar, Haryana",Yes (212),66,135,11,2,90,135,25,4,Yes,Yes,Yes,Yes,Yes,2021-05-20 10:30,8
Anchal Multispeciality Hospital,"Anchal Multi speciality Hospital, Krishna Colony, Bhiwani, Haryana 127027",Yes (11),10,0,1,1,25,0,9,2,Yes,Yes,Yes,Yes,Yes,2021-05-19 20:13,2
Ch. Bansilal Govt Hospital,"Bansi Lal General Hospital, Ghanta Ghar Chowk, SH 17, Krishna Colony, Bhiwani, Haryana 127021",Yes (56),33,20,3,1,146,34,46,9,Yes,Yes,Yes,Yes,Yes,2021-05-19 20:27,2
Chugh Hospital,"Meham Gate, Circular Road, Bhiwani",No (0),0,0,0,0,20,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-19 10:52,2
ESI Hospital Bhiwani,"Stadium Rd, Housing Board Colony, Bhiwani, Haryana 127021",Yes (40),0,40,0,0,0,40,0,0,No,No,Yes,Yes,Yes,2021-05-19 20:27,2
Ganpatrai Hospital,"SH 17, Bank Colony, Bound Kalan, Krishna Colony, Bhiwani, Haryana 127021",Yes (10),4,4,2,1,4,4,2,1,Yes,No,Yes,Yes,Yes,2021-05-19 20:27,2
Jangra Multispecilaity Hospital,"Bank Colony, Old Bharat Nagar, Bhiwani, Haryana 127021",Yes (7),6,1,0,0,7,3,0,0,Yes,No,Yes,Yes,Yes,2021-05-20 10:10,2
Kadam Hospital,"Bank Colony Near New Bus Stand, Bhiwani",Yes (12),10,0,2,0,10,0,35,1,Yes,Yes,Yes,Yes,Yes,2021-05-20 11:09,2
Krishan Lal Jalan Hospital,"Jalan Nagar, M.C.Colony, Bhiwani, Haryana 127021",Yes (40),20,20,0,0,20,20,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-19 20:27,2
Life Line Hospital,"Circular Rd, M.C.Colony, Bhiwani, Haryana 127021",Yes (11),5,0,6,0,21,0,6,0,Yes,Yes,Yes,Yes,Yes,2021-05-19 10:47,2
RPS HOSPITAL,,Yes (22),3,16,3,0,4,16,4,0,Yes,No,Yes,Yes,Yes,2021-05-19 10:50,2
Shree Ganesha Hospital,"Dadri Gate, Bhiwani",Yes (6),3,3,0,0,6,3,4,0,Yes,Yes,Yes,Yes,Yes,2021-05-19 10:52,2
"SHRI BABA YOGI NETANATH HOSPITAL , LOHANI ,BHIWANI",VPO Lohani,Yes (28),20,5,3,2,35,5,10,2,Yes,Yes,Yes,Yes,Yes,2021-05-19 20:27,2
SMSG Multispeciality Hospital,"Rohtak Gate, Bhiwani",Yes (24),2,17,5,2,2,17,11,2,Yes,Yes,Yes,Yes,Yes,2021-05-19 10:51,2
Spes Hospital,"Circular Rd, Bound Kalan, M.C.Colony, Bhiwani, Haryana 127021",Yes (13),4,3,6,1,7,3,12,1,Yes,Yes,Yes,Yes,Yes,2021-05-19 10:48,2
ASHIRWAD BHAGAT HOSPITAL,"Old DC Rd, near bhagat hospital, Sonipat, Haryana 131001",No (0),0,0,0,0,12,0,3,1,Yes,Yes,Yes,Yes,Yes,2021-05-20 09:52,21
Bhagwan Dass Hospital,"Near Shahpur Turk, block-E, omaxe city, Sector 18, Sonipat, Haryana 131001",Yes (28),19,0,9,2,27,0,13,2,Yes,No,Yes,Yes,Yes,2021-05-20 11:26,21
"BPS MEDICAL COLLEGE KHANPUR , SONIPAT ( 01263283088)","Ganaur - Gohana Rd, Khanpur Kalan, Haryana",Yes (127),53,74,0,0,170,80,50,50,Yes,Yes,Yes,Yes,Yes,2021-05-20 10:39,21
CHC GANUR,CHC GANUR,Yes (2),2,0,0,0,8,0,0,0,Yes,No,Yes,No,Yes,2021-05-19 14:25,21
CHC Kharkhoda,"SH 20, Kharkhoda, Haryana 131402",Yes (10),5,5,0,0,5,5,0,0,To Be Updated,To Be Updated,Yes,Yes,Yes,2021-05-12 20:29,21
"CHC, JUAN, SONIPAT, HARYANA","CHC, JUAN, SONIPAT, HARYANACHC, JUAN, SONIPAT, HARYANA, 131024",Yes (5),3,2,0,0,3,2,0,0,Yes,No,Yes,Yes,Yes,2021-05-12 20:53,21
"Civil Hospital, Sonipat (9050007668 )","Delhi Road, Near Maharana Pratap Chowk, Sonipat, Haryana 131001",Yes (40),40,0,0,9,190,0,10,10,Yes,Yes,Yes,Yes,Yes,2021-05-19 12:23,21
"CYGNUS HOSPITAL, Sonipat","Old Rohtak Rd, near Hindu College of Engineering, Industrial Area, Sonipat, Haryana 131001",Yes (14),14,0,0,1,18,0,2,1,Yes,No,Yes,Yes,Yes,2021-05-20 09:57,21
Dayanand Hospital-Sonepat,"Kakroi Rd, Prem Nagar, West Ram Nagar, Sonipat, Haryana",Yes (15),12,0,3,0,20,0,5,1,Yes,No,Yes,Yes,Yes,2021-05-20 08:27,21
FIIMS Hospital,"Road, Bahalgarh, Sonipat, Haryana 131304",Yes (42),26,0,16,0,63,0,37,8,Yes,No,Yes,Yes,Yes,2021-05-20 09:26,21
GAJRAJ HOSPITAL,"Bus Stand, Gajraj Hospital Road, Near, Gohana, Haryana 131301",Yes (20),20,0,0,0,20,0,0,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-11 15:44,21
HARYANA HOSPITAL,"Vivekanand Chowk, Delhi Rd, behind Bullet Showroom, Janta Colony, Sonipat, Haryana 131001",Yes (14),3,0,11,1,7,0,18,4,Yes,No,No,No,Yes,2021-05-20 09:52,21
MEMORIAL HOSPITAL,"SH 11, near Mama Bhanja Chowk, Nandwani Nagar, Anand Nagar,, Sonipat, Haryana 131001",No (0),0,0,0,2,16,0,4,2,Yes,No,Yes,Yes,Yes,2021-05-20 09:53,21
NIDAAN HOSPITAL PVT.,"Murthal Rd, Sonipat, Haryana 131001",No (0),0,0,0,0,22,0,3,1,Yes,No,Yes,Yes,Yes,2021-05-20 10:05,21
OSCAR HOSPITAL,"SH 11, Lakshmi Nagar, Sonipat, Haryana 131001",Yes (1),1,0,0,2,12,0,8,2,Yes,No,Yes,Yes,Yes,2021-05-20 07:56,21
PHC PURKHAS,"Purkhas, Haryana 131102",Yes (30),0,30,0,0,0,30,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-12 20:55,21
"SANJIVNI HOSPITAL, SONIPAT","Mehlana Rd, Malviya Nagar, Sonipat, Haryana 131304",Yes (12),12,0,0,0,14,0,1,1,Yes,No,Yes,Yes,Yes,2021-05-20 11:10,21
SAXSENA HOSPITAL,"112/113, T.P. Scheme, Delhi Rd, Sonipat, Haryana 131304",Yes (10),10,0,0,2,18,0,5,2,Yes,No,Yes,Yes,Yes,2021-05-19 18:37,21
SDH GOHANA,"Devi Nagar, Uttam Nagar, Gohana, Haryana 131301",Yes (10),10,0,0,0,10,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-12 20:27,21
SITA HOSPITAL SONIPAT,"Railway Rd, Ganaur, Haryana 131101",Yes (15),15,0,0,0,20,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-20 10:06,21
SUNHERI DEVI HOSPITAL,"Mission Rd, Dev Nagar, Sonipat, Haryana 131001",Yes (8),3,0,5,1,15,0,5,1,Yes,No,Yes,Yes,Yes,2021-05-20 09:01,21
TULIP HOSPITAL,"T. P. Scheme, no.15, Delhi Rd, Vivekanand chowk, Sonipat, Haryana 131001",No (0),0,0,0,2,0,0,20,5,Yes,No,Yes,Yes,Yes,2021-05-19 21:34,21
Advanta Super Speciality Hospital,Near Power House,Yes (2),Beds Over Utilized 2,0,2,0,25,0,14,4,No,No,Yes,Yes,Yes,2021-05-20 08:54,19
ARS Holy Heart Advanced Cardiac care &amp; Research Centre,"330, Vinay Nagar Rohtak, Near Delhi Bypass Rohtak",Yes (8),Beds Over Utilized 1,0,8,1,0,0,20,2,Yes,No,No,No,No,2021-05-20 09:09,19
CHC Chiri,"VOP Chiri, Meham Gohana Road, Distt. Rohtak Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-20 10:22,19
CHC Kahanaur,"Near Sarva haryana Gramin Bank, Opp. Banquet hall, Nigana Road, Kahanaur",Yes (7),1,6,0,0,4,6,0,0,Yes,No,Yes,No,Yes,2021-05-20 09:17,19
CHC kalanaur,"Police Station, Bhiwani-Rohtak Road , Near Kalanaur kalan, Kalanaur,",Yes (3),3,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-20 09:37,19
CHC Kiloi,"VPO Kiloi, Water Works, Distt. Rohtak",Yes (10),5,5,0,0,5,5,0,0,Yes,No,Yes,No,Yes,2021-05-20 10:15,19
CHC Madina,"VPO Madina, Hisar Road Distt. Rohtak, Haryana",Yes (10),0,10,0,0,0,10,0,0,Yes,No,No,No,Yes,2021-05-20 09:06,19
CHC Meham,"Near ITI, Meham Distt. Rohtak",Yes (5),5,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-20 09:15,19
CHC Sampla,"Gadi Sampla, Rohtak, SH-20, Jhajjar Sampla Road, Sampla, Sampla, Haryana 124501",Yes (9),0,9,0,0,0,10,0,0,No,No,Yes,No,Yes,2021-05-20 08:12,19
"Civil Hospital, Rohtak",Subash Road,Yes (42),12,28,2,3,36,28,7,5,Yes,Yes,Yes,Yes,Yes,2021-05-20 09:33,19
Holy Heart Super speciality Hospital,Vinay Nagar Delhi Bye pass,No (0),0,0,0,0,25,5,27,6,Yes,No,No,Yes,Yes,2021-05-20 09:07,19
"Hridaya Nilayam Heart, Lung &amp; vascular Institute","5, Raj Garden, Delhi Bypass, Rohtak",Yes (10),0,0,10,0,0,0,25,2,Yes,No,Yes,Yes,Yes,2021-05-20 08:13,19
Joyline Multispeciality,"Surajmal Colony, Sunarian Road, Opposite Birgadier Muktram Statue Rohtak",Yes (8),8,0,0,1,15,0,5,1,Yes,Yes,Yes,Yes,Yes,2021-05-20 08:45,19
Kainos Hospital,Near Kheri Sadh Village Outer Bye Pass,Yes (17),10,0,7,2,26,10,34,17,Yes,No,Yes,Yes,Yes,2021-05-20 09:44,19
Life Care Hospital,Subash Nagar,Yes (27),12,0,15,6,30,0,20,6,No,No,Yes,Yes,Yes,2021-05-20 09:11,19
Maan Hospital,Bhagwan Colony Near Radio Station,Yes (20),15,0,5,5,29,0,16,6,Yes,No,Yes,Yes,Yes,2021-05-20 09:53,19
Mansarover Hospital,Mansarover Colony Near Park,Yes (17),14,0,3,3,20,0,10,7,Yes,Yes,Yes,Yes,Yes,2021-05-20 10:23,19
Neurocentre Super Speciality Hospital,"Kalawati Bulding, Near Power House Rohtak",Yes (15),4,6,5,0,4,6,13,2,Yes,No,Yes,Yes,Yes,2021-05-20 09:45,19
Noble Heart Super Speciality Hospital,Near Raj Garden Delhi Bye Pass,Yes (10),9,1,0,0,26,1,7,6,Yes,No,Yes,Yes,Yes,2021-05-20 08:54,19
Oscar Super Speciality Trauma Center,"Medical Moad, Daryao Singh Nagar,",Yes (6),3,3,0,0,23,3,15,2,Yes,No,Yes,No,Yes,2021-05-20 10:30,19
Oxygen Hospital,Islam Pura Daries Hisar Road,Yes (14),7,7,0,1,15,10,5,4,Yes,Yes,Yes,Yes,Yes,2021-05-20 09:15,19
PGIMS Rohtak,"Pt.Bhagwat Dayal PGIMS, Medical Rd, Rohtak, Haryana",Yes (302),293,0,9,9,451,0,115,115,Yes,Yes,Yes,Yes,Yes,2021-05-20 10:02,19
Positron Hospital,Suncity Sector 35,Yes (16),0,16,0,0,0,16,16,4,Yes,No,Yes,Yes,Yes,2021-05-20 08:59,19
Pragati Hospital,"Sukhpura Chowk, Gohana Road, opp. Ladhot Road Rohtak",Yes (9),6,0,3,1,11,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-20 09:43,19
"Sanghi Nursing Home, Rohtak, Haryana","Chotu Ram Chowk, Civil Road, Arya Nagar, Rohtak, Haryana",Yes (7),6,0,1,3,10,0,4,4,Yes,Yes,Yes,Yes,Yes,2021-05-20 08:57,19
Shivam Liver &amp; Gastro Super Speciality Hospital,"CIVIL ROAD NEAR SHANT MAI CHOWK, Rohtak, Haryana - 124001, India",Yes (6),4,0,2,0,5,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-20 09:54,19
Sunflag Global Hospital,Bharat Colony Near Sheela Bye Pass,Yes (5),5,0,0,0,20,0,15,5,Yes,No,Yes,Yes,Yes,2021-05-20 10:04,19
Civil Hospital Fatehabad,Near Bus Stand Fatehabad,Yes (8),6,0,2,0,20,0,26,6,Yes,Yes,Yes,Yes,Yes,2021-05-20 11:06,5
Civil Hospital Ratia,"Dera Surjanhar, Ratia, Fatehabad",No (0),0,0,0,0,5,0,13,3,Yes,No,No,No,Yes,2021-05-20 10:09,5
"Civil Hospital, Tohana",Opposite New Sabzi Mandi Tohana,Yes (6),3,3,0,0,10,3,14,2,Yes,Yes,Yes,Yes,Yes,2021-05-20 11:18,5
Community Health Center Bhattu,"Surya Nagar, Bhattu Mandi near Railway Station",Yes (2),0,2,0,0,4,2,6,0,Yes,No,Yes,No,Yes,2021-05-20 09:34,5
Community Health Center Bhuna,CHC Bhuna,Yes (12),4,8,0,0,16,14,0,0,Yes,No,Yes,No,Yes,2021-05-20 10:09,5
Community Health Center JAKHAL,Near SBI Bank Jakhal,Yes (2),2,0,0,0,6,0,6,0,Yes,No,Yes,No,Yes,2021-05-20 10:10,5
"Gupta Children Hospital, Ratia","Aggarwal Colony, Ratia",Yes (7),5,0,2,0,6,8,2,1,Yes,No,Yes,Yes,No,2021-05-20 10:10,5
Kaushal Hospital,"Near Harvinder Singh Petrol Pump, Hisar Road, Fatehabad",Yes (11),7,0,4,3,12,0,6,4,No,No,Yes,Yes,Yes,2021-05-20 11:23,5
"Manav Sewa Sangam Hospital, Tohana",Near Truck Union,Yes (5),5,0,0,0,15,0,0,0,Yes,No,Yes,No,Yes,2021-05-20 10:09,5
Miglani Hospital,"Employees Colony, Ratia,",Yes (5),4,0,1,1,15,2,7,7,Yes,Yes,Yes,Yes,Yes,2021-05-20 07:17,5
Rajasthan Medical Centre (RMC) Hospital Tohana,Kenchi Chowk Tohana,Yes (4),4,0,0,0,11,0,4,2,Yes,No,Yes,Yes,Yes,2021-05-20 10:09,5
Sadhbhawdna Hospital Fatehabad,Near Court Complex Hisar Road Fatehabad,Yes (15),0,15,0,0,15,20,15,5,Yes,No,Yes,Yes,Yes,2021-05-20 11:26,5
Sanjeevani Hospital Fatehabad,"Goshala Road, near Ashirbad Pelace",Yes (6),5,0,1,1,6,0,4,3,No,No,No,Yes,No,2021-05-20 10:10,5
