name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
DCHC Barara,,No (0),0,0,0,0,2,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-10 12:37,1
DCHC Mullana,,Yes (5),5,0,0,0,14,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-10 12:37,1
DCHC Naraingarh,,Yes (30),30,0,0,0,30,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-10 12:36,1
District Civil Hospital,Ambala City,Yes (42),39,0,3,2,136,0,6,8,Yes,Yes,Yes,Yes,Yes,2021-05-10 10:51,1
District Civil Hospital Ambala Cantt,Ambala Cantt,Yes (3),1,0,2,3,89,0,6,5,Yes,Yes,Yes,Yes,Yes,2021-05-10 10:56,1
Guardian Hospital,AMBALA JAGADHARI ROAD AMBALA CANTT,Yes (1),0,0,1,2,15,3,2,3,Yes,Yes,Yes,Yes,Yes,2021-05-10 13:05,1
Ishwar Hospital,,Yes (6),6,0,0,0,16,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-10 18:57,1
Mehndiratta Hospital,"#106, manali house, near central jail,  ambala city",No (0),0,0,0,0,25,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-10 13:05,1
Military Hospital,Ambala Cantonment,Yes (39),0,39,Beds Over Utilized 15,1,60,85,0,15,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-10 13:05,1
MM Medical College Pvt,MMIMSR Mullana Ambala,Yes (105),45,60,0,1,100,70,24,16,Yes,Yes,Yes,Yes,Yes,2021-05-10 21:12,1
Park Healing Touch Hospital,"Sultanpur Chowk, Nr Dhulkot Barrier, Ambala Chandigarh Expy. Ambala",Yes (24),18,0,6,6,30,0,10,10,Yes,Yes,Yes,Yes,Yes,2021-05-10 12:59,1
Philedelphia mission Hospital pvt,"Mission Compound, Ambala City",Yes (21),19,0,2,2,92,0,6,2,Yes,No,Yes,Yes,Yes,2021-05-10 12:47,1
Railways Hospital,"Railway Hospital, railway colony,  Ambala Cantt",No (0),0,0,0,0,30,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-10 12:51,1
Rotary Hospital Ambala cantt Pvt,"Rambagh road, Opp Dusshera ground, Ambala Cantt",No (0),0,0,0,0,15,0,3,2,Yes,No,Yes,Yes,Yes,2021-05-10 12:58,1
Sant Hospital,,Yes (2),0,0,2,1,10,0,2,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-10 13:04,1
Apollo Rewari/Family Health Edge Hospital,"Garhi Bolni Rd, near Public Health Office, krishna Nagar, Rewari, Haryana",No (0),Beds Over Utilized 5,Beds Over Utilized 3,0,0,4,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-10 15:46,18
Civil Hospital rewari,"Kayasthwara Mohalla, Rewari, Haryana",No (0),Beds Over Utilized 1,0,0,1,44,0,3,3,Yes,Yes,Yes,Yes,Yes,2021-05-02 19:35,18
Cygnus Hospital,"Opposite Civil Hospital Mohola, Sanghi Ka Bass, Rewari, Haryana",No (0),0,0,0,0,15,0,9,2,Yes,No,No,To Be Updated,To Be Updated,2021-05-10 14:26,18
Devjyoti Hospital,"Ambedkar chowk, near Bus Stand, Rewari, Haryana",No (0),0,0,0,Beds Over Utilized 1,7,2,5,1,Yes,No,Yes,Yes,Yes,2021-05-10 19:32,18
Dr. K.K. NAGAR HOSPITAL,"317, Near Shishu Shala School, Model Town, Rewari, Haryana",No (0),0,0,Beds Over Utilized 5,0,3,0,5,1,Yes,No,Yes,Yes,Yes,2021-05-10 20:49,18
Kamla Nursing Home/Kalawati Hospital,"201, Model Town, Rewari, Near Bus Stand, Opposite Bal Bhawan, Shivam Chowk",No (0),Beds Over Utilized 8,0,0,6,5,0,5,6,Yes,No,Yes,Yes,Yes,2021-05-10 19:53,18
Katyal Hospital,"Katyal Hospital, KANOD GATE, CIRCULAR ROAD, Rewari, Haryana, India",Yes (1),0,1,0,0,12,6,10,1,Yes,No,Yes,Yes,Yes,2021-05-10 19:21,18
Maars Hospital,"Garhi Bolni Rd, near PWD Office, Sector 19, Rewari, Haryana",Yes (2),2,0,0,0,11,0,0,0,Yes,No,Yes,Yes,No,2021-05-10 11:42,18
Matrika Hospital,"Matrika Hospital, Ranbir Singh Huda Chowk, Bawal-Rewari Rd, Rewari, Haryana",No (0),Beds Over Utilized 1,0,Beds Over Utilized 1,0,14,0,14,3,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-09 11:16,18
Mediom Hospital/Medcare Hospital,"Sohna Rd, near Municipal Corporation, Dharuhera, Haryana",Yes (4),3,Beds Over Utilized 1,1,0,8,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-09 16:14,18
Om Hospital,"Om Hospital, Nandrampur Bass Rd, Dharuhera, Haryana",Yes (2),2,0,0,0,10,2,3,0,Yes,No,Yes,Yes,Yes,2021-05-10 20:56,18
Pushpanjli Hospital Rewari,"Rajesh Pilot Chowk, Rewari, Haryana",No (0),0,0,0,0,25,10,10,3,No,No,Yes,Yes,Yes,2021-05-09 18:20,18
R. B. Yadav Hospital,"Dr. R B Yadav Hospital, Circular Rd Jainpuri, Kayasthwara Mohalla, Rewari, Haryana",Yes (5),0,5,0,0,8,6,8,2,Yes,No,Yes,Yes,Yes,2021-05-10 18:29,18
SDH Kosli,"Kosli, Rewari, Haryana",Yes (25),0,25,0,0,20,25,0,0,Yes,No,No,No,No,2021-05-10 09:50,18
Shanti Yadav Hospital,"Bawal-Rewari Rd Model Town, Rewari, Haryana",Yes (13),2,10,1,0,19,10,4,0,Yes,No,Yes,No,No,2021-05-09 11:29,18
SMCC Hospital,"Sector 5 Rewari, Haryana",No (0),0,0,0,1,0,0,11,1,Yes,No,Yes,Yes,Yes,2021-05-10 21:30,18
"Sushma Devi Hospital, Bawal","Rewari Road, Bawal, Rewari, Near Power House & Bharat Petrol Pump",Yes (6),0,6,0,0,8,10,0,0,Yes,No,Yes,Yes,Yes,2021-05-10 17:49,18
Vedanta Hospital,"Circulare Road, Near Nirankari Satsang Bhavan Dharuhera, Chungi, Rewari, Haryana",No (0),Beds Over Utilized 11,Beds Over Utilized 4,0,Beds Over Utilized 4,13,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-10 17:25,18
Virat Hospital,"Circular Rd, Near Oriental Bank of Commerce, Madhu Vihar, Rewari, Haryana",No (0),Beds Over Utilized 16,Beds Over Utilized 2,Beds Over Utilized 19,Beds Over Utilized 1,33,0,8,2,Yes,No,Yes,Yes,Yes,2021-05-02 19:35,18
Yaduvanshi Hospital,"Maharana Pratap Chowk, Model Town, Rewari, Haryana",Yes (1),1,0,Beds Over Utilized 1,0,15,0,4,0,Yes,No,Yes,Yes,No,2021-05-10 18:29,18
"Ayurvedic Medical College, Patikara","Village- Ptikra, Narnaul",Yes (172),51,121,0,0,75,125,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-10 19:13,13
CHC ATELI,CHC Ateli,Yes (15),5,10,0,0,5,10,0,0,No,Yes,Yes,Yes,Yes,2021-05-10 19:10,13
CHC Kanina,CHC Kanina,Yes (37),8,29,0,0,20,30,0,0,No,No,Yes,Yes,Yes,2021-05-10 19:10,13
CHC Nangal Chaudhary,chc nangal choudhary,Yes (15),5,10,0,0,5,10,0,0,No,Yes,Yes,Yes,Yes,2021-05-10 19:11,13
CHC Sehlang,CHC SEHLANG,Yes (15),5,10,0,0,5,10,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-10 19:11,13
Civil Hospital Narnaul,"Housing Board, Narnaul",Yes (2),2,0,0,2,25,0,0,7,Yes,Yes,Yes,Yes,Yes,2021-05-10 19:09,13
Jaipur Heart &amp; Multi Speciality Hospital,"Opp. Sadar Thana, Narnaul",No (0),0,0,0,1,6,0,6,3,Yes,Yes,Yes,Yes,Yes,2021-05-10 19:12,13
LAXMI NARAYANAN,"Laxmi Narayanan Hospital , Narnaul Road Mahendergarh",No (0),0,0,0,0,6,0,5,1,Yes,No,Yes,Yes,Yes,2021-05-10 19:13,13
Rainbow Multispecialty hospital and trauma Centre,"Singhana road, Narnaul",Yes (3),0,3,0,0,2,3,8,2,Yes,Yes,Yes,Yes,Yes,2021-05-10 19:13,13
Sammat Memorial Hospital,"Sastri colony, near bus stand, mahendergarh",Yes (8),4,4,0,2,10,6,5,2,Yes,No,Yes,Yes,Yes,2021-05-10 19:13,13
Sanwedna Hospital Narnaul,"HUDA Sector 1, Narnaul",Yes (6),6,0,0,1,11,0,10,1,Yes,Yes,Yes,Yes,Yes,2021-05-10 19:10,13
SDH Mahendergarh,SDH Mahendergarh,Yes (12),12,0,0,0,20,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-10 19:11,13
Shanti Hospital Narnaul,Shanti Hospital Narnaul,Yes (2),2,0,0,1,9,0,9,2,Yes,Yes,Yes,Yes,Yes,2021-05-10 19:14,13
Sheela Multi Superspeciality Hospital,Behind Bus Stand Mahindergarh,No (0),0,0,0,1,6,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-10 19:13,13
Shri Arvind Heart and Multispecialty Hospital,"Rao Tula Ram Chowk, Dadri Road Mahendergarh",Yes (6),0,5,1,0,6,5,6,3,Yes,Yes,Yes,Yes,Yes,2021-05-10 19:13,13
Vijay Hospital Narnaul,"HUDA Sector 1, Narnaul",No (0),0,0,0,1,8,0,17,2,Yes,Yes,Yes,Yes,Yes,2021-05-10 19:09,13
Anchal Multispeciality Hospital,"Anchal Multi speciality Hospital, Krishna Colony, Bhiwani, Haryana 127027",Yes (4),2,0,2,0,21,0,8,2,Yes,Yes,Yes,Yes,Yes,2021-05-10 18:22,2
Ch. Bansilal Govt Hospital,"Bansi Lal General Hospital, Ghanta Ghar Chowk, SH 17, Krishna Colony, Bhiwani, Haryana 127021",Yes (58),15,37,6,1,109,75,42,9,Yes,Yes,Yes,Yes,Yes,2021-05-10 18:22,2
Chugh Hospital,"Meham Gate, Circular Road, Bhiwani",No (0),0,0,0,0,17,3,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-10 18:30,2
ESI Hospital Bhiwani,"Stadium Rd, Housing Board Colony, Bhiwani, Haryana 127021",Yes (40),0,40,0,0,0,40,0,0,No,No,Yes,Yes,Yes,2021-05-10 17:03,2
Ganpatrai Hospital,"SH 17, Bank Colony, Bound Kalan, Krishna Colony, Bhiwani, Haryana 127021",Yes (9),4,3,2,1,4,4,2,1,Yes,No,Yes,Yes,Yes,2021-05-10 17:03,2
Jangra Multispecilaity Hospital,"Bank Colony, Old Bharat Nagar, Bhiwani, Haryana 127021",Yes (5),2,3,0,0,5,5,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-10 18:23,2
Kadam Hospital,"Bank Colony Near New Bus Stand, Bhiwani",No (0),0,0,0,0,11,0,31,1,Yes,Yes,Yes,Yes,Yes,2021-05-10 17:03,2
Krishan Lal Jalan Hospital,"Jalan Nagar, M.C.Colony, Bhiwani, Haryana 127021",Yes (40),20,20,0,0,20,20,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-10 18:25,2
Life Line Hospital,"Circular Rd, M.C.Colony, Bhiwani, Haryana 127021",Yes (9),0,0,9,1,18,2,9,1,Yes,Yes,Yes,Yes,Yes,2021-05-10 18:27,2
RPS HOSPITAL,,Yes (18),2,13,3,0,4,16,4,0,Yes,No,Yes,Yes,Yes,2021-05-10 18:27,2
Shree Ganesha Hospital,"Dadri Gate, Bhiwani",Yes (23),2,20,1,1,6,21,4,1,Yes,Yes,Yes,Yes,Yes,2021-05-10 18:30,2
SMSG Multispeciality Hospital,"Rohtak Gate, Bhiwani",Yes (28),2,17,9,2,2,17,11,2,Yes,Yes,Yes,Yes,Yes,2021-05-10 18:29,2
Spes Hospital,"Circular Rd, Bound Kalan, M.C.Colony, Bhiwani, Haryana 127021",Yes (5),0,0,5,0,0,0,13,0,Yes,Yes,Yes,Yes,Yes,2021-05-10 18:27,2
Alchemist Hospital panchkula,Sector 21 Panchkula,Yes (1),0,0,1,0,41,0,11,4,Yes,Yes,Yes,Yes,Yes,2021-05-10 18:58,16
Alchemist Ojas Hospital,"H1  SEctor 26, Panchkula Ext, Panchkula",Yes (1),0,0,1,2,53,0,17,8,Yes,Yes,Yes,Yes,Yes,2021-05-10 18:59,16
Civil Hospital Panchkula,sector 6 Panchkula,No (0),0,0,0,0,203,8,8,6,Yes,Yes,Yes,Yes,Yes,2021-05-10 19:57,16
Paras Hospital Pvt,"Plot no 2, sec 22, panchkula",Yes (1),1,0,0,0,39,10,40,10,Yes,Yes,Yes,Yes,Yes,2021-05-10 18:58,16
BALAJI HOSPITAL,"Yamuna Nagar, Haryana",Yes (1),1,0,0,0,10,2,0,0,Yes,No,Yes,Yes,Yes,2021-05-10 17:06,22
Ch Lekh Raj Multispeciality Hospital,Vill Gadhauli Yamuna Nagar,Yes (134),54,80,0,0,70,80,0,0,Yes,No,Yes,Yes,Yes,2021-05-10 17:03,22
CHC Bilaspur,CHC Bilaspur,Yes (8),3,5,0,0,8,17,0,0,Yes,No,Yes,No,Yes,2021-05-10 16:57,22
CHC Chhachharuli,CHC Chhachharuli,Yes (16),5,11,0,0,10,20,0,0,Yes,No,Yes,Yes,Yes,2021-05-10 16:57,22
