name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Cygnus Multispecialty Hospital Kaithal,"Huda Bypass Road, Sector 20, Kaithal, Haryana",Yes (11),8,0,3,0,28,0,12,2,Yes,No,Yes,Yes,Yes,2021-05-15 09:59,10
District Hospital Kaithal,"Huda Sec 18, Kaithal",Yes (9),0,9,0,1,80,27,8,5,Yes,Yes,Yes,Yes,Yes,2021-05-15 16:52,10
SDH Guhla,SDH Guhla,Yes (69),29,40,0,0,29,41,0,0,Yes,No,Yes,No,Yes,2021-05-15 16:00,10
Shah Multispecialty Hospital Kaithal,"opp.old, bus stand, Jind - Kaithal Rd, Amar Garh Colony, Kaithal, Haryana",Yes (13),7,2,4,7,51,11,15,10,Yes,No,Yes,Yes,Yes,2021-05-15 09:48,10
GH Charkhi Dadri,"Near Loharu Chowk,Charkhi Dadri",No (0),0,0,0,0,35,15,1,11,Yes,Yes,Yes,Yes,Yes,2021-05-14 18:08,3
Jaihind Hospital,Charkhi Dadri,No (0),0,0,0,0,7,1,5,0,Yes,Yes,Yes,To Be Updated,To Be Updated,2021-05-15 16:29,3
Murari Lal Rasiwasia Ayurvedic Hospital,"Delhi Road,Near Janta College",Yes (30),30,0,0,0,70,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-14 18:07,3
Oscar Hospital,Charkhi Dadri,No (0),0,0,0,0,0,0,20,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-14 18:13,3
Pradhan Medicare Centre,"Loharu Rd, Charkhi Dadri, Haryana",No (0),0,0,0,0,10,0,3,0,To Be Updated,Yes,Yes,Yes,Yes,2021-05-14 17:48,3
Sunflag Hospital,Charkhi Dadri,No (0),0,0,0,0,6,0,6,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-13 16:09,3
ANUJ HOSPITAL SAFIDON,safidon panipat road,Yes (27),2,18,7,0,2,18,10,0,Yes,No,Yes,Yes,Yes,2021-05-15 15:56,9
Balaji Hospital Jind,Rohtak Road Jind,No (0),0,0,0,0,32,8,0,0,Yes,No,Yes,Yes,Yes,2021-05-15 08:25,9
CHC Alewa,"Alewa 2 Sub Health Centre, Alewa Chc Alewa, Alewa, Jind",Yes (15),15,0,0,0,15,0,0,0,Yes,No,Yes,No,Yes,2021-05-15 08:15,9
CHC Julana,Julana,Yes (20),14,6,0,0,20,6,0,0,Yes,No,Yes,Yes,Yes,2021-05-15 08:21,9
District Civil Hospital Jind (NEW+OLD),Hosptial,No (0),0,0,0,7,126,0,20,12,Yes,Yes,Yes,Yes,Yes,2021-05-15 08:02,9
Gangaputra Ayurvedic Medical College Jind,Kandela,Yes (86),48,13,25,3,60,15,25,3,Yes,No,Yes,No,Yes,2021-05-15 14:02,9
JIND HEART HOSPITAL,GOHANA BYPASS ROHTAK ROAD JIND,Yes (9),8,0,1,1,12,0,5,1,Yes,No,No,No,No,2021-05-15 15:31,9
Malik Hospital,Rohtak Road Jind,No (0),0,0,0,2,4,0,4,3,Yes,No,Yes,Yes,Yes,2021-05-15 08:27,9
Meenakashi Jain Hospital,Near Bus Stand,Yes (1),1,0,0,0,13,0,5,1,Yes,No,Yes,Yes,Yes,2021-05-15 08:22,9
Sarvodhya Hospital Jind,Jind,Yes (11),11,0,0,2,20,0,0,2,Yes,No,Yes,No,No,2021-05-15 08:40,9
SDH Narwana,Narwana,Yes (18),6,12,0,0,20,12,0,0,Yes,No,Yes,Yes,Yes,2021-05-15 15:10,9
SDH Safidon,Safidon,Yes (25),13,12,0,0,20,14,0,0,Yes,No,Yes,No,Yes,2021-05-15 08:11,9
SDH UCHANA,Uchana,Yes (48),15,33,0,0,20,35,0,0,Yes,No,No,No,Yes,2021-05-15 14:53,9
Shri Gyani Ram Mamorial Hospital,Safidon,Yes (16),7,5,4,0,10,5,10,0,Yes,No,Yes,Yes,Yes,2021-05-15 16:24,9
"Ayurvedic Medical College, Patikra",HUDA Sec. 1 Narnaul,Yes (179),20,159,0,0,40,160,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-15 12:09,13
CHC ATELI,CHC ATELI,Yes (15),10,5,0,0,15,5,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-15 14:54,13
CHC Kanina,Kanina,Yes (11),1,10,0,0,13,12,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-15 12:21,13
CHC Nangal Chaudhary,chc nangal choudhary,Yes (10),5,5,0,0,5,5,0,0,No,Yes,Yes,Yes,Yes,2021-05-15 16:35,13
CHC Sehlang,CHC SEHLANG,Yes (9),5,4,0,0,5,4,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-15 16:38,13
Civil Hospital Narnaul,"Housing Board, Narnaul",Yes (10),10,0,0,2,80,0,0,10,Yes,Yes,Yes,Yes,Yes,2021-05-15 16:45,13
Jaipur Heart &amp; Multi Speciality Hospital,"Opp. Sadar Thana, Narnaul",No (0),0,0,0,0,6,3,4,2,Yes,Yes,Yes,Yes,Yes,2021-05-15 09:23,13
LAXMI NARAYANAN,"Laxmi Narayanan Hospital , Narnaul Road Mahendergarh",Yes (1),1,0,0,1,6,0,4,1,Yes,Yes,Yes,Yes,Yes,2021-05-15 16:50,13
Rainbow Multispecialty hospital and trauma Centre,"Singhana road, Narnaul",Yes (1),1,0,0,0,4,3,6,2,Yes,No,Yes,Yes,Yes,2021-05-15 16:02,13
Sammat Memorial Hospital,"Sastri colony, near bus stand, mahendergarh",Yes (8),2,6,0,2,10,6,3,2,Yes,No,Yes,Yes,Yes,2021-05-15 16:48,13
Sanwedna Hospital Narnaul,"HUDA Sector 1, Narnaul",Yes (14),14,0,0,0,25,0,9,1,Yes,Yes,Yes,Yes,Yes,2021-05-15 17:02,13
SDH Mahendergarh,SDH Mahendergarh,Yes (11),11,0,0,2,20,0,0,5,Yes,Yes,Yes,Yes,Yes,2021-05-15 16:49,13
Shanti Hospital Narnaul,Shanti Hospital Narnaul,Yes (10),3,7,0,0,9,7,7,2,Yes,Yes,Yes,Yes,Yes,2021-05-14 19:20,13
Sheela Multi Superspeciality Hospital,Behind Bus Stand Mahindergarh,No (0),0,0,0,0,6,0,3,1,Yes,No,Yes,Yes,Yes,2021-05-14 14:48,13
Shri Arvind Heart and Multispecialty Hospital,"Rao Tula Ram Chowk, Dadri Road Mahendergarh",Yes (8),3,5,0,0,9,5,3,3,Yes,Yes,Yes,Yes,Yes,2021-05-15 16:43,13
Vijay Hospital Narnaul,"HUDA Sector 1, Narnaul",No (0),0,0,0,0,8,0,15,2,Yes,Yes,Yes,Yes,Yes,2021-05-15 08:56,13
Adiyogi Arogya Avenue,"232, Subhash Nagar, Near civil hospital back gate, Jhajjar",Yes (9),5,1,3,1,7,2,6,1,Yes,To Be Updated,Yes,Yes,Yes,2021-05-15 15:36,8
"Advanta Hospital, Jhajjar city","Silani Gate, Jhajjar, Haryana",Yes (23),21,0,2,1,24,10,16,1,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-15 10:05,8
