name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
DCHC Barara,,Yes (44),44,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-14 09:43,1
DCHC Mullana,,Yes (41),41,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-14 09:43,1
DCHC Naraingarh,,Yes (40),40,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-14 09:43,1
District Civil Hospital,Ambala City,Yes (23),6,0,17,0,116,0,23,11,Yes,Yes,Yes,Yes,Yes,2021-05-14 09:39,1
District Civil Hospital Ambala Cantt,Ambala Cantt,Yes (12),9,0,3,3,89,0,13,5,Yes,Yes,Yes,Yes,Yes,2021-05-14 09:39,1
Guardian Hospital,AMBALA JAGADHARI ROAD AMBALA CANTT,Yes (3),3,0,0,0,15,3,2,3,Yes,Yes,Yes,Yes,Yes,2021-05-14 09:40,1
Ishwar Hospital,,Yes (1),1,0,0,0,16,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-14 09:41,1
Kuldeep Hospital,,No (0),0,0,0,0,8,0,2,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-14 09:44,1
Mehndiratta Hospital,"#106, manali house, near central jail,  ambala city",No (0),0,0,0,0,25,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-14 09:40,1
Military Hospital,Ambala Cantonment,Yes (51),0,51,0,2,60,85,0,15,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-14 09:39,1
MM Medical College Pvt,MMIMSR Mullana Ambala,Yes (120),35,70,15,1,100,70,24,16,Yes,Yes,Yes,Yes,Yes,2021-05-14 09:41,1
Park Healing Touch Hospital,"Sultanpur Chowk, Nr Dhulkot Barrier, Ambala Chandigarh Expy. Ambala",No (0),0,0,0,0,30,0,10,10,Yes,Yes,Yes,Yes,Yes,2021-05-14 09:40,1
Philedelphia mission Hospital pvt,"Mission Compound, Ambala City",Yes (25),23,0,2,1,92,0,6,2,Yes,No,Yes,Yes,Yes,2021-05-14 09:38,1
Railways Hospital,"Railway Hospital, railway colony,  Ambala Cantt",Yes (6),6,0,0,0,30,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-14 09:40,1
Rotary Hospital Ambala cantt Pvt,"Rambagh road, Opp Dusshera ground, Ambala Cantt",No (0),0,0,0,1,15,0,3,2,Yes,No,Yes,Yes,Yes,2021-05-14 09:38,1
Sant Hospital,,No (0),0,0,0,0,10,0,2,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-14 09:40,1
Aashirwad Hospital,101 Devi Murti Colony Panipat,Yes (3),1,0,2,1,2,0,7,1,Yes,No,Yes,Yes,Yes,2021-05-14 15:54,17
Aayushmaan Bhav Hospital,"GT Road Sewah, Near Police Line Panipat",No (0),0,0,0,1,5,4,6,2,Yes,No,Yes,Yes,Yes,2021-05-14 16:14,17
APEX HOSPITAL &amp; TRAUMA CENTRE,SANOLI ROAD BABAIL NAKA,Yes (6),4,0,2,0,9,0,26,2,Yes,No,Yes,Yes,Yes,2021-05-14 16:09,17
CHC Dadlana,"VPO Dadlana, Panipat",Yes (8),0,8,0,0,0,8,0,0,No,No,No,No,Yes,2021-05-14 16:05,17
CHC Khotpura,VPO Khotpura Panipat,Yes (9),0,9,0,0,0,9,0,0,No,No,No,No,No,2021-05-14 16:05,17
Chhabra Hospital,A-1 Narain Singh Park,No (0),0,0,0,1,6,0,5,1,Yes,Yes,Yes,Yes,Yes,2021-05-14 16:15,17
Civil Hospital panipat,Civil Hospital GT Road Panipat,Yes (9),0,9,0,0,74,20,10,4,Yes,Yes,Yes,Yes,Yes,2021-05-14 16:27,17
Cygnus Hospital,Cygnus Hospital Near Devi Mndir Panipat,No (0),0,0,0,0,12,0,4,2,Yes,No,Yes,Yes,Yes,2021-05-14 09:36,17
GALAXY HOSPITAL,ASSAND ROAD PANIPAT,Yes (1),1,0,0,0,7,0,8,2,Yes,No,Yes,Yes,Yes,2021-05-14 16:19,17
Hyderabadi General Hospital &amp; Nursing Home,"Sanoli Road, Near Sanjay, Chowk, Panipat",No (0),0,0,0,2,0,0,10,2,Yes,No,Yes,Yes,Yes,2021-05-14 16:20,17
IBM HOSPITAL &amp; TRAUMA CENTRE,NEAR BHIM GODA MANDIR SANOLI ROAD,No (0),0,0,0,0,12,0,12,2,Yes,No,Yes,Yes,Yes,2021-05-14 16:51,17
LHDM &amp; Prem Hospital,Prem Hospital Opp. Bus Stand Panipat,Yes (12),12,0,0,0,71,0,9,8,Yes,Yes,Yes,Yes,Yes,2021-05-14 15:49,17
MAX PLUS HOSPITAL,NEAR MALIK PETROL PUMP SANOLI ROAD,Yes (2),2,0,0,0,8,0,7,3,Yes,No,Yes,Yes,Yes,2021-05-14 16:11,17
NC Medical College,NC Medical Colllage Israna,Yes (454),7,446,1,2,42,483,5,4,Yes,No,Yes,Yes,Yes,2021-05-14 15:44,17
Park Hospital GT road panipat,"GT Road Sewah, Paniapt",Yes (21),15,6,0,0,52,14,16,2,Yes,Yes,Yes,Yes,Yes,2021-05-14 15:24,17
Prime Hospital Health Leaders,"Opp. Gangapuri Road, Sanoli Road Panipat",No (0),0,0,0,1,8,0,4,2,Yes,No,Yes,Yes,Yes,2021-05-14 16:18,17
Rainbow Hospital,152-R Model Town Panipat,No (0),0,0,0,0,6,0,3,1,Yes,Yes,Yes,Yes,Yes,2021-05-14 15:18,17
SDH Samalkha,G.T Road Samalkha,Yes (50),30,20,0,0,30,20,0,0,No,No,Yes,Yes,Yes,2021-05-14 16:04,17
shobhit Hospital,"adjacent canara bank, tahsil camp",Yes (10),8,2,0,0,12,2,5,1,Yes,No,Yes,Yes,Yes,2021-05-14 16:06,17
Shree Badri Das Hospital and ICU Care Centre,Assandh Road Panipat,No (0),0,0,0,0,8,0,3,1,Yes,No,Yes,Yes,Yes,2021-05-14 14:52,17
Shree Balajee Multispeciality Hospital,Aggarsan Colony Assandh Road Panipat,No (0),0,0,0,0,4,0,6,2,Yes,Yes,Yes,Yes,Yes,2021-05-14 14:38,17
Shubham Hospital,"202 New Sukhdev Nagar, Panipat",No (0),0,0,0,0,6,0,3,3,Yes,No,Yes,Yes,Yes,2021-05-14 15:04,17
ANUJ HOSPITAL SAFIDON,safidon panipat road,Yes (28),2,18,8,0,2,18,10,0,Yes,No,Yes,Yes,Yes,2021-05-14 08:58,9
Balaji Hospital Jind,Rohtak Road Jind,No (0),0,0,0,0,32,8,0,0,Yes,No,Yes,Yes,Yes,2021-05-14 09:14,9
CHC Alewa,"Alewa 2 Sub Health Centre, Alewa Chc Alewa, Alewa, Jind",Yes (15),15,0,0,0,15,0,0,0,Yes,No,Yes,No,Yes,2021-05-14 16:01,9
CHC Julana,Julana,Yes (20),14,6,0,0,20,6,0,0,Yes,No,Yes,Yes,Yes,2021-05-14 15:59,9
District Civil Hospital Jind (NEW+OLD),Hosptial,No (0),0,0,0,5,126,0,20,12,Yes,Yes,Yes,Yes,Yes,2021-05-14 16:01,9
Gangaputra Ayurvedic Medical College Jind,Kandela,Yes (85),47,13,25,3,60,15,25,3,Yes,No,Yes,No,Yes,2021-05-14 17:01,9
JIND HEART HOSPITAL,GOHANA BYPASS ROHTAK ROAD JIND,Yes (9),8,0,1,0,12,0,5,1,Yes,No,No,No,No,2021-05-14 15:37,9
Malik Hospital,Rohtak Road Jind,No (0),0,0,0,2,4,0,4,3,Yes,No,Yes,Yes,Yes,2021-05-14 09:11,9
Meenakashi Jain Hospital,Near Bus Stand,Yes (3),3,0,0,0,13,0,5,1,Yes,No,Yes,Yes,Yes,2021-05-14 09:16,9
Sarvodhya Hospital Jind,Jind,Yes (10),10,0,0,2,20,0,0,2,Yes,No,Yes,No,No,2021-05-14 16:50,9
SDH Narwana,Narwana,Yes (15),3,12,0,0,20,12,0,0,Yes,No,Yes,Yes,Yes,2021-05-14 16:00,9
SDH Safidon,Safidon,Yes (26),15,11,0,0,20,14,0,0,Yes,No,Yes,No,Yes,2021-05-14 16:02,9
SDH UCHANA,Uchana,Yes (49),16,33,0,0,20,35,0,0,Yes,No,No,No,Yes,2021-05-14 16:02,9
Shri Gyani Ram Mamorial Hospital,Safidon,Yes (8),6,1,1,0,10,5,10,0,Yes,No,Yes,Yes,Yes,2021-05-14 16:09,9
"Apex Hospital, Sirsa","Circular Road, Sirsa",No (0),0,0,0,0,12,2,4,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-14 15:13,20
"Astha Hospital, Sirsa",Dabwali Road Sirsa,No (0),0,0,0,0,15,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-14 09:40,20
CIVIL HOSPITAL SIRSA,"Civil Hospital Road, Sirsa",Yes (1),0,1,0,0,69,10,5,5,Yes,Yes,Yes,Yes,Yes,2021-05-14 10:16,20
