name,address,Availability_availability_of_beds,Availability_oxygen_beds,Availability_non_oxygen_beds,Availability_i_c_u_beds,Availability_ventilators,Allocated_oxygen_beds,Allocated_non_oxygen_beds,Allocated_i_c_u,Allocated_ventilators,Availability_availability_of_oxygen,Availability_antiviral_remdesivir_etc_,Availability_steroids,Availability_anticoagulant,Availability_antipyretic,updated_on,city
Adiyogi Arogya Avenue,"232, Subhash Nagar, Near civil hospital back gate, Jhajjar",Yes (10),7,2,1,1,7,2,6,1,To Be Updated,To Be Updated,Yes,Yes,Yes,2021-05-20 08:35,8
"Advanta Hospital, Jhajjar city","Silani Gate, Jhajjar, Haryana",Yes (39),24,10,5,1,24,10,16,1,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-20 09:24,8
"Brahm Shakti Sanjivani Hospital, B.garh","Opp. BSNL Exchange, Delhi - Rohtak Road, NH9, Bahadurgarh, Haryana",Yes (45),30,12,3,2,60,20,20,3,Yes,No,Yes,Yes,Yes,2021-05-21 11:20,8
Civil Hospital Jhajjar,"Jhajjar, NH-71, Jhajjar Rohtak Road, Jhajjar, Jhajjar, Haryana",Yes (34),34,0,0,0,53,0,0,0,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-21 10:53,8
"Delhi Hospital, Bahadurgarh","Rohtak Rd, near Shyamji Complex, Ram Nagar, Bahadurgarh, Haryana",Yes (37),17,20,0,0,20,20,10,2,Yes,No,Yes,Yes,Yes,2021-05-21 10:57,8
Dr. Sanjay Multi Speciality Hospital,INFRONT OF CIVIL HOSPITAL BAHADURGARH,Yes (41),32,6,3,0,45,10,6,1,Yes,No,No,To Be Updated,To Be Updated,2021-05-21 11:15,8
"Jeewan Jyoti Hospital, Bahadurgarh","Rohtak Rd, MIE Part-B, Bahadurgarh, Haryana",Yes (122),54,68,0,4,77,68,15,4,Yes,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-21 10:39,8
"JK Hospital, Bahadurgarh","Bahadurgarh,, Bahamnoli, Bahadurgarh, Haryana",Yes (40),5,29,6,0,5,31,8,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-21 10:46,8
"Medicare Super Speciality Hospiatl &amp; Trauma Centre, Jhajjar City","Dadri road Jhajjar, Jhajjar, Haryana",Yes (39),12,23,4,2,15,23,12,3,Yes,To Be Updated,Yes,To Be Updated,Yes,2021-05-21 09:24,8
"Mission Hospital, Bahadurgarh","Near main Bus Stand & City Metro Station, Rohtak Rd, Bahadurgarh, Jhajjar ,Haryana",Yes (40),9,27,4,0,14,29,6,1,To Be Updated,No,Yes,Yes,No,2021-05-21 10:20,8
"Oscar Hospital, JJR city","Civil Road,Opp Civil Hospital, Jhajjar, Haryana",Yes (64),6,58,0,1,8,58,14,1,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-21 10:05,8
Oxymus Hospital,"Opposite Civil Hospital, Near Metro Pollar No. 876 Delhi Rohtak Road, Bahadurgarh",Yes (7),4,0,3,0,4,0,6,0,Yes,No,No,No,No,2021-05-21 11:25,8
"Rana Hospital, Bahadurgarh","OPP. REST HOUSE,OLD BARAHI ROAD, BAHADURGARH",Yes (25),18,0,7,2,18,0,7,2,To Be Updated,To Be Updated,No,No,Yes,2021-05-21 10:02,8
"RJ Super Speciality Hospital, B.garh","Delhi - Rohtak Rd, Near Rajesh Joon Office, Dalbir Nagar, Bahadurgarh, Haryana",Yes (55),42,10,3,0,60,10,10,3,Yes,No,Yes,Yes,Yes,2021-05-21 10:56,8
RS GAUR GLOBAL MULTISPECIALITY HOSPITAL,"Jhajjar Road Netaji Subhash Vihar, Haryana",Yes (19),12,3,4,1,19,7,7,2,Yes,No,Yes,Yes,Yes,2021-05-21 09:42,8
"SDH, Bahadurgarh","Madhya Marg, Old Industrial Area, Bahadurgarh, Haryana",Yes (23),23,0,0,0,35,0,0,0,Yes,Yes,Yes,No,Yes,2021-05-20 12:32,8
"Shivam Hospital, B.garh","Line Par, Shastri Nagar, Netaji Nagar, Bahadurgarh, Haryana",Yes (35),24,9,2,0,30,15,6,1,Yes,No,Yes,Yes,Yes,2021-05-21 10:29,8
"Swastik Hospital, Bahadurgarh","Jhajjar Rd, Shakti Nagar, Sakti Nagar, Bahadurgarh, Haryana",Yes (11),10,1,0,1,26,9,10,2,Yes,No,Yes,Yes,Yes,2021-05-20 15:27,8
World College Of Medical Sciences And Hospital,"Jhajjar Sampla Road, Gurwar, Jhajjar, Haryana",Yes (207),72,135,0,2,90,135,25,4,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:07,8
DCHC Barara,,Yes (35),35,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-21 08:36,1
DCHC Mullana,,Yes (27),27,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-21 08:36,1
District Civil Hospital,Ambala City,Yes (39),29,0,10,6,116,0,23,11,Yes,Yes,Yes,Yes,Yes,2021-05-21 08:32,1
District Civil Hospital Ambala Cantt,Ambala Cantt,Yes (8),8,0,0,0,80,0,13,7,Yes,Yes,Yes,Yes,Yes,2021-05-21 08:33,1
Guardian Hospital,AMBALA JAGADHARI ROAD AMBALA CANTT,Yes (8),5,3,0,3,15,3,2,3,Yes,Yes,Yes,Yes,Yes,2021-05-21 08:35,1
Ishwar Hospital,,Yes (1),1,0,0,0,16,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-21 08:35,1
Kuldeep Hospital,,Yes (1),0,0,1,0,8,0,2,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-21 08:36,1
Mehndiratta Hospital,"#106, manali house, near central jail,  ambala city",Yes (13),13,0,0,0,25,0,4,1,Yes,No,Yes,Yes,Yes,2021-05-21 08:34,1
Military Hospital,Ambala Cantonment,Yes (73),8,65,0,2,60,85,0,15,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-21 08:32,1
MM Medical College Pvt,MMIMSR Mullana Ambala,Yes (140),70,70,0,0,116,70,14,10,Yes,Yes,Yes,Yes,Yes,2021-05-21 08:32,1
Park Healing Touch Hospital,"Sultanpur Chowk, Nr Dhulkot Barrier, Ambala Chandigarh Expy. Ambala",No (0),0,0,0,0,30,0,10,10,Yes,Yes,Yes,Yes,Yes,2021-05-21 08:33,1
Philedelphia mission Hospital pvt,"Mission Compound, Ambala City",Yes (21),20,0,1,2,92,0,6,2,Yes,No,Yes,Yes,Yes,2021-05-21 08:19,1
Railways Hospital,"Railway Hospital, railway colony,  Ambala Cantt",Yes (3),3,0,0,0,30,0,5,0,Yes,No,Yes,Yes,Yes,2021-05-21 08:34,1
Rotary Hospital Ambala cantt Pvt,"Rambagh road, Opp Dusshera ground, Ambala Cantt",Yes (1),1,0,0,0,15,0,3,2,Yes,No,Yes,Yes,Yes,2021-05-21 08:32,1
Sant Hospital,,Yes (1),1,0,0,1,10,0,2,1,To Be Updated,Yes,To Be Updated,To Be Updated,To Be Updated,2021-05-21 08:34,1
SDH Naraingarh,,Yes (38),38,0,0,0,50,0,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-21 08:33,1
Yafe Indoor Hospital,,Yes (5),3,2,0,0,9,6,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-21 08:37,1
"AAROGYAM HOSPITAL, Kurukshetra","NEAR OLD BUS STAND, THANESAR, KURUSKHETRA",No (0),0,0,0,0,40,12,15,27,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:07,12
"ADESH MEDICAL COLLEGE, SHAHBAD MOHRI KURUKSHETRA.","VILL. MOHRI, SHAHBAD, KURUSHETRA",Yes (92),24,67,1,2,30,70,5,11,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:09,12
AGGARWAL NURSING HOME,"SALARPUR ROAD, THANESAR, KURUKSHETRA.",No (0),0,0,0,0,20,7,3,7,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:07,12
B.S. HEART CARE,"OPP. NEW BUS STAND, KURUKSHETRA.",No (0),0,0,0,9,18,0,8,20,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:09,12
"CYGNUS HOSPITAL, Kurukshetra","NEAR OLD BUS STAND, THANESAR, KURUSKHETRA",No (0),0,0,0,0,7,4,1,4,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:08,12
KURUKSHETRA NURSING HOME,,Yes (11),10,0,1,2,18,0,1,2,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:09,12
LNJP CIVIL HOSPITAL.,LNJP HOSPITAL KURUKSHETRA.,Yes (19),19,0,0,0,100,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:07,12
MIRI PIRI SHAHBAD,"SHAHBAD, KURUKSHETRA",Yes (4),3,0,1,1,10,0,4,4,Yes,Yes,Yes,Yes,Yes,2021-05-21 11:25,12
Nirogi Hospital,Shahabad Kurukshetra,Yes (3),3,0,0,3,5,2,0,3,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:30,12
Saraswati Mission Hospital,"Ambala Road Dist. Kurukshetra, Pehowa, Haryana 136128",No (0),0,0,0,1,20,0,2,5,Yes,No,Yes,Yes,Yes,2021-05-21 10:07,12
"SIDHARTH HOSPITAL, SHAHBAD","SHAHBAD, KURUKSHETRA",Yes (7),3,4,0,1,8,4,4,3,Yes,Yes,Yes,Yes,Yes,2021-05-21 11:00,12
VERMA HOSPITAL,LADWA,No (0),0,0,0,0,9,3,2,2,Yes,No,Yes,Yes,Yes,2021-05-21 10:08,12
ABLE HOSPITAL,,Yes (37),10,25,2,5,10,25,2,5,Yes,No,Yes,Yes,Yes,2021-05-19 12:55,15
Apex Hospital,"Prakash Vihar, Delhi Mathura Road, Palwal, Haryana",Yes (16),13,0,3,1,13,0,6,2,Yes,No,Yes,Yes,Yes,2021-05-21 10:10,15
ATLAS HOSPITAL,"Palwal, Haryana",Yes (4),0,4,0,1,2,11,2,2,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-19 12:55,15
CHC Alawalpur,CHC Alawalpur,Yes (17),1,16,0,0,4,16,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-18 18:55,15
Civil Hospital Palwal,"Civil Hospital, palwal",Yes (51),51,0,0,4,103,0,7,7,Yes,To Be Updated,To Be Updated,To Be Updated,Yes,2021-05-21 10:04,15
COSMOS HOSPITAL,PALWAL,Yes (10),5,5,0,0,5,5,0,0,To Be Updated,To Be Updated,To Be Updated,To Be Updated,To Be Updated,2021-05-16 12:02,15
GALAXY HOSPITAL,HUDA SECTOR 2,Yes (17),4,0,13,9,5,0,16,11,Yes,No,Yes,Yes,Yes,2021-05-20 12:09,15
"Gurunanak Hospital, Palwal","NH2, Near Bus Stand, Shiv Colony, Palwal Haryana",Yes (29),14,4,11,2,18,4,15,3,Yes,Yes,Yes,Yes,Yes,2021-05-21 11:25,15
JINDAL HOSPITAL,"Palwal, Haryana",Yes (15),10,2,3,0,10,2,3,0,To Be Updated,No,Yes,Yes,Yes,2021-05-19 12:53,15
KISHAN SINGH HOSPITAL,HODAL,Yes (6),6,0,0,0,8,0,0,0,Yes,No,Yes,No,Yes,2021-05-19 11:03,15
NIDHI HOSPITAL,"Palwal, Haryana",Yes (12),2,7,3,0,2,7,3,0,Yes,No,Yes,Yes,Yes,2021-05-19 12:42,15
Palwal Hospital,"Moti Colony, Palwal, Haryana",Yes (9),0,5,4,1,0,6,16,1,Yes,No,Yes,Yes,Yes,2021-05-20 12:25,15
RAHUL HOSPITAL,PALWAL,Yes (15),7,5,3,0,7,5,3,0,Yes,No,Yes,Yes,Yes,2021-05-13 16:20,15
Sachin Hospital,"New Sohna Road, Near Panchwati Chowk, Palwal Haryana",Yes (15),6,4,5,0,10,5,13,2,Yes,Yes,Yes,Yes,Yes,2021-05-20 09:48,15
SDH Hodal,SDH Hodal,Yes (18),8,10,0,0,10,10,0,0,Yes,No,Yes,Yes,Yes,2021-05-20 15:15,15
Shri. Satya Sai Sanjivani Hospital Palwal,"Palwal, Haryana",Yes (15),1,11,3,2,4,17,4,2,Yes,No,Yes,Yes,Yes,2021-05-21 09:31,15
SRI SAI HOSPITAL,"Palwal, Haryana",Yes (6),0,6,0,0,0,6,0,0,Yes,No,Yes,Yes,Yes,2021-05-21 09:49,15
VASHU HOSPITAL,,Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,Yes,Yes,2021-05-19 12:53,15
Amar Hospotal,Assandh,No (0),0,0,0,0,0,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-20 17:00,11
"AMRITDHARA, Chaura Bazar","Near ITI Chowk, Gahoon Vihar, Karnal, Haryana",Yes (4),4,0,0,0,38,0,26,2,Yes,No,Yes,Yes,Yes,2021-05-20 16:58,11
Arpana Hospital,"G.T. Road, Madhuban, Karnal, Karnal, Haryana",Yes (13),13,0,0,0,16,0,2,1,Yes,No,Yes,Yes,Yes,2021-05-21 09:25,11
CHC Assandh,"Assandh, Assandh Ruralpart, Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-21 10:14,11
CHC Gharaunda,"Balinagar, Gharaunda, Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-21 10:13,11
CHC Kunjpura,Village Kunjpura,Yes (11),11,0,0,0,11,0,0,0,To Be Updated,Yes,Yes,Yes,Yes,2021-05-21 10:15,11
CHC Nissing,"SH 8, Gondar, Nissing, Haryana",Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-21 10:14,11
CHC Taraori,CHC Taraori,Yes (6),6,0,0,0,6,0,0,0,Yes,No,Yes,No,Yes,2021-05-21 10:15,11
Dr. Gian Bhushan Hospital,"Kunjpura Rd Old Char Chaman Dyal Singh Colony Karnal  132001 Republic of,",No (0),0,0,0,0,6,0,5,0,Yes,No,No,No,No,2021-05-21 07:35,11
Ishwar Kirpa Hospital,"Ishwar Kirpa Hospital, Sector -14",Yes (4),4,0,0,0,14,0,7,0,Yes,No,Yes,Yes,Yes,2021-05-20 12:23,11
"Kalpana Chawla Government Medical College, Karnal","Model Town, Karnal, Haryana",Yes (2),1,0,1,0,200,0,80,80,Yes,Yes,Yes,Yes,Yes,2021-05-20 17:00,11
Karnal Nursing Home,"26 Duggal Colony, Karnal",Yes (6),5,0,1,0,8,0,10,0,Yes,No,Yes,Yes,Yes,2021-05-21 09:12,11
Park Hospital karnal,"CHD City, NH-1, Sector 45, Karnal, Haryana",No (0),Beds Over Utilized 6,0,Beds Over Utilized 4,0,10,0,20,2,Yes,Yes,Yes,Yes,Yes,2021-05-20 17:01,11
Rama Superspeciality Hospital,Civil Hosp Chowk Karnal,No (0),0,0,0,0,8,0,6,0,Yes,No,Yes,Yes,Yes,2021-05-20 17:01,11
RP Welltar Hospital,"Vill. Bastara, District Karnal",Yes (2),0,2,0,0,10,4,4,1,Yes,No,Yes,No,Yes,2021-05-21 09:43,11
"Sanjiv Bansal Cygnus Hospital , Karnal","Railway Rd, Ibrahim Mandi, Karnal, Haryana",Yes (2),2,0,0,2,20,0,5,2,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:11,11
Sarvodya Hospital Karnal,"Sector 14, Near Tau Devi Lal Chowk",Yes (20),12,0,8,0,12,0,10,0,Yes,Yes,Yes,Yes,Yes,2021-05-20 17:19,11
SDH Nilokheri,SDH Nilokheri,Yes (10),10,0,0,0,10,0,0,0,Yes,No,Yes,No,Yes,2021-05-21 10:14,11
Shri Ram Chand Memorial Hospital,"12, Ashoka colony,Opp Kalpana Chawla hospital, Karnal, Haryana",No (0),0,0,0,0,8,0,7,3,Yes,No,Yes,Yes,Yes,2021-05-20 17:00,11
Shri Sanatan Dharam Mahabir Dal,"Kunjpura Road, Karnal Near Sanatan Dharam Mandir",Yes (6),6,0,0,0,12,0,0,0,Yes,Yes,Yes,Yes,Yes,2021-05-20 17:01,11
SS Hospital,"Sector 14, Karnal",Yes (3),2,0,1,0,7,0,7,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-21 08:35,11
Swastik Hospital,Swastic Hospital Opp DCH,Yes (8),6,0,2,0,10,0,9,0,Yes,No,Yes,Yes,Yes,2021-05-21 10:11,11
Virk Hospital Karnal,"363-364, Randhir lane, near Dyal Singh College, Karnal, Haryana",Yes (9),9,0,0,0,37,0,8,1,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:58,11
Alchemist Hospital panchkula,Sector 21 Panchkula,Yes (3),1,0,2,0,42,0,12,4,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:35,16
Alchemist Ojas Hospital,"H1  SEctor 26, Panchkula Ext, Panchkula",Yes (14),13,0,1,0,54,0,13,4,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:36,16
Civil Hospital Panchkula,sector 6 Panchkula,Yes (46),20,26,0,0,140,31,64,6,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:34,16
JN Shory Hospital,Pinjore,Yes (11),8,3,0,0,18,6,0,0,To Be Updated,To Be Updated,Yes,Yes,Yes,2021-05-21 10:37,16
Kare Partners Hospital,"Sector 2, Panchkula",Yes (9),9,0,0,0,13,0,0,0,Yes,To Be Updated,Yes,Yes,Yes,2021-05-21 10:36,16
Paras Hospital Pvt,"Plot no 2, sec 22, panchkula",Yes (28),18,8,2,2,67,10,23,12,Yes,Yes,Yes,Yes,Yes,2021-05-21 10:35,16
Wings Hospital,Sector 25 Panchkula,Yes (26),14,11,1,0,15,11,5,0,To Be Updated,To Be Updated,To Be Updated,Yes,Yes,2021-05-21 10:36,16
ANUJ HOSPITAL SAFIDON,safidon panipat road,Yes (27),1,18,8,0,2,18,10,0,Yes,No,Yes,Yes,Yes,2021-05-21 09:07,9
Balaji Hospital Jind,Rohtak Road Jind,Yes (17),10,7,0,0,32,16,0,0,Yes,No,Yes,Yes,Yes,2021-05-21 09:05,9
CHC Alewa,"Alewa 2 Sub Health Centre, Alewa Chc Alewa, Alewa, Jind",Yes (15),15,0,0,0,15,0,0,0,Yes,No,Yes,No,Yes,2021-05-21 09:03,9
CHC Julana,Julana,Yes (18),12,6,0,0,20,6,0,0,Yes,No,Yes,Yes,Yes,2021-05-21 09:02,9
District Civil Hospital Jind (NEW+OLD),Hosptial,No (0),0,0,0,6,150,0,20,12,Yes,Yes,Yes,Yes,Yes,2021-05-21 09:04,9
Gangaputra Ayurvedic Medical College Jind,Kandela,Yes (86),46,15,25,3,60,15,25,3,Yes,No,Yes,Yes,Yes,2021-05-21 09:09,9
JIND HEART HOSPITAL,GOHANA BYPASS ROHTAK ROAD JIND,Yes (9),8,0,1,1,12,0,5,1,Yes,No,No,No,No,2021-05-21 09:00,9
